response of q1 from initial condition,,,
time,q1,q2,tau
131,453,0,0
132,461,0,0
133,447,0,0
134,456,0,0
135,456,0,0
136,446,0,0
137,457,0,4
138,456,0,1
139,446,0,0
140,443,0,0
141,459,0,3
142,455,0,4
143,453,0,0
144,460,0,1
145,459,0,1
146,450,0,3
147,453,0,4
148,462,0,0
149,449,0,0
150,461,0,1
151,443,0,0
152,455,0,0
153,455,0,0
154,460,0,0
155,446,0,0
156,456,0,0
157,460,0,2
158,453,0,1
159,460,0,0
160,456,0,0
161,462,0,6
162,453,0,0
163,456,0,0
164,449,0,0
165,461,0,0
166,456,0,0
167,462,0,0
168,461,0,1
169,451,0,4
170,448,0,0
171,455,0,0
172,462,0,3
173,453,0,4
174,451,0,0
175,461,0,1
176,460,0,0
177,453,0,4
178,462,0,0
179,464,0,0
180,462,0,0
181,467,0,0
182,464,0,0
183,477,0,1
184,488,0,0
185,488,0,0
186,506,0,4
187,513,0,0
188,507,0,0
189,521,0,0
190,535,0,0
191,551,0,0
192,557,0,0
193,570,0,0
194,581,0,0
195,591,0,0
196,599,0,2
197,619,0,0
198,624,0,2
199,640,0,0
200,655,0,0
201,664,0,2
202,686,0,2
203,699,0,1
204,704,0,2
205,725,0,0
206,743,0,0
207,757,0,0
208,782,0,0
209,791,0,4
210,816,0,0
211,816,0,3
212,849,0,1
213,870,0,0
214,867,0,0
215,901,0,1
216,920,0,1
217,931,0,4
218,958,0,0
219,981,0,0
220,998,0,0
221,1017,0,1
222,1032,0,8
224,1084,0,1
226,1125,0,0
228,1169,0,3
230,1223,0,1
232,1235,0,4
234,1307,0,0
236,1358,0,2
238,1398,0,1
240,1448,0,0
242,1500,0,3
244,1543,0,0
246,1599,0,0
248,1648,0,0
250,1692,0,0
252,1736,0,0
254,1788,0,0
256,1824,0,0
258,1871,0,0
260,1920,0,4
262,1965,0,0
263,1986,0,0
264,1981,0,1
266,2030,0,1
268,2084,0,0
269,2109,0,0
270,2119,0,2
272,2168,0,2
273,2163,0,0
274,2200,0,0
276,2240,0,7
277,2246,0,0
278,2263,0,0
280,2294,0,10
281,2299,0,0
282,2334,0,0
284,2355,0,0
285,2361,0,0
286,2384,0,6
288,2401,0,0
289,2417,0,1
290,2439,0,1
292,2460,0,0
293,2471,0,1
294,2473,0,0
296,2512,0,1
297,2505,0,2
298,2534,0,0
300,2535,0,0
301,2544,0,0
302,2537,0,0
304,2566,0,0
305,2575,0,6
306,2577,0,0
308,2584,0,1
309,2593,0,0
310,2603,0,0
312,2606,0,0
313,2605,0,0
314,2612,0,1
316,2618,0,0
317,2618,0,0
318,2621,0,4
319,2620,0,0
320,2617,0,2
321,2616,0,4
322,2618,0,0
323,2624,0,0
324,2622,0,6
325,2623,0,0
326,2627,0,0
327,2626,0,0
328,2634,0,6
329,2619,0,2
330,2624,0,0
331,2624,0,0
332,2605,0,0
333,2616,0,0
334,2607,0,3
335,2618,0,0
336,2616,0,0
337,2618,0,0
338,2612,0,0
339,2608,0,1
340,2592,0,0
341,2581,0,0
342,2569,0,0
343,2569,0,0
344,2564,0,4
345,2550,0,0
346,2542,0,1
347,2521,0,0
348,2519,0,6
349,2499,0,1
350,2489,0,2
351,2481,0,0
352,2482,0,0
353,2463,0,0
354,2456,0,0
355,2442,0,0
356,2428,0,4
357,2408,0,1
358,2389,0,0
359,2371,0,2
360,2370,0,3
361,2352,0,0
362,2325,0,0
363,2302,0,0
364,2291,0,2
365,2272,0,6
366,2270,0,0
367,2237,0,0
368,2228,0,0
369,2207,0,3
370,2186,0,0
371,2174,0,0
372,2164,0,0
