q2 response with initial condition ,,,
time,q1,q2,tau
0,1521,430,0
4,1533,430,0
8,1543,430,1
12,1521,430,0
16,1533,430,0
20,1550,430,0
24,1529,430,0
28,1536,430,0
32,1541,430,0
36,1543,430,0
40,1546,430,0
44,1540,430,2
48,1541,430,1
52,1543,430,0
56,1544,430,2
60,1529,430,2
64,1543,430,1
68,1541,430,6
72,1543,430,0
76,1546,430,0
80,1538,430,0
84,1546,430,3
88,1550,430,0
92,1546,430,0
96,1541,430,0
100,1534,430,1
104,1542,430,6
108,1540,430,0
112,1537,430,1
116,1546,430,0
120,1537,430,0
124,1529,430,1
128,1540,430,0
132,1543,430,0
136,1539,430,0
140,1531,430,0
144,1544,430,0
148,1542,430,1
152,1543,430,4
156,1558,430,0
160,1546,430,2
164,1546,430,0
168,1548,430,1
172,1549,430,0
176,1541,430,0
180,1540,430,0
184,1546,430,0
188,1548,430,0
192,1543,430,1
196,1548,430,4
200,1546,430,0
204,1545,430,1
208,1550,430,0
212,1544,430,0
216,1543,430,0
220,1548,430,4
224,1536,430,3
228,1540,430,0
232,1543,430,0
236,1540,430,1
240,1540,430,0
244,1546,430,0
248,1534,430,4
252,1533,430,5
256,1531,430,0
260,1544,430,0
264,1538,430,2
268,1545,430,0
272,1541,430,1
276,1542,430,1
280,1550,430,2
284,1546,430,0
288,1550,430,98
292,1548,430,0
296,1544,430,0
300,1542,430,4
304,1541,430,0
308,1537,430,203
312,1541,430,0
316,1549,430,1
320,1548,430,0
324,1544,430,1
328,1546,430,0
332,1543,430,2
336,1548,430,4
340,1533,430,0
344,1550,430,0
348,1541,430,0
352,1547,430,0
356,1550,430,0
360,1546,430,0
364,1543,430,0
368,1544,430,2
372,1534,430,0
376,1542,430,0
380,1538,430,6
384,1543,430,0
388,1538,430,0
392,1546,430,0
396,1531,430,3
400,1541,430,1
404,1546,430,2
408,1533,430,1
412,1546,430,0
416,1543,430,0
420,1537,430,1
424,1548,430,0
428,1550,430,3
432,1547,430,6
436,1540,430,1
440,1543,430,0
444,1543,430,6
448,1544,430,119
452,1546,430,0
456,1552,430,0
460,1549,430,1
464,1546,430,0
468,1540,430,0
472,1532,430,0
476,1548,430,0
480,1548,430,1
484,1533,430,0
488,1535,430,0
492,1540,430,0
496,1547,430,2
500,1537,430,1
504,1555,430,1
508,1550,430,0
512,1543,430,0
516,1554,430,2
520,1550,429,2
524,1550,429,0
528,1543,429,4
532,1533,429,0
536,1543,429,0
540,1548,429,1
544,1535,429,1
548,1542,429,2
552,1550,429,0
556,1541,429,0
560,1554,429,0
564,1551,429,0
568,1548,429,0
572,1540,429,0
576,1544,429,0
580,1549,429,0
584,1537,428,0
588,1542,428,0
592,1547,428,2
596,1539,428,2
600,1533,428,0
604,1535,428,0
608,1537,428,26
612,1538,428,1
616,1540,427,1
620,1549,427,0
624,1531,427,0
628,1540,427,0
632,1542,427,0
636,1549,427,1
640,1546,427,6
644,1540,427,0
648,1543,427,0
652,1550,427,0
656,1548,426,1
660,1544,426,6
664,1539,426,0
668,1542,426,6
672,1535,426,0
676,1533,426,0
680,1539,426,125
684,1543,425,0
688,1546,425,0
692,1544,425,0
696,1540,425,0
700,1550,425,159
704,1541,424,5
708,1546,424,0
712,1544,424,0
716,1548,424,0
720,1550,424,0
724,1543,423,0
728,1540,423,0
732,1549,423,0
736,1535,423,1
740,1537,423,3
744,1533,423,2
748,1543,422,0
752,1541,422,1
756,1540,422,1
760,1549,422,0
764,1541,421,1
768,1543,421,4
772,1541,421,1
776,1531,421,3
780,1549,421,0
784,1542,420,0
788,1529,420,1
792,1546,420,0
796,1539,419,6
800,1547,419,2
804,1548,419,1
808,1550,419,0
812,1548,419,0
816,1547,418,0
820,1539,418,0
824,1543,418,3
828,1552,417,0
832,1544,417,0
836,1531,417,2
840,1550,417,0
844,1543,416,0
848,1544,416,0
852,1535,416,0
856,1543,415,0
860,1543,415,0
864,1545,415,3
868,1543,415,0
872,1549,414,1
876,1550,414,2
880,1534,413,0
884,1542,413,0
888,1544,413,0
892,1544,412,0
896,1530,412,0
900,1550,411,2
904,1544,411,0
908,1533,411,0
912,1544,410,0
916,1542,410,0
920,1545,409,0
924,1544,409,2
928,1541,408,0
932,1546,408,0
936,1539,407,0
940,1544,407,20
944,1542,406,4
