q2 response from initial condition,,,
time,q1,q2,tau
2,1520,428,2
3,1520,428,0
4,1515,428,3
5,1518,428,0
6,1526,428,0
7,1518,428,2
8,1509,428,2
9,1517,428,0
10,1518,428,2
11,1516,428,0
12,1511,428,0
13,1514,428,2
14,1524,428,0
15,1504,428,3
16,1520,428,0
17,1526,428,4
18,1520,428,1
19,1507,428,1
20,1514,428,4
21,1530,428,2
22,1522,428,0
23,1522,428,5
24,1511,428,0
25,1497,428,0
26,1511,428,1
27,1519,428,0
28,1518,428,6
29,1512,428,2
30,1504,428,0
31,1520,428,0
32,1513,428,0
33,1524,428,4
34,1520,428,0
35,1526,428,0
36,1520,428,0
37,1519,428,0
38,1519,428,0
39,1520,428,3
40,1526,428,2
41,1530,428,2
42,1526,428,6
43,1522,428,0
44,1524,428,0
45,1511,428,4
46,1517,428,0
47,1514,428,3
48,1517,428,0
49,1512,428,0
50,1520,428,0
51,1507,428,1
52,1519,428,0
53,1512,428,3
54,1526,428,0
55,1519,428,0
56,1520,428,0
57,1522,428,0
58,1526,428,6
59,1523,428,0
60,1505,428,0
61,1519,428,0
62,1520,428,0
63,1520,428,0
64,1517,428,0
65,1528,428,7
66,1512,427,2
67,1522,427,7
68,1522,427,0
69,1509,427,1
70,1514,427,2
71,1520,427,1
72,1520,427,0
73,1520,427,0
74,1522,427,3
75,1509,427,0
76,1511,427,0
77,1519,427,0
78,1511,427,0
79,1520,427,0
80,1512,427,0
81,1513,426,0
82,1517,426,0
83,1516,426,0
84,1519,426,0
85,1512,426,1
86,1524,426,0
87,1527,426,0
88,1522,426,0
89,1520,426,2
90,1516,425,1
91,1524,425,0
92,1525,425,1
93,1523,425,0
94,1519,425,0
95,1505,425,0
96,1520,425,1
97,1506,425,0
98,1509,425,0
99,1525,424,0
100,1504,424,0
101,1518,424,4
102,1505,424,0
103,1522,424,6
104,1520,423,0
105,1525,423,1
106,1512,423,0
107,1520,423,0
108,1504,423,0
109,1507,423,0
110,1526,422,2
111,1519,422,0
112,1520,422,0
113,1526,422,3
114,1519,421,1
115,1516,421,0
116,1522,421,2
117,1522,421,0
118,1522,421,6
119,1519,421,0
120,1520,420,2
121,1522,420,6
122,1520,420,0
123,1518,419,3
124,1509,419,1
125,1523,419,3
126,1520,419,0
127,1520,418,1
128,1513,418,0
129,1507,418,1
130,1522,417,0
131,1516,417,6
132,1522,417,1
133,1522,417,0
134,1505,416,0
135,1522,416,1
136,1511,415,0
137,1514,415,6
138,1520,415,4
139,1522,414,0
140,1520,414,0
141,1522,414,0
142,1520,413,1
143,1521,413,0
144,1530,412,0
145,1524,412,0
146,1520,412,0
147,1524,411,0
148,1515,411,0
149,1519,410,1
150,1518,410,0
151,1523,409,0
152,1519,409,0
153,1515,408,6
154,1518,408,0
155,1509,407,4
156,1512,406,0
157,1507,406,0
158,1521,405,0
159,1523,405,0
160,1517,404,0
161,1524,404,0
162,1522,403,0
163,1526,402,7
164,1505,402,4
165,1520,401,0
166,1526,400,2
167,1522,400,0
168,1524,399,0
169,1524,398,35
170,1516,397,6
171,1507,397,1
172,1505,396,0
173,1516,395,1
174,1522,394,0
175,1520,393,0
176,1512,392,3
177,1520,391,0
178,1522,390,0
179,1523,390,0
180,1522,389,1
181,1516,388,0
182,1517,387,0
183,1523,386,2
184,1505,385,0
185,1517,383,4
186,1521,382,1
187,1522,381,2
188,1519,380,11
189,1520,379,0
190,1512,378,0
191,1517,376,0
192,1520,375,1
193,1517,374,0
194,1512,372,0
195,1526,371,1
196,1518,370,1
197,1514,368,0
198,1520,367,0
199,1526,365,2
200,1514,363,4
201,1512,362,0
202,1513,361,6
203,1524,359,1
204,1507,357,0
205,1507,355,0
207,1519,352,0
209,1522,348,10
211,1512,344,0
213,1526,340,3
215,1519,336,0
217,1519,331,0
219,1520,326,0
221,1520,322,0
223,1520,317,1
225,1526,311,0
227,1524,306,0
229,1525,300,0
231,1522,294,1
233,1519,287,0
235,1518,281,0
237,1520,274,1
239,1516,267,0
241,1519,259,0
243,1522,252,0
245,1517,244,3
247,1511,236,0
249,1520,227,0
251,1524,219,0
253,1515,209,6
255,1527,200,1
256,1517,195,1
257,1525,191,3
259,1519,181,0
260,1519,176,2
261,1517,171,0
263,1517,160,0
264,1511,155,6
265,1525,150,0
267,1514,139,0
268,1520,134,0
269,1520,128,1
271,1518,117,0
272,1522,112,0
273,1517,106,0
275,1517,95,0
276,1519,89,0
277,1504,84,0
279,1524,73,1
280,1505,67,0
281,1507,61,0
283,1520,50,0
284,1517,45,0
285,1522,39,0
287,1512,28,0
288,1522,22,6
289,1520,17,1
291,1520,6,0
292,1522,1,0
293,1528,-4,0
295,1519,-15,2
296,1505,-20,3
297,1519,-25,2
299,1520,-35,0
300,1522,-39,0
301,1519,-44,1
303,1523,-53,1
304,1523,-58,1
305,1520,-62,1
307,1504,-71,0
308,1515,-75,0
309,1522,-79,0
311,1512,-87,0
312,1517,-91,0
313,1519,-94,0
315,1522,-101,0
316,1512,-105,2
