q2 response from initial condition
time,q1,q2,tau
2,1530,419,0
3,1534,419,0
4,1513,419,0
5,1524,419,2
6,1527,419,2
7,1519,419,0
8,1526,419,0
9,1524,419,0
10,1524,419,0
11,1525,419,0
12,1534,419,0
13,1524,419,0
14,1519,419,0
15,1528,419,0
16,1522,419,0
17,1528,419,0
18,1526,419,3
19,1519,419,2
20,1525,419,0
21,1527,419,0
22,1527,419,0
23,1534,419,0
24,1532,419,3
25,1517,419,2
26,1538,419,1
27,1519,419,0
28,1528,419,0
29,1527,419,2
30,1536,419,0
31,1528,419,0
32,1521,419,0
33,1528,419,0
34,1531,419,0
35,1519,419,3
36,1519,419,3
37,1529,419,0
38,1520,419,0
39,1524,419,4
40,1534,419,1
41,1526,419,0
42,1503,419,2
43,1525,419,0
44,1527,419,0
45,1522,419,0
46,1527,419,7
47,1509,419,0
48,1525,419,0
49,1524,419,2
50,1525,419,2
51,1514,419,13
52,1523,419,10
53,1528,419,0
54,1531,419,0
55,1530,419,0
56,1517,419,0
57,1515,419,0
58,1532,419,6
59,1528,419,0
60,1527,419,0
61,1519,419,3
62,1525,419,2
63,1525,419,0
64,1515,419,2
65,1528,419,0
66,1529,419,0
67,1532,419,0
68,1528,419,0
69,1530,419,0
70,1534,419,0
71,1536,419,0
72,1532,419,2
73,1515,419,0
74,1527,419,2
75,1526,419,0
76,1527,419,0
77,1525,419,6
78,1525,419,0
79,1530,419,0
80,1528,419,0
81,1528,419,0
82,1505,419,0
83,1527,419,0
84,1519,419,0
85,1524,419,0
86,1526,419,0
87,1519,419,0
88,1536,419,2
89,1532,419,2
90,1532,419,0
91,1528,419,4
92,1527,419,1
93,1527,419,0
94,1525,419,0
95,1515,419,0
96,1529,419,3
97,1530,419,0
98,1519,419,0
99,1525,419,6
100,1527,419,0
101,1525,419,6
102,1517,419,2
104,1532,419,2
106,1525,419,0
108,1519,419,6
110,1507,419,0
112,1532,419,0
114,1530,419,0
116,1515,419,0
118,1536,419,0
120,1524,419,0
122,1525,419,2
124,1530,419,0
126,1530,419,0
128,1525,419,2
130,1532,419,2
132,1530,419,0
134,1528,419,1
136,1530,419,0
138,1527,419,0
140,1519,419,0
142,1524,419,0
144,1522,419,0
146,1513,419,0
148,1528,419,0
149,1519,419,0
150,1519,419,3
152,1531,419,6
153,1527,419,0
154,1534,419,1
156,1524,419,0
157,1515,419,0
158,1518,419,0
160,1517,419,6
161,1533,419,0
162,1524,419,0
164,1530,419,1
165,1531,419,0
166,1515,419,0
168,1519,419,6
169,1523,419,2
170,1527,420,0
172,1519,420,3
173,1532,420,24
174,1528,420,0
176,1515,420,1
177,1515,420,3
178,1530,420,0
180,1536,420,6
181,1540,420,0
182,1525,420,3
184,1536,420,2
185,1530,420,1
186,1528,420,0
188,1532,420,3
189,1517,420,0
190,1531,420,1
192,1534,420,0
193,1528,420,1
194,1525,420,0
196,1534,420,0
197,1526,420,0
198,1532,420,0
200,1532,420,0
201,1523,420,0
202,1530,420,0
204,1534,420,0
205,1526,420,0
206,1528,421,0
208,1521,421,0
209,1527,421,2
210,1522,420,1
212,1529,420,2
213,1534,419,1
214,1517,419,0
216,1531,418,0
217,1532,418,0
218,1522,417,0
219,1526,417,1
220,1526,417,0
221,1527,416,0
222,1530,416,0
223,1519,415,5
224,1519,415,0
225,1511,414,2
226,1517,413,0
227,1519,413,0
228,1531,412,1
229,1536,412,0
230,1523,411,0
231,1519,411,0
232,1530,410,0
233,1531,409,0
234,1525,409,0
235,1515,408,0
236,1532,407,0
237,1524,407,0
238,1531,406,0
239,1519,405,2
240,1539,404,0
241,1524,403,0
242,1526,402,0
243,1527,402,0
244,1525,401,3
245,1534,400,0
246,1523,399,1
247,1507,398,0
248,1519,397,2
249,1524,396,1
250,1513,395,0
251,1527,394,6
252,1527,393,91
253,1531,392,1
254,1530,391,0
255,1528,390,0
256,1536,389,0
257,1535,387,0
258,1527,386,0
259,1536,385,4
260,1530,384,0
261,1528,382,0
262,1527,381,0
263,1533,380,3
264,1525,378,2
265,1534,377,0
266,1530,375,0
267,1525,374,6
268,1527,372,0
269,1527,371,0
270,1527,369,3
271,1532,367,6
272,1532,366,0
273,1530,364,0
274,1513,362,0
275,1529,360,0
276,1522,358,0
277,1538,356,0
278,1525,354,0
279,1521,352,0
280,1531,350,0
281,1513,348,0
282,1524,346,0
283,1528,343,1
284,1536,341,0
285,1519,339,0
286,1534,336,0
287,1512,334,0
288,1527,332,0
289,1520,329,4
290,1536,326,2
291,1534,324,0
292,1525,321,2
293,1520,318,1
294,1530,316,0
295,1528,313,0
296,1532,310,0
297,1534,307,0
298,1529,304,4
299,1519,301,0
300,1530,297,0
301,1528,294,0
302,1517,291,0
303,1527,288,0
304,1515,284,0
305,1532,281,0
306,1532,277,6
307,1517,274,4
308,1513,270,0
309,1528,266,0
310,1525,262,3
311,1524,258,2
312,1529,254,0
313,1527,250,6
314,1532,246,0
315,1530,242,1
316,1526,238,0
317,1515,233,0
318,1530,229,3
319,1530,225,1
320,1513,220,0
321,1530,215,0
322,1532,210,2
323,1524,206,2
324,1529,201,0
325,1524,196,0
326,1519,191,2
327,1530,186,0
328,1520,181,0
329,1527,175,0
330,1530,170,0
331,1524,165,6
332,1527,160,0
333,1520,154,0
334,1524,149,0
335,1532,144,0
336,1532,138,4
337,1526,133,0
338,1538,127,0
339,1517,121,1
340,1525,116,0
341,1535,110,0
342,1521,105,0
343,1531,99,3
344,1519,93,3
345,1515,88,0
346,1532,82,0
347,1526,77,0
348,1524,71,1
349,1523,66,0
350,1525,60,0
351,1534,54,1
352,1521,49,0
353,1521,43,0
354,1527,38,0
355,1530,32,0
356,1526,27,0
357,1527,21,0
358,1534,16,1
359,1530,11,1
360,1525,6,2
361,1530,0,0
362,1527,-5,2
363,1513,-10,6
364,1522,-15,0
365,1522,-20,0
366,1521,-25,3
367,1522,-30,0
368,1536,-34,6
369,1520,-39,2
370,1524,-44,2
371,1536,-48,0
372,1527,-53,0
373,1531,-57,0
374,1524,-61,0
375,1530,-65,0
376,1527,-69,0
377,1530,-73,0
378,1530,-77,0
379,1534,-81,0
380,1524,-85,2
381,1522,-89,0
382,1522,-92,0
383,1524,-95,0
384,1517,-99,0
385,1527,-102,0
386,1527,-105,0
387,1515,-108,0
388,1513,-110,1
389,1532,-113,0
390,1513,-116,0
391,1513,-118,0
392,1530,-121,1
393,1519,-123,0
394,1521,-125,0
395,1526,-127,0
396,1536,-129,0
397,1534,-130,1
398,1532,-132,6
399,1529,-133,6
400,1527,-135,3
401,1540,-136,2
402,1527,-137,0
403,1530,-138,0
404,1520,-139,0
405,1527,-140,0
406,1534,-141,0
407,1520,-141,0
408,1532,-142,0
409,1527,-143,0
410,1539,-143,1
411,1530,-143,1
412,1527,-143,1
413,1520,-143,0
414,1524,-143,0
415,1527,-143,2
416,1534,-144,0
417,1527,-144,6
418,1532,-143,0
419,1529,-143,2
420,1523,-142,4
421,1534,-141,1
422,1525,-140,0
423,1513,-139,0
424,1523,-138,4
425,1527,-137,1
426,1530,-136,0
427,1514,-135,0
428,1525,-133,0
429,1534,-132,0
430,1534,-131,0
431,1517,-129,1
432,1527,-127,0
433,1525,-126,0
434,1525,-124,0
435,1534,-122,3
436,1524,-120,2
437,1525,-118,2
438,1529,-116,0
439,1527,-114,6
440,1529,-112,0
441,1519,-110,0
442,1519,-108,0
443,1518,-105,0
444,1526,-103,0
445,1523,-101,0
446,1516,-99,1
447,1513,-96,0
448,1527,-93,2
449,1522,-91,0
450,1517,-89,0
451,1519,-86,0
452,1524,-83,0
453,1528,-81,0
454,1519,-77,0
455,1524,-75,0
456,1532,-72,0
457,1530,-69,0
458,1520,-66,0
459,1527,-63,0
460,1519,-61,0
461,1527,-58,2
462,1522,-55,2
463,1522,-52,2
464,1521,-49,0
465,1536,-46,6
466,1528,-43,1
467,1519,-40,0
468,1528,-37,0
469,1529,-34,0
470,1525,-31,6
471,1527,-28,0
472,1532,-25,0
473,1531,-22,0
474,1513,-19,4
475,1524,-16,0
476,1524,-13,2
477,1525,-10,0
478,1530,-7,1
479,1534,-4,1
480,1538,-1,1
481,1515,2,0
