time,q1,q2,tau
1,1578,418,0
2,1578,418,2
3,1575,418,6
4,1570,418,0
5,1568,418,4
6,1573,418,0
7,1571,418,0
8,1578,418,0
9,1559,418,0
10,1570,418,7
11,1561,418,0
12,1578,418,0
13,1575,418,0
14,1582,418,0
15,1582,418,0
16,1567,418,3
17,1578,418,0
18,1573,418,0
19,1573,418,2
20,1576,418,6
21,1578,418,4
22,1571,418,0
23,1572,418,0
24,1573,418,0
25,1576,418,0
26,1569,418,0
27,1575,418,0
28,1578,418,1
29,1578,418,0
30,1576,418,4
31,1578,418,4
32,1575,418,0
33,1569,418,0
34,1576,418,3
35,1570,418,1
36,1568,418,4
37,1576,418,6
38,1578,418,0
39,1574,418,0
40,1561,418,0
41,1572,418,0
42,1572,418,1
43,1576,418,0
44,1578,418,1
45,1563,418,0
46,1568,418,0
47,1578,418,0
48,1580,418,0
49,1578,418,0
50,1576,418,0
51,1573,418,0
52,1570,418,0
53,1576,418,0
54,1572,418,1
55,1578,418,0
56,1578,418,0
57,1573,418,1
58,1578,418,0
59,1574,418,0
60,1565,418,0
61,1570,418,1
62,1571,418,0
63,1561,418,0
64,1574,418,3
65,1559,418,1
66,1575,418,0
67,1575,418,6
68,1574,418,0
69,1574,418,0
70,1557,418,3
71,1575,418,0
72,1572,418,6
73,1559,418,0
74,1561,418,3
75,1567,418,0
76,1575,418,6
77,1557,418,0
78,1569,418,10
79,1575,418,10
80,1573,418,6
81,1578,418,0
82,1578,418,4
83,1571,418,0
84,1571,418,0
85,1578,418,0
86,1573,418,0
87,1578,418,4
88,1569,418,0
89,1573,418,2
90,1573,418,3
91,1570,418,1
92,1578,418,1
93,1568,418,0
94,1573,418,0
95,1570,418,0
96,1574,418,7
97,1561,418,0
98,1563,418,0
99,1575,418,0
100,1571,418,3
101,1569,418,0
102,1573,418,10
103,1574,418,4
104,1575,418,4
105,1575,418,0
106,1563,418,0
107,1580,418,0
108,1568,418,7
109,1570,418,0
110,1577,418,0
111,1569,418,0
112,1561,418,0
113,1582,418,4
114,1551,418,3
115,1568,418,6
116,1573,418,0
117,1578,418,3
118,1568,418,2
119,1575,418,2
120,1578,418,3
121,1572,418,2
122,1578,418,4
123,1578,418,0
124,1568,418,4
125,1578,418,0
126,1578,418,0
127,1563,418,0
128,1577,418,0
129,1560,418,6
130,1569,418,0
131,1568,418,7
132,1566,418,2
133,1569,418,0
134,1568,418,0
135,1573,418,6
136,1573,418,40
137,1573,418,0
138,1578,418,0
139,1579,418,0
140,1578,418,1
141,1568,418,0
142,1572,418,2
143,1571,418,0
144,1583,418,0
145,1561,418,0
146,1565,418,1
147,1575,418,0
148,1575,418,4
149,1573,418,2
150,1568,418,4
151,1575,418,3
152,1578,418,1
153,1568,418,0
154,1578,418,4
155,1578,418,0
156,1561,418,0
157,1578,418,5
158,1563,418,0
159,1572,418,1
160,1575,418,6
161,1569,418,0
162,1574,418,0
163,1568,418,6
164,1582,418,0
165,1578,418,0
166,1576,418,0
167,1578,418,1
168,1573,418,1
169,1571,418,0
170,1568,418,0
171,1568,418,6
172,1568,418,0
173,1573,418,0
174,1570,418,0
175,1576,418,0
176,1576,418,0
177,1573,418,0
178,1575,418,0
179,1575,418,0
180,1569,418,0
181,1570,418,0
182,1568,418,0
