
time,q1,q2,tau
2,1560,414,0
3,1560,414,169
5,1557,414,0
6,1568,414,0
7,1567,414,2
8,1553,414,0
9,1565,414,2
10,1566,414,0
11,1558,414,0
12,1564,414,0
13,1559,414,0
14,1554,414,0
15,1560,414,0
16,1567,414,0
17,1559,414,0
18,1563,414,0
19,1560,414,6
20,1551,414,14
21,1551,414,2
22,1562,414,0
23,1561,414,2
24,1559,414,3
25,1555,414,1
26,1565,414,4
27,1565,414,6
28,1554,414,0
29,1568,414,0
30,1556,414,10
31,1565,414,0
32,1562,414,0
33,1551,414,0
34,1563,414,1
35,1551,414,0
36,1559,414,1
37,1555,414,0
38,1562,414,0
39,1574,414,4
40,1564,414,6
41,1564,414,0
42,1550,414,0
43,1553,414,2
44,1567,414,1
45,1543,414,0
46,1565,414,0
47,1565,414,2
48,1565,414,0
49,1565,414,0
50,1560,414,0
51,1567,414,6
52,1559,414,3
53,1567,414,0
54,1552,414,0
55,1549,414,1
56,1564,414,0
57,1565,414,1
58,1563,414,0
59,1566,414,0
60,1566,414,0
61,1559,414,3
62,1541,414,0
63,1560,414,0
64,1555,414,0
65,1551,414,3
66,1564,414,0
67,1557,414,1
68,1566,414,0
69,1564,414,0
70,1570,414,0
71,1560,414,0
72,1560,414,0
73,1567,414,0
74,1560,414,1
75,1560,414,0
76,1576,414,1
77,1576,414,1
78,1562,414,4
79,1568,414,0
80,1559,414,2
81,1566,414,4
82,1567,414,0
83,1565,414,0
84,1562,414,1
85,1565,414,1
86,1559,414,7
87,1562,414,0
88,1565,414,0
89,1564,414,0
90,1564,414,0
91,1567,414,0
92,1567,414,1
93,1565,414,2
94,1564,414,0
95,1564,414,0
96,1566,414,0
97,1567,414,3
98,1559,414,0
99,1559,414,0
100,1565,414,3
101,1557,414,3
102,1560,414,0
103,1558,414,4
104,1559,414,0
105,1560,414,2
106,1566,414,6
107,1563,414,4
108,1553,414,3
109,1566,414,0
110,1551,414,2
111,1549,414,7
112,1565,414,0
113,1565,414,10
114,1566,414,0
115,1566,414,4
116,1565,414,0
117,1566,414,0
118,1553,414,0
119,1549,414,3
120,1557,414,2
121,1562,414,0
122,1559,414,0
123,1561,414,6
124,1559,414,0
125,1567,414,0
126,1551,414,1
127,1570,414,4
128,1564,414,0
129,1564,414,0
130,1554,414,0
131,1565,414,0
132,1559,414,0
133,1567,414,0
134,1570,414,0
135,1567,414,0
136,1567,414,4
137,1558,414,0
138,1565,414,3
139,1562,414,0
140,1553,414,0
141,1557,414,0
142,1565,414,0
143,1559,414,1
144,1560,414,0
145,1560,414,0
146,1565,414,2
147,1562,414,3
148,1565,414,2
149,1557,414,0
150,1564,414,4
151,1565,414,0
152,1551,414,0
153,1555,414,0
154,1564,414,0
155,1566,414,0
156,1560,414,0
157,1563,414,0
158,1567,414,0
159,1547,414,0
160,1559,414,0
161,1560,414,0
162,1559,414,1
163,1564,414,0
164,1567,414,3
165,1566,414,0
166,1559,414,0
167,1563,414,0
168,1561,414,0
169,1557,414,2
170,1562,414,0
171,1562,414,0
172,1565,414,0
173,1570,414,0
174,1563,414,0
175,1547,414,4
176,1562,414,0
177,1555,414,0
178,1565,414,0
179,1560,414,0
180,1564,414,0
181,1562,414,4
182,1551,414,0
183,1567,414,0
184,1549,414,0
185,1559,414,0
186,1555,414,0
187,1564,414,0
188,1570,414,0
189,1565,413,0
190,1559,413,0
191,1564,413,2
192,1557,413,2
193,1565,413,4
194,1559,413,0
195,1555,413,6
196,1560,413,0
197,1565,413,193
198,1552,413,0
199,1567,413,0
200,1547,413,0
201,1562,413,0
202,1565,413,0
203,1553,413,4
204,1560,413,1
205,1553,413,6
206,1563,413,0
207,1555,413,2
208,1557,413,3
209,1567,413,0
210,1551,413,1
211,1565,413,6
212,1564,413,0
213,1560,413,1
214,1564,413,4
215,1543,413,6
216,1565,413,0
217,1565,413,0
218,1567,413,221
219,1562,413,0
220,1567,413,0
221,1562,413,3
222,1570,413,2
223,1562,413,2
224,1567,413,0
225,1554,413,0
226,1559,413,0
227,1557,413,0
228,1570,413,1
229,1567,413,1
230,1565,413,0
231,1566,413,0
232,1566,413,0
233,1566,413,0
234,1546,413,2
235,1565,413,0
236,1566,413,0
237,1566,413,4
238,1562,413,0
239,1563,413,3
240,1563,412,0
241,1564,412,3
242,1561,412,0
243,1559,412,1
244,1566,412,7
245,1560,412,0
246,1562,412,0
247,1570,412,1
248,1565,412,3
249,1571,412,0
250,1567,412,1
251,1572,412,0
252,1564,412,2
253,1564,412,51
254,1564,412,0
255,1557,412,6
256,1567,412,3
257,1557,412,1
258,1549,412,6
259,1555,412,3
260,1553,412,2
261,1565,412,0
262,1564,412,0
263,1553,412,0
264,1559,412,0
265,1566,412,0
266,1551,412,3
267,1559,412,2
268,1567,412,0
269,1565,412,0
270,1562,412,0
271,1557,412,0
272,1558,412,0
273,1562,412,3
274,1555,412,4
275,1561,412,1
276,1547,412,1
277,1568,412,0
278,1568,412,6
279,1565,412,0
280,1551,412,0
281,1566,412,0
282,1554,412,0
283,1566,412,0
284,1567,412,0
285,1562,412,0
286,1565,412,1
287,1560,412,1
288,1550,411,15
290,1560,411,1
292,1565,411,4
294,1558,411,0
296,1563,411,0
298,1567,411,0
300,1560,411,0
302,1559,411,0
304,1555,411,0
306,1562,411,3
308,1559,411,0
310,1565,411,0
312,1566,411,0
314,1553,411,0
316,1561,411,1
318,1557,411,2
320,1564,411,2
322,1567,411,0
324,1547,411,0
326,1565,411,0
328,1566,411,0
330,1559,411,0
332,1551,411,0
333,1549,410,0
334,1560,410,6
336,1566,410,0
337,1566,410,0
338,1563,410,0
340,1564,410,0
341,1554,410,0
342,1565,410,0
344,1566,410,0
345,1552,410,0
346,1560,410,1
348,1561,410,0
349,1547,410,0
350,1564,410,6
352,1563,410,0
353,1567,410,7
354,1566,410,3
356,1565,410,0
357,1565,410,6
358,1553,410,6
360,1566,410,1
361,1562,410,0
362,1562,410,0
364,1563,410,1
365,1562,410,0
366,1562,410,0
368,1561,410,0
369,1552,410,0
370,1567,410,1
372,1562,410,3
373,1564,410,0
374,1553,410,2
376,1562,410,4
377,1562,410,5
378,1559,410,6
380,1562,410,11
381,1564,410,0
382,1564,410,0
384,1565,410,4
385,1560,410,0
386,1560,410,2
388,1559,410,0
389,1564,410,0
390,1571,410,0
392,1566,410,4
393,1559,410,0
394,1551,410,4
396,1552,410,2
397,1552,410,2
398,1563,410,0
399,1560,410,0
400,1553,410,0
401,1559,410,0
402,1562,410,0
403,1558,410,1
404,1565,410,6
405,1553,410,3
406,1566,410,3
407,1567,410,0
408,1553,410,0
409,1565,410,6
410,1567,410,1
411,1567,410,0
412,1562,410,0
413,1566,410,0
414,1563,410,1
415,1557,410,0
416,1566,410,0
417,1566,410,0
418,1565,410,0
419,1565,410,5
420,1564,410,0
421,1562,410,1
422,1557,410,0
423,1553,410,4
424,1551,410,4
425,1555,410,0
426,1555,410,0
427,1565,410,0
428,1566,410,0
429,1559,410,6
430,1565,410,6
431,1565,410,2
432,1551,410,6
433,1555,410,6
434,1565,410,0
435,1561,410,0
436,1570,410,13
437,1559,410,0
438,1547,410,0
439,1563,410,0
440,1566,410,5
441,1564,410,0
442,1570,410,1
443,1576,410,3
444,1560,410,3
445,1559,410,0
446,1547,410,0
447,1565,410,1
448,1567,410,0
449,1566,410,0
450,1553,410,3
451,1549,410,0
452,1563,410,0
453,1567,410,0
454,1562,410,25
455,1563,410,0
456,1564,410,7
457,1568,410,0
458,1567,410,0
459,1561,410,2
460,1567,410,1
461,1559,410,3
462,1570,410,0
463,1565,410,10
464,1562,410,0
465,1564,410,6
466,1565,410,2
467,1566,410,1
468,1565,410,2
469,1565,410,0
470,1566,410,20
471,1566,410,0
472,1554,410,0
473,1557,410,0
474,1560,410,0
475,1560,410,1
476,1565,410,0
477,1560,410,0
478,1560,410,0
479,1565,410,0
480,1551,410,1
481,1562,410,0
482,1560,410,1
483,1560,410,0
484,1545,410,0
485,1563,410,0
