time,q1,q2,tau,
0,1918,0,0,
4,1918,0,0,
8,1917,0,0,
12,1899,0,0,
16,1912,0,0,
20,1912,0,0,
24,1928,0,0,
28,1912,0,0,
32,1916,0,0,
36,1918,0,0,
40,1898,0,0,
44,1917,0,4,
48,1909,0,0,
52,1922,0,0,
56,1922,0,0,
60,1913,0,0,
64,1913,0,0,
68,1905,0,1,
72,1918,0,0,
76,1910,0,0,
80,1915,0,0,
84,1918,0,0,
88,1908,0,0,
92,1923,0,0,
96,1928,0,0,
100,1908,0,0,
104,1915,0,0,
108,1915,0,0,
112,1906,0,0,
116,1911,0,0,
120,1918,0,0,
124,1918,0,0,
128,1918,0,1,
132,1918,0,4,
136,1899,0,0,
140,1903,0,0,
144,1907,0,0,
148,1907,0,0,
152,1918,0,0,
156,1926,0,1,
160,1921,0,1,
164,1928,0,6,
168,1928,0,1,
172,1928,0,0,
176,1941,0,6,
180,1941,0,6,
184,1949,0,2,
188,1949,0,2,
192,1960,0,0,
196,1960,0,0,
200,1964,0,0,
204,1965,0,0,
208,1967,0,0,
212,1967,0,0,
216,1980,0,0,
220,1977,0,0,
224,1977,0,0,
228,1995,0,2,
232,1995,0,2,
236,2013,0,2,
240,2009,0,0,
244,2008,0,1,
248,2008,0,1,
252,2018,0,1,
256,2034,0,1,
260,2034,0,1,
264,2040,0,6,
268,2044,0,2,
272,2060,0,2,
276,2064,0,0,
280,2066,0,0,
284,2057,0,0,
288,2076,0,0,
292,2094,0,1,
296,2090,0,0,
300,2090,0,0,
304,2091,0,0,
308,2113,0,0,
312,2122,0,1,
316,2124,0,0,
320,2128,0,0,
324,2121,0,0,
328,2123,0,0,
332,2123,0,0,
336,2154,0,0,
340,2154,0,0,
344,2162,0,0,
348,2159,0,0,
352,2159,0,0,
356,2165,0,0,
360,2192,0,2,
364,2198,0,0,
368,2198,0,0,
372,2193,0,1,
376,2220,0,3,
380,2209,0,2,
384,2228,0,0,
388,2229,0,1,
392,2234,0,0,
396,2244,0,4,
400,2239,0,0,
404,2259,0,0,
408,2260,0,0,
412,2270,0,0,
416,2275,0,0,
420,2275,0,0,
424,2288,0,0,
428,2292,0,1,
432,2304,0,0,
436,2312,0,0,
440,2295,0,0,
444,2295,0,0,
448,2317,0,2,
452,2324,0,0,
456,2324,0,0,
460,2346,0,4,
464,2360,0,0,
468,2343,0,0,
472,2343,0,0,
476,2353,0,0,
480,2361,0,0,
484,2355,0,0,
488,2355,0,0,
492,2371,0,2,
496,2383,0,0,
500,2383,0,0,
504,2396,0,2,
508,2385,0,0,
512,2414,0,1,
516,2414,0,1,
520,2413,0,0,
524,2416,0,2,
528,2416,0,2,
532,2405,0,0,
536,2426,0,1,
540,2415,0,0,
544,2428,0,0,
548,2437,0,0,
552,2437,0,6,
556,2430,0,0,
560,2437,0,0,
564,2435,0,10,
568,2441,0,0,
572,2441,0,0,
576,2445,0,0,
580,2452,0,2,
584,2453,0,0,
588,2466,0,0,
592,2469,0,0,
596,2467,0,0,
600,2465,0,2,
604,2474,0,0,
608,2474,0,1,
612,2480,0,0,
616,2472,0,6,
620,2471,0,0,
624,2480,0,2,
628,2479,0,0,
632,2490,0,0,
