time,q1,q2,tau
0,1783,0,3
4,1789,0,4
8,1786,0,0
12,1786,0,0
16,1794,0,2
20,1792,0,0
24,1790,0,0
28,1791,0,0
32,1788,0,1
36,1794,0,0
40,1786,0,1
44,1786,0,0
48,1786,0,0
52,1788,0,1
56,1789,0,0
60,1788,0,0
64,1785,0,0
68,1797,0,0
72,1797,0,0
76,1795,0,0
80,1808,0,4
84,1812,0,0
88,1816,0,0
92,1816,0,2
96,1831,0,0
100,1836,0,1
104,1844,0,0
108,1853,0,0
112,1848,0,0
116,1851,0,0
120,1851,0,0
124,1866,0,0
128,1873,0,4
132,1884,0,0
136,1885,0,0
140,1885,0,0
144,1887,0,0
148,1909,0,0
152,1899,0,1
156,1899,0,1
160,1923,0,0
164,1923,0,0
168,1946,0,0
172,1950,0,0
176,1953,0,0
180,1978,0,8
184,1973,0,1
188,1977,0,0
192,1979,0,4
196,2000,0,1
200,1999,0,0
204,2015,0,2
208,2018,0,0
212,2038,0,4
216,2048,0,0
220,2058,0,0
224,2055,0,0
228,2055,0,0
232,2082,0,0
236,2079,0,0
240,2095,0,0
244,2108,0,0
248,2106,0,0
252,2106,0,0
256,2130,0,1
260,2130,0,1
264,2151,0,0
268,2151,0,0
272,2164,0,0
276,2171,0,0
280,2186,0,2
284,2186,0,2
288,2192,0,0
292,2206,0,2
296,2219,0,0
300,2223,0,10
304,2223,0,0
308,2239,0,1
312,2251,0,2
316,2251,0,2
320,2269,0,0
324,2269,0,0
328,2288,0,0
332,2298,0,0
336,2310,0,0
340,2317,0,0
344,2320,0,2
348,2320,0,2
352,2340,0,0
356,2344,0,0
360,2344,0,0
364,2368,0,0
368,2372,0,0
372,2384,0,0
376,2390,0,10
380,2390,0,10
384,2402,0,1
388,2410,0,6
392,2415,0,0
396,2427,0,1
400,2427,0,1
404,2437,0,0
408,2450,0,0
412,2450,0,0
416,2464,0,1
420,2464,0,1
424,2480,0,0
428,2480,0,0
432,2488,0,6
436,2488,0,6
440,2489,0,2
444,2501,0,4
448,2497,0,3
452,2517,0,3
456,2525,0,0
460,2528,0,0
464,2528,0,0
468,2529,0,2
472,2537,0,1
476,2546,0,0
480,2551,0,0
484,2555,0,1
488,2559,0,2
492,2545,0,1
496,2567,0,0
500,2576,0,4
504,2581,0,3
508,2576,0,2
512,2576,0,2
516,2580,0,0
520,2579,0,0
524,2591,0,7
528,2591,0,7
532,2600,0,0
536,2602,0,0
540,2602,0,0
544,2597,0,0
548,2599,0,0
552,2612,0,0
556,2606,0,4
560,2607,0,4
564,2606,0,0
568,2606,0,0
572,2615,0,3
576,2615,0,3
580,2624,0,0
584,2620,0,0
588,2620,0,2
592,2615,0,0
596,2618,0,1
600,2619,0,1
604,2611,0,0
608,2614,0,4
612,2614,0,4
616,2607,0,0
620,2607,0,1
624,2607,0,1
628,2611,0,0
632,2613,0,0
636,2613,0,0
640,2595,0,0
644,2608,0,0
648,2593,0,6
652,2606,0,0
656,2599,0,2
660,2594,0,0
664,2591,0,0
668,2591,0,0
672,2583,0,3
676,2571,0,1
680,2568,0,0
684,2578,0,0
688,2574,0,0
692,2578,0,0
696,2578,0,0
700,2560,0,2
704,2560,0,0
708,2543,0,2
712,2537,0,0
716,2537,0,0
720,2541,0,0
724,2534,0,0
728,2527,0,0
732,2517,0,2
736,2517,0,2
740,2512,0,0
744,2509,0,0
748,2496,0,0
752,2492,0,6
756,2482,0,0
760,2485,0,0
764,2468,0,10
768,2449,0,0
772,2439,0,10
776,2428,0,0
780,2416,0,0
784,2396,0,0
788,2388,0,0
792,2382,0,0
796,2355,0,0
800,2341,0,0
804,2320,0,0
808,2310,0,0
812,2296,0,0
816,2286,0,3
820,2261,0,2
824,2247,0,0
828,2240,0,0
832,2215,0,0
836,2200,0,1
840,2190,0,3
844,2172,0,0
848,2165,0,0
852,2149,0,6
856,2129,0,0
860,2132,0,0
864,2119,0,0
868,2115,0,0
872,2100,0,1
876,2096,0,0
880,2077,0,0
884,2078,0,1
888,2072,0,0
892,2054,0,0
896,2037,0,0
900,2032,0,0
904,2024,0,4
908,2007,0,0
912,2003,0,0
916,1997,0,0
920,1979,0,0
924,1994,0,0
928,1963,0,2
932,1968,0,0
936,1956,0,0
940,1954,0,2
944,1946,0,0
948,1935,0,6
952,1909,0,0
956,1924,0,3
960,1924,0,3
964,1906,0,4
968,1902,0,0
972,1889,0,0
976,1891,0,0
980,1890,0,0
984,1890,0,0
988,1874,0,0
992,1863,0,0
996,1869,0,1
1000,1866,0,0
1004,1856,0,0
1008,1858,0,0
1012,1843,0,0
1016,1853,0,0
1020,1854,0,5
1024,1852,0,0
1028,1844,0,0
