meep,,,
time,q1,q2,tau
0,2174,-209,0
4,2165,-209,6
8,2165,-209,6
12,2179,-209,0
16,2176,-209,0
20,2175,-209,6
24,2180,-209,1
28,2169,-209,3
32,2179,-209,0
36,2175,-209,4
40,2178,-209,3
44,2182,-209,0
48,2179,-209,2
52,2186,-209,4
56,2186,-209,4
60,2179,-209,6
64,2173,-209,0
68,2172,-209,0
72,2175,-209,6
76,2175,-209,6
80,2174,-209,2
84,2180,-209,0
88,2184,-209,0
92,2178,-209,6
96,2179,-209,5
100,2169,-209,0
104,2184,-209,0
108,2170,-209,0
112,2178,-209,0
116,2180,-209,1
120,2168,-209,0
124,2165,-209,4
128,2172,-209,1
132,2176,-209,2
136,2179,-209,0
140,2181,-209,0
144,2157,-209,0
148,2157,-209,0
152,2180,-209,1
156,2180,-209,0
160,2180,-209,1
164,2186,-209,0
168,2177,-209,1
172,2173,-209,0
176,2166,-209,2
180,2174,-209,0
184,2181,-209,0
188,2176,-208,0
192,2174,-208,0
196,2174,-208,0
200,2171,-207,1
204,2168,-207,0
208,2172,-206,0
212,2172,-205,0
216,2163,-205,2
220,2163,-204,2
224,2181,-203,0
228,2181,-202,0
232,2175,-200,2
236,2172,-199,0
240,2174,-198,2
244,2174,-197,2
248,2172,-195,0
252,2174,-193,7
256,2174,-192,7
260,2157,-190,4
264,2176,-189,0
268,2174,-187,1
272,2174,-185,1
276,2171,-183,0
280,2159,-181,0
284,2172,-179,0
288,2172,-176,0
292,2171,-174,0
296,2169,-172,0
300,2180,-169,0
304,2180,-167,0
308,2165,-164,0
312,2168,-162,4
316,2169,-159,0
320,2169,-156,0
324,2180,-154,0
328,2168,-151,0
332,2168,-148,0
336,2180,-145,0
340,2180,-141,4
344,2164,-138,0
348,2163,-135,0
352,2174,-131,2
356,2174,-128,2
360,2169,-124,5
364,2172,-121,3
368,2163,-117,1
372,2165,-113,0
376,2155,-109,1
380,2157,-106,6
384,2165,-102,0
388,2162,-98,6
392,2170,-94,2
396,2153,-90,5
400,2175,-86,0
404,2166,-81,4
408,2164,-77,0
412,2170,-73,8
416,2166,-69,0
420,2161,-65,0
424,2161,-60,0
428,2159,-56,0
432,2170,-52,0
436,2159,-47,0
440,2159,-43,4
444,2151,-39,4
448,2155,-34,0
452,2165,-30,0
456,2165,-26,1
460,2170,-22,3
464,2152,-17,0
468,2162,-13,4
472,2157,-9,2
476,2157,-5,2
480,2155,0,2
484,2162,4,2
488,2162,8,2
492,2170,12,4
496,2170,16,4
500,2147,20,0
504,2168,25,0
508,2170,33,0
512,2174,41,0
516,2160,49,0
520,2153,56,0
524,2168,64,3
528,2163,71,1
532,2164,79,0
536,2165,85,3
540,2153,93,1
544,2174,100,1
548,2162,106,0
552,2163,112,2
556,2166,118,1
560,2157,124,0
564,2159,129,0
568,2164,135,0
572,2164,140,1
576,2164,144,0
580,2164,148,0
584,2164,152,10
588,2165,156,3
592,2157,160,4
596,2159,163,0
600,2174,165,1
604,2151,168,0
608,2170,170,0
612,169,4,
616,2165,171,4
620,2158,172,0
624,2168,173,6
628,2168,174,6
632,2167,174,0
636,2154,174,1
640,2172,175,0
644,2165,175,3
648,2168,175,0
652,2157,175,0
656,2166,175,6
660,2173,176,0
664,2161,177,2
668,2164,177,4
672,2170,176,0
676,2153,174,0
680,2163,173,0
684,2167,172,0
688,2153,170,3
692,2174,169,0
696,2174,168,0
700,2159,165,0
704,2162,163,0
708,2153,162,0
712,2151,158,2
716,2151,156,2
720,2157,154,3
724,2164,150,2
728,2164,148,0
732,2164,146,0
736,2153,141,0
740,2170,139,2
744,2165,136,1
748,2164,131,0
752,2164,129,0
756,2165,125,3
760,2153,120,0
764,2160,117,0
768,2174,114,0
772,2167,108,0
776,2167,105,0
780,2165,101,1
784,2155,95,0
788,2164,92,0
792,2162,88,0
796,2157,85,0
800,2155,81,0
804,2155,78,0
808,2164,74,0
812,2164,71,0
816,2160,67,0
820,2164,63,0
824,2163,60,0
828,2164,56,0
832,2163,52,0
836,2165,49,4
840,2161,45,7
844,2161,41,7
848,2147,37,0
852,2147,33,4
856,2168,30,0
860,2152,26,8
864,2157,22,3
868,2157,18,3
872,2166,14,0
876,2153,11,0
880,2164,7,0
884,2159,3,2
888,2151,-1,0
892,2151,-5,0
896,2171,-9,3
900,2166,-13,1
904,2164,-16,2
908,2166,-20,2
912,2167,-24,0
916,2167,-27,0
920,2167,-31,0
924,2167,-35,1
928,2167,-38,1
932,2158,-42,0
936,2165,-45,0
940,2165,-49,0
944,2160,-52,0
948,2175,-56,0
952,2175,-59,0
956,2151,-63,5
960,2161,-66,6
964,2152,-69,7
968,2165,-72,0
972,2167,-76,0
976,2164,-79,1
980,2162,-82,2
984,2160,-85,0
988,2168,-88,0
992,2170,-90,0
996,2170,-93,0
1000,2163,-96,2
1004,2162,-99,1
1008,2162,-101,1
1012,2153,-104,0
1016,2155,-107,0
1020,2165,-109,0
1024,2157,-111,0
1028,2165,-114,1
1032,2170,-116,0
1036,2164,-118,0
1040,2161,-121,0
1044,2170,-123,2
1048,2160,-125,1
1052,2153,-127,7
1056,2168,-129,0
1060,2165,-131,0
1064,2164,-132,1
1068,2164,-134,1
1072,2161,-135,0
1076,2155,-137,0
1080,2165,-138,0
1084,2165,-140,0
1088,2160,-141,0
1092,2170,-142,2
1096,2162,-143,0
1100,2157,-144,2
1104,2170,-145,0
1108,2163,-146,4
1112,2163,-147,4
1116,2164,-148,4
1120,2155,-149,0
1124,2164,-149,4
1128,2164,-150,4
1132,2153,-150,1
1136,2153,-151,0
1140,2170,-151,1
1144,2160,-151,0
1148,2160,-151,0
1152,2160,-152,7
1156,2160,-152,7
1160,2151,-152,0
1164,2151,-152,0
1168,2168,-152,0
1172,2170,-153,2
1176,2171,-154,0
1180,2159,-154,0
1184,2164,-153,0
1188,2166,-153,0
1192,2166,-152,0
1196,2168,-151,0
1200,2174,-150,0
1204,2174,-149,0
1208,2165,-148,0
1212,2168,-147,1
1216,2168,-146,1
1220,2164,-145,1
1224,2152,-143,1
1228,2159,-142,0
1232,2153,-140,0
1236,2168,-139,0
1240,2165,-137,0
1244,2167,-135,0
1248,2167,-134,0
1252,2167,-132,1
1256,2163,-130,2
1260,2163,-128,2
1264,2168,-126,0
1268,2152,-124,2
1272,2160,-122,1
1276,2174,-119,0
1280,2174,-117,0
1284,2165,-115,0
1288,2162,-113,0
1292,2174,-110,0
1296,2174,-108,0
1300,2168,-105,0
1304,2165,-102,1
1308,2165,-100,1
1312,2172,-97,0
1316,2170,-94,10
1320,2164,-92,1
1324,2160,-89,0
1328,2162,-86,10
1332,2164,-83,0
1336,2165,-80,0
1340,2168,-77,0
1344,2164,-74,0
1348,2159,-71,0
1352,2170,-67,3
1356,2170,-64,3
1360,2165,-61,0
1364,2165,-58,0
1368,2168,-55,2
1372,2163,-51,0
1376,2168,-48,0
1380,2167,-44,0
1384,2155,-41,0
1388,2163,-38,0
1392,2153,-35,0
1396,2162,-31,0
1400,2162,-28,0
1404,2173,-24,0
1408,2166,-21,0
1412,2166,-18,0
1416,2164,-14,4
1420,2164,-11,4
1424,2163,-7,6
1428,2155,-4,0
1432,2155,-1,0
1436,2168,3,6
1440,2166,6,6
1444,2162,9,0
1448,2162,13,0
1452,2170,16,0
1456,2165,20,0
1460,2165,23,0
1464,2174,26,0
1468,2160,29,0
1472,2159,33,6
1476,2157,36,2
1480,2167,39,0
1484,2170,42,0
1488,2170,45,0
1492,2164,48,2
1496,2166,51,6
1500,2164,54,0
1504,2153,57,0
1508,2168,60,0
1512,2155,63,0
1516,2153,66,0
1520,2163,69,0
1524,2168,72,6
1528,2160,74,0
1532,2157,77,0
1536,2167,80,11
1540,2160,82,7
1544,2170,85,0
1548,2153,87,0
1552,2165,90,0
1556,2153,92,0
1560,2167,94,1
1564,2168,96,0
1568,2168,99,0
1572,2165,101,0
1576,2162,103,0
1580,2162,105,0
1584,2154,107,2
1588,2159,109,0
1592,2163,110,0
1596,2170,112,0
1600,2166,114,4
1604,2166,115,4
1608,2164,117,0
1612,2170,118,0
1616,2165,120,0
1620,2161,121,2
1624,2161,123,2
1628,2165,124,0
1632,2168,125,0
1636,2165,126,2
1640,2149,127,2
1644,2149,128,2
1648,2153,129,2
1652,2164,130,2
1656,2172,131,0
1660,2174,131,6
1664,2153,132,0
1668,2164,132,2
1672,2162,133,4
1676,2168,133,3
1680,2170,133,4
1684,2165,133,1
1688,2164,134,1
1692,2168,134,1
1696,2168,134,0
1700,2170,134,0
1704,2160,134,0
1708,2166,134,0
1712,2164,134,0
1716,2162,134,2
1720,2174,135,2
1724,2153,135,0
1728,2170,134,0
1732,2161,134,0
1736,2166,133,4
1740,2164,132,0
1744,2162,131,1
1748,2172,130,0
1752,2162,129,0
1756,2165,128,0
1760,2166,127,1
1764,2170,126,0
1768,2162,125,4
1772,2162,123,4
1776,2160,122,2
1780,2164,121,0
1784,2157,119,0
1788,2170,117,0
1792,2165,116,1
1796,2157,114,0
1800,2164,113,0
1804,2151,111,0
1808,2168,109,8
1812,2153,107,1
1816,2170,105,0
1820,2170,103,0
1824,2168,101,0
1828,2167,99,0
1832,2164,97,0
1836,2153,94,2
1840,2153,92,2
1844,2160,90,5
1848,2167,87,1
1852,2167,85,1
1856,2147,83,0
1860,2155,80,0
1864,2170,77,0
1868,2170,75,0
1872,2159,72,1
1876,2160,70,0
1880,2160,67,0
1884,2163,64,0
1888,2165,59,1
1892,2165,53,0
1896,2164,47,0
1900,2168,42,0
1904,2149,36,0
1908,2159,30,0
1912,2165,24,0
1916,2157,18,1
1920,2165,12,0
1924,2165,6,0
1928,2157,0,2
1932,2145,-6,0
1936,2161,-12,0
1940,2165,-18,0
1944,2164,-24,0
1948,2170,-30,1
1952,2153,-35,0
1956,2164,-41,0
1960,2170,-46,0
1964,2163,-51,3
1968,2164,-57,1
1972,2165,-62,0
1976,2167,-67,0
1980,2168,-71,0
1984,2157,-76,1
1988,2163,-80,0
1992,2162,-84,4
1996,2159,-88,2
2000,2163,-90,0
2004,2164,-91,4
2008,2165,-95,4
2012,2167,-98,0
2016,2167,-99,0
2020,2174,-101,0
2024,2170,-104,2
2028,2149,-105,0
2032,2155,-106,0
2036,2164,-108,1
2040,2173,-109,1
2044,2170,-110,0
2048,2164,-112,1
2052,2153,-113,0
2056,2167,-113,0
2060,2170,-115,0
2064,2157,-115,0
2068,2153,-115,0
2072,2162,-116,0
2076,2162,-117,0
2080,2170,-117,0
2084,2170,-117,6
2088,2170,-117,6
2092,2153,-117,2
2096,2168,-117,4
2100,2162,-117,6
2104,2162,-117,6
2108,2151,-117,2
2112,2168,-117,0
2116,2174,-116,3
2120,2170,-115,0
2124,2170,-114,0
2128,2164,-113,1
2132,2165,-111,0
2136,2174,-110,0
2140,2150,-109,5
2144,2168,-107,3
2148,2157,-105,0
2152,2153,-104,0
2156,2164,-101,0
2160,2165,-100,0
2164,2165,-98,0
2168,2165,-95,0
2172,2151,-93,4
2176,2168,-92,0
2180,2165,-88,3
2184,2162,-86,0
2188,2166,-84,0
2192,2170,-80,6
2196,2162,-78,1
2200,2162,-76,1
2204,2162,-74,2
2208,2168,-72,3
2212,2160,-69,0
2216,2161,-67,0
2220,2168,-65,0
2224,2168,-63,0
2228,2168,-60,0
2232,2165,-58,0
2236,2160,-55,0
2240,2166,-53,0
2244,2162,-51,0
2248,2162,-48,0
2252,2167,-46,0
2256,2167,-43,0
2260,2161,-41,4
2264,2161,-38,4
2268,2147,-36,0
2272,2161,-33,0
2276,2162,-30,0
2280,2162,-28,0
2284,2172,-25,0
2288,2170,-22,0
2292,2160,-20,0
2296,2170,-17,0
2300,2151,-14,0
2304,2166,-12,0
2308,2164,-9,0
2312,2166,-7,0
2316,2166,-4,0
2320,2168,-1,1
2324,2154,1,0
2328,2170,4,3
2332,2155,7,0
2336,2156,9,0
2340,2162,12,0
2344,2159,15,1
2348,2160,17,7
2352,2160,20,7
2356,2155,22,0
2360,2166,25,0
2364,2147,28,0
2368,2153,30,0
2372,2167,32,0
2376,2153,35,0
2380,2162,37,0
2384,2165,39,0
2388,2160,42,4
2392,2155,44,0
2396,2164,46,0
2400,2164,49,0
2404,2165,51,0
