$A,,,
time,q1,q2,tau
0,2194,-192,0
4,2188,-192,0
8,2196,-192,2
12,2192,-192,0
16,2177,-192,0
20,2189,-192,1
24,2184,-192,8
28,2196,-192,0
32,2179,-191,0
36,2183,-191,0
40,2183,-191,0
44,2194,-191,0
48,2183,-190,1
52,2185,-190,0
56,2192,-189,7
60,2183,-189,0
64,2200,-188,2
68,2189,-187,1
72,2176,-186,3
76,2187,-184,0
80,2186,-182,0
84,2189,-180,8
88,2177,-177,0
92,2192,-175,0
96,2177,-171,0
100,2177,-168,0
104,2189,-164,0
108,0,,
112,2177,-160,0
116,2192,-158,0
120,2177,-156,0
124,2200,-151,0
128,2181,-149,0
132,2176,-146,0
136,2190,-141,2
140,2192,-138,0
144,2192,-135,0
148,2184,-130,2
152,2176,-127,1
156,2167,-124,0
160,2189,-118,0
164,2177,-114,0
168,2170,-111,0
172,2184,-104,0
176,2182,-101,0
180,2192,-97,0
184,2176,-90,6
188,2186,-87,4
192,2186,-83,4
196,2191,-76,0
200,2177,-72,0
204,2181,-68,0
208,2184,-61,0
212,2184,-57,0
216,2186,-53,0
220,2188,-46,0
224,2171,-42,0
228,2181,-38,0
232,2183,-30,0
236,2179,-26,2
240,2177,-22,3
244,2181,-15,1
248,2181,-11,0
252,2181,-7,0
256,2190,1,0
260,2187,5,0
264,2184,8,0
268,2176,12,0
272,2177,16,0
276,2180,20,0
280,2179,23,0
284,2176,27,0
288,2169,31,1
292,2181,34,0
296,2179,38,0
300,2194,42,0
304,2194,45,0
308,2181,49,0
312,2194,52,0
316,2186,55,10
320,2186,59,10
324,2175,62,0
328,2176,66,0
332,2176,69,0
336,2179,72,0
340,2179,75,0
344,2187,78,2
348,2178,81,0
352,2165,85,0
356,2189,87,0
360,2175,90,0
364,2180,93,4
368,2186,96,0
372,2184,99,0
376,2181,101,0
380,2177,104,2
384,2165,107,0
388,2165,109,0
392,2184,112,0
396,2177,114,6
400,2182,117,0
404,2182,119,0
408,2183,121,4
412,2174,124,6
416,2182,126,0
420,2182,128,3
424,2175,130,0
428,2188,132,4
432,2176,134,0
436,2178,136,0
440,2184,137,0
444,2182,139,0
448,2182,140,0
452,2177,142,0
456,2182,143,2
460,2183,144,0
464,2167,145,2
468,2184,146,0
472,2184,148,1
476,2184,149,1
480,2178,149,0
484,2182,150,4
488,2173,151,1
492,2184,152,0
496,2181,152,0
500,2186,153,0
504,2169,153,0
508,2186,153,10
512,2181,154,0
516,2181,154,0
520,2181,154,0
524,2177,154,0
528,2171,154,0
532,2179,154,0
536,2183,154,0
540,2192,154,0
544,2186,154,0
548,2184,153,3
552,2183,152,6
556,2183,152,6
560,2174,151,0
564,2181,150,1
568,2180,150,1
572,2177,149,0
576,2177,148,0
580,2181,147,0
584,2182,146,0
588,2176,144,0
592,2176,143,0
596,2182,142,0
600,2179,140,3
604,2182,139,0
608,2192,137,6
612,2179,136,0
616,2185,134,0
620,2184,132,0
624,2180,130,0
628,2186,128,0
632,2181,126,0
636,2176,124,0
640,2184,122,2
644,2181,120,0
648,2178,118,0
652,2183,116,0
656,2188,113,1
660,2188,111,1
664,2180,108,0
668,2186,106,0
672,2186,103,0
676,2181,101,1
680,2181,98,0
684,2176,95,0
688,2183,93,1
692,2184,90,2
696,2180,86,0
700,2184,84,0
704,2179,81,0
708,2179,78,0
712,2179,74,0
716,2179,72,0
720,2186,68,0
724,2186,65,0
728,2179,62,0
732,2184,58,0
736,2181,55,0
740,2176,52,0
744,2186,48,10
748,2181,45,0
752,2183,42,3
756,2190,38,0
760,2186,35,7
764,2178,31,0
768,2184,28,6
772,2184,24,6
776,2188,21,0
780,2188,17,0
784,2179,14,0
788,2176,10,2
792,2183,7,0
796,2180,4,0
800,2185,0,1
804,2185,-4,1
808,2180,-7,0
812,2180,-10,0
816,2184,-14,10
820,2181,-18,0
824,2169,-21,0
828,2188,-24,0
832,2188,-28,0
836,2188,-31,0
840,2179,-34,0
844,2170,-38,1
848,2170,-41,1
852,2173,-44,0
856,2181,-48,0
860,2181,-51,0
864,2179,-54,0
868,2183,-57,1
872,2184,-60,0
876,2192,-63,0
880,2192,-66,0
884,2179,-69,0
888,2181,-72,0
892,2169,-75,1
896,2183,-78,0
900,2190,-81,0
904,2180,-83,0
908,2184,-86,2
912,2183,-89,3
916,2178,-91,0
920,2178,-94,0
924,2177,-96,0
928,2179,-99,0
932,2181,-101,0
936,2181,-104,0
940,2181,-106,0
944,2183,-108,1
948,2169,-110,0
952,2186,-112,0
956,2186,-114,0
960,2181,-116,0
964,2172,-118,0
968,2187,-120,0
972,2187,-121,0
976,2181,-123,0
980,2183,-124,0
984,2190,-126,0
988,2175,-128,2
992,2179,-129,0
996,2186,-130,8
1000,2181,-132,0
1004,2190,-133,2
1008,2182,-134,0
1012,2181,-135,0
1016,2181,-136,0
1020,2182,-137,0
1024,2167,-138,0
1028,2179,-138,4
1032,2179,-139,4
1036,2174,-140,0
1040,2180,-140,0
1044,2165,-141,0
1048,2172,-141,0
1052,2181,-142,0
1056,2181,-142,0
1060,2177,-142,0
1064,2177,-142,0
1068,2171,-142,0
1072,2177,-142,0
1076,2190,-142,0
1080,2190,-142,0
1084,2180,-142,0
1088,2175,-142,1
1092,2181,-142,0
1096,2188,-143,6
1100,2181,-142,4
1104,2176,-142,6
1108,2183,-141,0
1112,2174,-140,0
1116,2175,-140,0
1120,2183,-139,0
1124,2177,-138,6
1128,2177,-137,6
1132,2179,-136,0
1136,2179,-134,1
1140,2188,-133,0
1144,2188,-132,0
1148,2184,-130,0
1152,2186,-129,2
1156,2183,-127,1
1160,2177,-126,0
1164,2177,-124,2
1168,2184,-122,0
1172,2186,-121,0
1176,2187,-119,0
1180,2185,-117,0
1184,2185,-115,0
1188,2180,-113,0
1192,2183,-111,0
1196,2179,-109,0
1200,2179,-107,0
1204,2178,-105,3
1208,2186,-102,0
1212,2180,-100,0
1216,2182,-98,0
1220,2169,-95,0
1224,2169,-93,0
1228,2184,-90,0
1232,2175,-88,0
1236,2175,-85,0
1240,2177,-82,0
1244,2190,-80,2
1248,2182,-77,0
1252,2184,-74,0
1256,2184,-71,7
1260,2177,-68,0
1264,2184,-66,0
1268,2184,-63,0
1272,2184,-60,0
1276,2180,-57,0
1280,2183,-54,0
1284,2183,-51,0
1288,2180,-48,1
1292,2187,-45,2
1296,2167,-42,0
1300,2182,-39,0
1304,2163,-36,2
1308,2177,-33,0
1312,2171,-30,0
1316,2171,-27,0
1320,2177,-24,0
1324,2163,-21,0
1328,2180,-18,0
1332,2180,-14,0
1336,2184,-11,0
1340,2184,-8,0
1344,2182,-5,1
1348,2182,-2,1
1352,2161,1,0
1356,2161,4,0
1360,2181,7,0
1364,2179,10,2
1368,2186,13,0
1372,2186,16,0
1376,2183,22,0
1380,2184,27,0
1384,2186,33,4
1388,2182,39,2
1392,2177,44,8
1396,2186,50,10
1400,2177,55,1
1404,2184,60,0
1408,2181,64,0
1412,2186,69,0
1416,2171,74,0
1420,2177,78,0
1424,2182,82,0
1428,2182,86,1
1432,2183,90,0
1436,2178,93,0
1440,2177,96,0
1444,2181,99,0
1448,2178,102,0
1452,2186,104,2
1456,2188,107,0
1460,2177,108,0
1464,2177,110,0
1468,2185,112,0
1472,2182,113,1
1476,2184,114,0
1480,2184,113,0
1484,2190,114,0
1488,2186,114,4
1492,2175,115,0
1496,2182,115,0
1500,2186,115,0
1504,2186,115,0
1508,2177,115,0
1512,2173,115,1
1516,2173,115,0
1520,2180,116,0
1524,2186,117,0
1528,2177,118,0
1532,2176,117,1
1536,2176,116,1
1540,2182,115,0
1544,2186,113,0
1548,2181,112,1
1552,2186,111,2
1556,2176,109,3
1560,2180,108,0
1564,2177,106,2
1568,2183,103,0
1572,2180,102,0
1576,2177,100,2
1580,2182,97,0
1584,2188,95,0
1588,2181,93,0
1592,2177,90,0
1596,2184,88,0
1600,2187,86,8
1604,2181,82,4
1608,2186,80,4
1612,2180,78,0
1616,2180,73,1
1620,2169,71,0
1624,2183,68,6
1628,2181,64,0
1632,2184,61,0
1636,2188,59,1
1640,2181,54,1
1644,2182,52,10
1648,2171,49,1
1652,2177,44,0
1656,2177,41,0
1660,2187,39,2
1664,2177,36,0
1668,2185,33,0
1672,2183,28,2
1676,2177,25,2
1680,2178,22,0
1684,2186,20,0
1688,2172,17,0
1692,2179,14,0
1696,2178,12,0
1700,2186,9,1
1704,2186,6,0
1708,2180,4,5
1712,2180,1,0
1716,2181,-2,0
1720,2181,-5,0
1724,2186,-8,2
1728,2186,-10,2
1732,2177,-13,0
1736,2171,-15,0
1740,2173,-18,0
1744,2181,-21,0
1748,2175,-23,0
1752,2179,-26,2
1756,2170,-28,0
1760,2179,-31,0
1764,2190,-33,6
1768,2190,-36,6
1772,2178,-38,0
1776,2191,-41,0
1780,2191,-43,0
1784,2186,-46,6
1788,2180,-48,0
1792,2167,-50,1
1796,2186,-52,2
1800,2186,-55,0
1804,2186,-57,4
1808,2182,-59,0
1812,2180,-61,4
1816,2174,-63,0
1820,2183,-66,6
1824,2183,-67,0
1828,2177,-69,0
1832,2177,-71,0
1836,2186,-73,2
1840,2179,-75,0
1844,2181,-77,0
1848,2184,-78,0
1852,2176,-80,2
1856,2177,-82,0
1860,2170,-83,0
1864,2177,-85,0
1868,2184,-86,0
1872,2182,-88,0
1876,2180,-89,0
1880,2170,-90,0
1884,2186,-91,10
1888,2186,-93,2
1892,2181,-94,10
1896,2181,-95,10
1900,2177,-96,4
1904,2186,-97,0
1908,2186,-98,0
1912,2182,-99,4
1916,2180,-99,0
1920,2181,-100,0
1924,2180,-101,4
1928,2182,-102,1
1932,2177,-102,0
1936,2181,-103,4
1940,2189,-103,0
1944,2179,-103,0
1948,2179,-104,0
1952,2176,-104,2
1956,2176,-104,2
1960,2177,-104,0
1964,2183,-104,0
1968,2180,-104,0
1972,2171,-104,0
1976,2185,-104,0
1980,2185,-104,0
1984,2184,-104,3
1988,2183,-104,0
1992,2175,-104,2
1996,2183,-105,0
2000,2183,-105,0
2004,2183,-105,0
2008,2183,-106,0
2012,2175,-106,0
2016,2181,-107,0
2020,2177,-106,6
2024,2171,-105,2
2028,2188,-104,6
2032,2184,-103,0
2036,2186,-102,0
2040,2180,-101,0
2044,2167,-100,3
2048,2167,-99,3
2052,2177,-98,0
2056,2182,-97,3
2060,2175,-96,0
2064,2176,-94,0
2068,2184,-93,2
2072,2182,-91,1
2076,2180,-90,0
2080,2175,-89,0
2084,2181,-87,0
2088,2192,-85,0
2092,2163,-84,0
2096,2163,-82,0
2100,2181,-80,3
2104,2190,-79,3
2108,2167,-77,0
2112,2184,-75,0
2116,2180,-73,0
2120,2176,-71,0
2124,2165,-69,0
2128,2181,-67,0
2132,2185,-65,0
2136,2180,-63,0
2140,2186,-61,0
2144,2176,-59,0
2148,2174,-57,0
2152,2174,-55,0
2156,2176,-52,2
2160,2180,-50,0
2164,2176,-48,0
2168,2177,-46,0
2172,2177,-44,0
2176,2179,-41,0
2180,2183,-39,0
2184,2168,-37,0
2188,2182,-34,6
2192,2192,-32,0
2196,2178,-30,0
2200,2178,-28,0
2204,2180,-25,0
2208,2174,-23,0
2212,2182,-21,1
2216,2177,-18,0
2220,2182,-16,8
2224,2186,-13,2
2228,2186,-11,2
2232,2182,-9,0
2236,2182,-6,0
2240,2180,-4,0
2244,2181,-2,0
2248,2181,1,0
2252,2179,3,0
2256,2181,6,0
2260,2181,8,0
2264,2173,10,0
2268,2173,12,0
2272,2182,14,0
2276,2177,17,0
2280,2186,19,0
2284,2182,21,0
2288,2173,23,0
2292,2171,25,0
2296,2163,27,0
2300,2188,30,0
2304,2179,32,2
2308,2180,34,0
2312,2180,36,0
2316,2183,38,2
2320,2181,40,1
2324,2186,42,2
2328,2182,44,0
2332,2175,46,0
2336,2186,47,0
2340,2186,49,0
2344,2176,51,0
2348,2188,53,1
2352,2163,54,0
2356,2179,56,0
2360,2190,58,2
2364,2183,59,1
2368,2171,61,0
2372,2186,62,4
2376,2176,64,1
2380,2176,65,1
2384,2180,66,0
2388,2178,68,0
2392,2178,69,0
2396,2177,70,0
2400,2177,71,0
2404,2185,72,0
2408,2185,74,0
2412,2176,74,0
2416,2184,75,0
2420,2180,76,0
2424,2177,77,2
2428,2179,78,10
2432,2183,79,0
2436,2179,80,2
2440,2174,80,6
2444,2171,81,0
2448,2171,81,0
2452,2184,82,0
2456,2178,82,0
2460,2181,83,0
2464,2186,83,0
2468,2179,83,4
2472,2169,84,0
2476,2180,84,1
2480,2188,84,0
2484,2188,84,0
2488,2178,84,0
2492,2178,84,0
2496,2177,84,0
2500,2176,84,0
2504,2180,84,0
2508,2180,84,0
2512,2173,84,2
2516,2181,84,0
2520,2180,84,0
2524,2181,83,0
2528,2171,83,0
2532,2180,82,0
2536,2180,82,0
2540,2177,81,0
