eee
time,q1,q2,tau
e
time,q1,q2,tau
meep
time,q1,q2,tau
29103,1198,0,1
29104,1191,0,5
29105,1202,0,6
29106,1184,0,1
29107,1196,0,0
29108,1196,0,0
29109,1185,0,0
29110,1199,0,2
29111,1199,0,2
29112,1202,0,4
29113,1197,0,1
29114,1193,0,7
29115,1191,0,1
29116,1187,0,5
29117,1199,0,0
29118,1196,0,1
29119,1191,0,0
29120,1200,0,1
29121,1191,0,11
29122,1191,0,11
29123,1198,0,0
29124,1206,0,1
29125,1193,0,0
29126,1193,0,4
29127,1200,0,1
29128,1189,0,7
29129,1196,0,0
29130,1202,0,0
29131,1194,0,4
29132,1193,0,4
29133,1188,0,6
29134,1185,0,0
29135,1185,0,0
29136,1192,0,0
29137,1198,0,1
29138,1189,0,3
29139,1196,0,7
29140,1191,0,6
29141,1185,0,10
29142,1185,0,1
29143,1185,0,1
29144,1199,0,7
29145,1185,0,4
29146,1202,0,4
29147,1202,0,4
29148,1197,0,1
29149,1194,0,0
29150,1189,0,6
29151,1197,0,0
29152,1192,0,3
29153,1185,0,5
29154,1197,0,0
29155,1198,0,7
29156,1185,0,0
29157,1198,0,11
29158,1191,0,2
29159,1191,0,2
29160,1188,0,7
29161,1189,0,5
29162,1197,0,0
29163,1199,0,1
29164,1197,0,1
29165,1194,0,5
29166,1194,0,5
29167,1192,0,7
29168,1192,0,7
29169,1199,0,4
29170,1187,0,5
29171,1194,0,0
29172,1194,0,0
29173,1197,0,4
29174,1197,0,4
29175,1191,0,4
29176,1193,0,1
29177,1193,0,1
29178,1192,0,5
29179,1192,0,7
29180,1200,0,1
29181,1200,0,0
29182,1187,0,5
29183,1187,0,5
29184,1195,0,1
29185,1193,0,6
29186,1197,0,4
29187,1197,0,4
29188,1192,0,0
29189,1192,0,0
29190,1189,0,0
29191,1193,0,5
29192,1191,0,0
29193,1192,0,6
29194,1187,0,0
29195,1193,0,5
29196,1194,0,0
29197,1200,0,7
29198,1199,0,4
29199,1187,0,0
29200,1200,0,6
29201,1187,0,4
29202,1202,0,1
29203,1202,0,1
29204,1187,0,4
29205,1198,0,6
29206,1192,0,0
29207,1192,0,0
29208,1191,0,4
29209,1196,0,7
29210,1195,0,5
29211,1198,0,0
29212,1191,0,2
29213,1202,0,2
29214,1202,0,2
29215,1189,0,5
29216,1198,0,4
29217,1195,0,3
29218,1201,0,1
29219,1201,0,1
29220,1191,0,14
29221,1185,0,7
29222,1184,0,0
29223,1189,0,7
29224,1196,0,0
29225,1199,0,1
29226,1192,0,4
29227,1192,0,4
29228,1200,0,0
29229,1193,0,7
29230,1192,0,5
29231,1193,0,0
29232,1194,0,7
29233,1192,0,6
29234,1197,0,0
29235,1206,0,10
29236,1198,0,0
29237,1190,0,0
29238,1196,0,5
29239,1184,0,0
29240,1187,0,0
29241,1192,0,9
29242,1191,0,1
29243,1191,0,1
29244,1189,0,0
29245,1192,0,7
29246,1196,0,5
29247,1192,0,0
29248,1185,0,2
29249,1187,0,2
29250,1187,0,2
29251,1199,0,5
29252,1192,0,6
29253,1199,0,0
29254,1208,0,10
29255,1196,0,0
29256,1196,0,0
29257,1192,0,3
29258,1193,0,1
29259,1193,0,1
29260,1187,0,5
29261,1200,0,0
29262,1191,0,7
29263,1187,0,7
29264,1187,0,7
29265,1189,0,7
29266,1189,0,7
29267,1190,0,5
29268,1197,0,3
29269,1195,0,6
29270,1195,0,6
29271,1186,0,4
29272,1194,0,6
29273,1194,0,6
29274,1200,0,0
29275,1193,0,0
29276,1187,0,7
29277,1197,0,1
29278,1197,0,1
29279,1197,0,5
29280,1202,0,0
29281,1196,0,3
29282,1190,0,4
29283,1197,0,0
29284,1193,0,0
29285,1197,0,2
29286,1197,0,2
29287,1199,0,4
29288,1191,0,5
29289,1185,0,6
29290,1184,0,3
29291,1186,0,0
29292,1196,0,0
29293,1192,0,7
29294,1196,0,4
29295,1194,0,1
29296,1194,0,1
29297,1197,0,1
29298,1202,0,3
29299,1202,0,1
29300,1197,0,4
29301,1197,0,4
29302,1191,0,3
29303,1193,0,0
29304,1197,0,4
29305,1197,0,4
29306,1206,0,1
29307,1194,0,4
29308,1194,0,5
29309,1191,0,1
29310,1196,0,0
29311,1198,0,6
29312,1198,0,6
29313,1196,0,1
29314,1198,0,4
29315,1195,0,14
29316,1189,0,7
29317,1194,0,6
29318,1206,0,5
29319,1206,0,5
29320,1192,0,7
29321,1196,0,0
29322,1194,0,8
29323,1191,0,0
29324,1197,0,0
29325,1186,0,6
29326,1194,0,10
29327,1200,0,4
29328,1191,0,0
29329,1191,0,0
29330,1192,0,7
29331,1195,0,1
29332,1198,0,6
29333,1199,0,0
29334,1199,0,0
29335,1198,0,4
29336,1198,0,8
29337,1198,0,8
29338,1198,0,5
29339,1198,0,0
29340,1198,0,0
29341,1196,0,6
29342,1198,0,1
29343,1193,0,7
29344,1196,0,11
29345,1198,0,0
29346,1199,0,1
29347,1199,0,0
29348,1196,0,0
29349,1197,0,4
29350,1197,0,4
29351,1185,0,6
29352,1198,0,0
29353,1204,0,2
29354,1200,0,4
29355,1193,0,0
29356,1185,0,0
29357,1191,0,0
29358,1197,0,6
29359,1186,0,4
29360,1191,0,7
29361,1192,0,5
29362,1192,0,5
29363,1189,0,0
29364,1199,0,6
29365,1195,0,4
29366,1200,0,1
29367,1192,0,1
29368,1193,0,0
29369,1193,0,0
29370,1197,0,0
29371,1198,0,0
29372,1197,0,0
29373,1197,0,0
29374,1192,0,0
29375,1192,0,0
29376,1198,0,5
29377,1200,0,7
29378,1191,0,4
29379,1198,0,0
29380,1204,0,0
29381,1200,0,0
29382,1194,0,7
29383,1191,0,0
29384,1192,0,2
29385,1200,0,2
29386,1189,0,0
29387,1191,0,5
29388,1198,0,1
29389,1197,0,5
29390,1199,0,3
29391,1192,0,0
29392,1192,0,0
29393,1196,0,1
29395,1184,0,4
29396,1198,0,3
29397,1198,0,3
29399,1191,0,0
29400,1196,0,2
29401,1191,0,7
29403,1192,0,0
29404,1189,0,7
29405,1197,0,7
29407,1195,0,6
29409,1198,0,0
29411,1200,0,0
29412,1199,0,0
29413,1192,0,7
29415,1198,0,0
29416,1180,0,2
294
29933,1193,0,0
29934,1202,0,7
29935,1192,0,7
29936,1198,0,0
29937,1192,0,2
29938,1194,0,0
29939,1188,0,4
29940,1196,0,4
29941,1193,0,0
29942,1193,0,0
29943,1196,0,4
29944,1193,0,7
29945,1198,0,0
29946,1184,0,4
29947,1199,0,6
29948,1200,0,6
29949,1195,0,2
29950,1195,0,2
29951,1186,0,0
29952,1200,0,4
29953,1185,0,5
29954,1191,0,0
29955,1203,0,6
29956,1203,0,6
29957,1194,0,0
29958,1190,0,7
29959,1191,0,0
29960,1191,0,0
29961,1185,0,1
29962,1194,0,0
29963,1203,0,4
29964,1194,0,0
29965,1198,0,11
29966,1200,0,0
29967,1200,0,0
29968,1185,0,5
29969,1193,0,0
29970,1197,0,3
29976,1191,0,3
29977,1202,0,0
29978,1198,0,7
29979,1198,0,7
29980,1189,0,5
29981,1199,0,0
29982,1196,0,5
29983,1193,0,3
29984,1194,0,0
29985,1191,0,1
29986,1191,0,1
29987,1189,0,5
29988,1193,0,0
29989,1189,0,0
29990,1196,0,0
29991,1194,0,0
29992,1199,0,3
29993,1184,0,5
29994,1194,0,6
29995,1194,0,6
29996,1199,0,6
29997,1197,0,5
29998,1197,0,5
29999,1192,0,0
30000,1191,0,3
30001,1189,0,5
30002,1198,0,0
30003,1191,0,0
30004,1191,0,0
30005,1189,0,1
30006,1189,0,1
30007,1194,0,0
30008,1194,0,0
30009,1198,0,2
30010,1191,0,0
30011,1192,0,7
30012,1198,0,0
30013,1179,0,0
300
30015,1195,0,6
30016,1198,0,0
30017,1199,0,0
30018,1198,0,5
30019,1192,0,0
30020,1192,0,0
30021,1187,0,0
30022,1185,0,6
30023,1199,0,0
30024,1199,0,0
30025,1199,0,0
30026,1202,0,1
30027,1200,0,5
30028,1200,0,7
30029,1200,0,7
30030,1187,0,6
30031,1187,0,6
30032,1194,0,6
30033,1187,0,4
30034,1187,0,4
30035,1202,0,6
30036,1198,0,0
30037,1200,0,6
30038,1193,0,0
30039,1195,0,6
30040,1187,0,3
30041,1199,0,4
30042,1196,0,1
30043,1189,0,3
30044,1192,0,3
30045,1197,0,4
30046,1189,0,0
30047,1189,0,0
30048,1197,0,0
30049,1192,0,3
30050,1192,0,3
30051,1194,0,0
30052,1194,0,0
