
time,q1,q2,tau
1,1271,0,0
8,1271,0,2
13,1271,0,0
16,1271,0,5
21,1271,0,0
25,1271,0,1
28,1271,0,1
31,1271,0,1
36,1271,0,0
39,1271,0,3
43,1271,0,9
47,1271,0,0
51,1271,0,0
55,1271,0,4
60,1271,0,4
63,1271,0,0
67,1271,0,1
71,1271,0,1
75,1271,0,4
79,1271,0,1
84,1271,0,1
88,1271,0,0
92,1271,0,6
96,1271,0,0
100,1271,0,2
104,1271,0,8
108,1271,0,5
112,1271,0,0
116,1271,0,5
119,1271,0,0
123,1271,0,2
127,1271,0,5
132,1271,0,0
135,1271,0,1
140,1271,0,0
143,1271,0,2
147,1271,0,3
151,1271,0,1
155,1271,0,3
159,1271,0,2
163,1271,0,1
167,1271,0,2
171,1271,0,0
175,1288,0,4
180,1271,0,0
183,1271,0,5
188,1271,0,0
191,1271,0,1
195,1271,0,3
199,1271,0,6
203,1271,0,0
207,1271,0,3
211,1271,0,0
215,1271,0,5
219,1271,0,5
223,1271,0,6
227,1271,0,4
231,1271,0,0
235,1271,0,0
239,1271,0,1
243,1271,0,0
247,1271,0,10
251,1271,0,4
256,1271,0,0
258,1271,0,0
263,1291,0,0
267,1269,0,6
271,1269,0,6
275,1288,0,0
279,1278,0,1
284,1278,0,0
287,1278,0,0
290,1278,0,3
295,1278,0,3
298,1278,0,6
302,1278,0,6
307,1278,0,7
310,1278,0,0
315,1278,0,5
319,1278,0,10
323,1278,0,0
327,1278,0,0
330,1278,0,5
335,1278,0,4
338,1278,0,0
343,1278,0,4
346,1278,0,7
350,1280,0,5
355,1280,0,5
358,1280,0,3
362,1280,0,0
366,1280,0,2
370,1280,0,2
374,1280,0,10
378,1280,0,0
382,1280,0,3
387,1280,0,1
391,1280,0,0
394,1280,0,6
398,1280,0,4
402,1280,0,5
407,1280,0,1
410,1280,0,4
414,1280,0,0
418,1280,0,0
422,1280,0,2
426,1280,0,0
430,1263,0,0
434,1263,0,7
438,1263,0,3
443,1282,0,0
446,1282,0,1
450,1282,0,1
454,1282,0,0
458,1282,0,3
462,1282,0,6
466,1282,0,0
470,1282,0,1
474,1259,0,0
478,1277,0,0
482,1277,0,0
486,1277,0,5
490,1277,0,0
494,1277,0,0
498,1261,0,1
501,1282,0,1
506,1282,0,7
510,1282,0,6
514,1265,0,0
518,1265,0,1
522,1265,0,11
526,1265,0,5
529,1265,0,2
534,1282,0,5
538,1282,0,1
542,1282,0,12
546,1282,0,4
550,1282,0,0
553,1282,0,7
558,1282,0,0
562,1282,0,1
565,1282,0,11
570,1282,0,0
573,1282,0,0
577,1282,0,0
581,1282,0,5
585,1282,0,0
589,1265,0,0
593,1263,0,6
598,1284,0,0
602,1265,0,6
605,1265,0,6
610,1284,0,0
613,1284,0,6
618,1284,0,13
621,1267,0,0
625,1267,0,0
629,1288,0,1
633,1288,0,6
637,1288,0,8
641,1269,0,5
645,1269,0,0
649,1269,0,7
654,1269,0,0
657,1269,0,7
661,1269,0,3
665,1269,0,4
669,1269,0,3
673,1269,0,6
677,1286,0,7
682,1279,0,11
684,1279,0,4
690,1279,0,4
693,1279,0,0
697,1279,0,6
701,1279,0,0
705,1279,0,5
709,1279,0,0
712,1282,0,6
717,1282,0,0
721,1282,0,6
725,1282,0,13
729,1282,0,4
732,1282,0,0
737,1282,0,1
741,1282,0,0
744,1282,0,7
748,1282,0,6
753,1282,0,2
756,1282,0,0
761,1263,0,0
764,1279,0,0
769,1279,0,5
772,1279,0,0
776,1279,0,7
780,1279,0,3
784,1279,0,2
788,1279,0,4
792,1279,0,5
796,1279,0,0
800,1279,0,0
804,1279,0,5
809,1279,0,10
812,1279,0,0
817,1279,0,7
820,1279,0,0
824,1279,0,5
828,1279,0,0
832,1279,0,6
837,1279,0,1
840,1279,0,1
844,1279,0,2
848,1279,0,4
852,1279,0,0
856,1279,0,4
860,1279,0,5
864,1279,0,1
868,1279,0,1
872,1279,0,0
876,1279,0,1
880,1279,0,0
884,1279,0,5
888,1282,0,0
891,1282,0,5
896,1282,0,0
899,1282,0,0
904,1282,0,8
907,1265,0,7
912,1282,0,2
916,1282,0,0
920,1282,0,10
924,1282,0,3
927,1282,0,4
932,1282,0,6
935,1282,0,3
939,1282,0,0
943,1282,0,0
947,1282,0,0
951,1282,0,6
955,1282,0,2
960,1282,0,0
963,1282,0,4
967,1282,0,4
971,1282,0,1
975,1276,0,3
979,1276,0,1
983,1276,0,0
987,1276,0,7
992,1276,0,6
996,1276,0,2
999,1276,0,0
1004,1276,0,0
1007,1276,0,0
1011,1276,0,0
1015,1276,0,0
1019,1276,0,4
1023,1276,0,2
1027,1276,0,10
1031,1276,0,4
1036,1276,0,0
1039,1276,0,10
1043,1276,0,4
1047,1276,0,1
1051,1276,0,0
1055,1276,0,5
1059,1276,0,0
1063,1276,0,1
1067,1276,0,1
1071,1276,0,3
1076,1276,0,2
1079,1276,0,1
1083,1276,0,6
1087,1276,0,2
1091,1276,0,0
1095,1276,0,0
1099,1276,0,4
1103,1276,0,0
1106,1276,0,3
1111,1276,0,1
1115,1276,0,2
1118,1276,0,4
1122,1276,0,0
1126,1276,0,0
1130,1276,0,7
1134,1276,0,0
1138,1276,0,37
1142,1276,2,9
1147,1276,-1,25
1151,1276,-1,174
1155,1276,1,88
1158,1276,3,95
1162,1276,5,152
1166,1276,7,117
1170,1276,9,112
1174,1276,12,104
1179,1276,17,114
1183,1276,21,170
1187,1276,25,155
1190,1276,28,111
1195,1258,34,96
1198,1258,37,83
1202,1258,40,103
1206,1258,41,100
1210,1258,41,175
1214,1258,42,251
1218,1258,37,211
1222,1241,31,199
