q2 response with initial condition ,,,
time,q1,q2,tau
2,1521,430,0
3,1533,430,0
4,1543,430,1
5,1521,430,0
6,1533,430,0
7,1550,430,0
8,1529,430,0
9,1536,430,0
10,1541,430,0
11,1543,430,0
12,1546,430,0
14,1540,430,2
15,1541,430,1
16,1543,430,0
17,1544,430,2
18,1529,430,2
19,1543,430,1
20,1541,430,6
21,1543,430,0
22,1546,430,0
23,1538,430,0
24,1546,430,3
25,1550,430,0
26,1546,430,0
27,1541,430,0
28,1534,430,1
29,1542,430,6
30,1540,430,0
31,1537,430,1
32,1546,430,0
33,1537,430,0
34,1529,430,1
35,1540,430,0
36,1543,430,0
37,1539,430,0
38,1531,430,0
39,1544,430,0
40,1542,430,1
41,1543,430,4
42,1558,430,0
43,1546,430,2
44,1546,430,0
45,1548,430,1
46,1549,430,0
47,1541,430,0
48,1540,430,0
49,1546,430,0
50,1548,430,0
51,1543,430,1
52,1548,430,4
53,1546,430,0
54,1545,430,1
55,1550,430,0
56,1544,430,0
57,1543,430,0
58,1548,430,4
59,1536,430,3
60,1540,430,0
61,1543,430,0
62,1540,430,1
63,1540,430,0
64,1546,430,0
65,1534,430,4
66,1533,430,5
67,1531,430,0
68,1544,430,0
69,1538,430,2
70,1545,430,0
71,1541,430,1
72,1542,430,1
73,1550,430,2
74,1546,430,0
75,1550,430,98
76,1548,430,0
77,1544,430,0
78,1542,430,4
79,1541,430,0
80,1537,430,203
81,1541,430,0
82,1549,430,1
83,1548,430,0
84,1544,430,1
85,1546,430,0
86,1543,430,2
87,1548,430,4
88,1533,430,0
89,1550,430,0
90,1541,430,0
91,1547,430,0
92,1550,430,0
93,1546,430,0
94,1543,430,0
95,1544,430,2
96,1534,430,0
97,1542,430,0
98,1538,430,6
99,1543,430,0
100,1538,430,0
101,1546,430,0
102,1531,430,3
103,1541,430,1
104,1546,430,2
105,1533,430,1
106,1546,430,0
107,1543,430,0
108,1537,430,1
109,1548,430,0
110,1550,430,3
111,1547,430,6
112,1540,430,1
113,1543,430,0
114,1543,430,6
115,1544,430,119
116,1546,430,0
117,1552,430,0
118,1549,430,1
119,1546,430,0
120,1540,430,0
121,1532,430,0
122,1548,430,0
123,1548,430,1
124,1533,430,0
125,1535,430,0
126,1540,430,0
127,1547,430,2
128,1537,430,1
129,1555,430,1
130,1550,430,0
131,1543,430,0
132,1554,430,2
133,1550,429,2
134,1550,429,0
135,1543,429,4
136,1533,429,0
137,1543,429,0
138,1548,429,1
139,1535,429,1
140,1542,429,2
141,1550,429,0
142,1541,429,0
143,1554,429,0
144,1551,429,0
145,1548,429,0
146,1540,429,0
147,1544,429,0
148,1549,429,0
149,1537,428,0
150,1542,428,0
151,1547,428,2
152,1539,428,2
153,1533,428,0
154,1535,428,0
155,1537,428,26
156,1538,428,1
157,1540,427,1
158,1549,427,0
159,1531,427,0
160,1540,427,0
161,1542,427,0
162,1549,427,1
163,1546,427,6
164,1540,427,0
165,1543,427,0
166,1550,427,0
167,1548,426,1
168,1544,426,6
169,1539,426,0
170,1542,426,6
171,1535,426,0
172,1533,426,0
173,1539,426,125
174,1543,425,0
175,1546,425,0
176,1544,425,0
177,1540,425,0
178,1550,425,159
179,1541,424,5
180,1546,424,0
181,1544,424,0
182,1548,424,0
183,1550,424,0
184,1543,423,0
185,1540,423,0
186,1549,423,0
187,1535,423,1
188,1537,423,3
189,1533,423,2
190,1543,422,0
191,1541,422,1
192,1540,422,1
193,1549,422,0
194,1541,421,1
195,1543,421,4
196,1541,421,1
197,1531,421,3
198,1549,421,0
199,1542,420,0
200,1529,420,1
201,1546,420,0
202,1539,419,6
203,1547,419,2
204,1548,419,1
205,1550,419,0
206,1548,419,0
207,1547,418,0
208,1539,418,0
209,1543,418,3
210,1552,417,0
211,1544,417,0
212,1531,417,2
213,1550,417,0
214,1543,416,0
215,1544,416,0
216,1535,416,0
217,1543,415,0
218,1543,415,0
219,1545,415,3
220,1543,415,0
221,1549,414,1
222,1550,414,2
223,1534,413,0
224,1542,413,0
225,1544,413,0
226,1544,412,0
227,1530,412,0
228,1550,411,2
229,1544,411,0
230,1533,411,0
231,1544,410,0
232,1542,410,0
233,1545,409,0
234,1544,409,2
235,1541,408,0
236,1546,408,0
237,1539,407,0
238,1544,407,20
239,1542,406,4
240,1543,406,1
241,1543,405,1
242,1548,405,1
243,1537,404,80
244,1543,403,0
245,1546,403,0
246,1548,402,3
247,1539,401,0
248,1548,401,1
249,1540,400,0
250,1531,399,0
251,1534,399,2
252,1533,398,6
253,1541,397,1
254,1539,396,0
255,1551,396,8
256,1549,395,0
257,1548,394,0
258,1540,393,0
259,1550,392,0
260,1542,391,0
261,1539,390,3
262,1534,389,0
263,1552,388,0
264,1551,387,0
265,1542,386,0
266,1543,385,0
267,1549,384,6
268,1543,383,0
269,1539,382,0
270,1527,381,0
271,1550,380,2
272,1548,379,0
273,1539,377,6
274,1529,376,0
275,1542,375,1
276,1532,374,2
277,1546,372,0
278,1549,371,1
279,1549,369,0
280,1540,368,0
281,1550,366,0
282,1533,365,0
283,1543,363,0
284,1550,362,0
285,1541,360,1
286,1548,359,0
287,1552,357,0
288,1548,355,0
289,1546,353,0
290,1552,351,1
291,1544,349,1
292,1544,348,0
293,1548,346,0
294,1541,344,0
295,1546,342,2
296,1536,340,6
297,1548,337,4
299,1548,333,5
301,1542,328,1
303,1546,324,0
305,1540,319,0
307,1551,313,1
309,1539,308,0
311,1542,302,0
313,1540,296,4
315,1544,290,0
317,1547,283,0
319,1544,277,0
321,1543,270,0
323,1549,262,0
325,1539,255,4
327,1551,247,0
329,1544,239,0
331,1544,230,7
333,1546,222,0
335,1541,213,0
337,1529,204,2
339,1527,194,0
341,1545,184,4
342,1550,179,0
343,1544,174,1
345,1548,164,1
346,1550,159,2
347,1541,154,1
349,1543,143,0
350,1547,138,2
351,1529,132,0
353,1542,121,0
354,1543,116,2
355,1541,111,0
357,1540,99,3
358,1548,94,0
359,1550,88,0
361,1549,77,0
362,1541,72,0
363,1544,66,0
365,1543,55,31
366,1542,49,0
367,1543,44,0
369,1547,33,2
370,1538,27,2
371,1538,22,0
373,1542,11,3
374,1541,6,0
375,1547,0,0
377,1539,-10,2
378,1540,-15,4
379,1547,-20,6
381,1548,-30,0
382,1546,-35,2
383,1541,-39,0
385,1544,-49,0
386,1551,-53,14
387,1546,-58,0
389,1546,-66,0
390,1537,-70,0
391,1543,-74,0
393,1538,-82,0
394,1550,-86,1
395,1540,-90,0
397,1542,-97,0
398,1542,-100,0
399,1543,-103,0
401,1543,-109,1
402,1533,-112,0
403,1539,-115,0
405,1549,-120,0
406,1549,-123,0
407,1548,-125,4
409,1544,-130,1
410,1541,-132,0
411,1544,-133,1
413,1549,-137,0
414,1549,-138,3
415,1548,-140,0
416,1550,-141,0
417,1549,-142,0
419,1529,-144,0
420,1543,-145,0
421,1547,-146,0
422,1543,-147,1
423,1538,-147,0
424,1540,-148,4
425,1517,-148,0
426,1541,-149,0
427,1534,-149,0
428,1528,-149,1
429,1543,-149,1
430,1543,-150,1
431,1542,-150,0
432,1544,-149,0
433,1544,-149,0
434,1550,-148,2
435,1529,-148,30
436,1549,-147,0
437,1543,-146,1
438,1537,-145,0
439,1543,-144,0
440,1537,-143,0
441,1547,-142,0
442,1541,-141,6
443,1545,-139,0
444,1547,-138,6
445,1536,-137,0
446,1550,-135,2
447,1545,-134,0
448,1546,-132,0
449,1531,-130,0
450,1531,-129,0
451,1541,-127,0
452,1550,-125,0
453,1537,-123,0
454,1549,-121,4
455,1543,-119,0
456,1550,-117,0
457,1548,-114,1
458,1549,-112,0
459,1530,-110,0
460,1548,-107,0
461,1545,-105,7
462,1533,-103,6
463,1531,-100,0
464,1537,-98,0
465,1540,-95,0
466,1543,-93,0
467,1541,-90,1
468,1544,-87,0
469,1548,-85,3
470,1544,-82,0
471,1531,-79,0
472,1549,-76,0
473,1552,-74,0
474,1546,-71,0
475,1543,-68,4
476,1543,-65,0
477,1543,-62,4
478,1550,-59,24
479,1548,-56,0
480,1546,-53,2
481,1547,-50,2
482,1535,-47,3
483,1535,-45,3
484,1547,-41,0
485,1544,-39,0
486,1548,-35,0
487,1539,-33,0
488,1546,-29,0
489,1541,-27,0
490,1542,-23,5
491,1546,-21,0
492,1546,-18,6
493,1546,-15,3
494,1548,-12,6
495,1542,-9,2
496,1546,-6,2
497,1538,-4,8
498,1541,-1,1
499,1531,2,0
500,1547,4,4
501,1537,7,0
502,1546,10,2
503,1548,12,0
504,1552,15,2
505,1543,17,6
506,1541,20,1
507,1531,22,3
508,1550,25,0
509,1539,27,0
510,1549,29,0
511,1550,31,2
512,1537,33,10
513,1543,36,1
514,1529,38,0
515,1543,40,1
516,1543,42,3
517,1540,44,0
518,1552,46,5
519,1549,47,0
520,1546,49,0
521,1547,51,0
522,1543,52,0
523,1544,54,1
524,1543,55,0
525,1539,57,8
526,1543,58,1
527,1529,59,0
528,1538,61,6
529,1539,62,6
530,1554,63,7
531,1533,64,0
532,1542,65,0
533,1549,66,0
534,1541,66,0
535,1550,67,6
536,1537,68,0
537,1548,69,1
538,1546,69,6
539,1546,70,0
540,1546,70,0
541,1537,71,0
542,1538,71,0
543,1548,71,0
544,1537,71,1
545,1550,71,4
546,1543,71,0
547,1534,71,0
548,1543,71,0
549,1544,71,0
550,1546,71,0
551,1544,71,2
552,1540,71,0
553,1538,71,0
554,1527,71,2
555,1529,72,0
556,1529,72,0
557,1549,73,1
558,1543,73,0
559,1552,72,1
560,1543,72,0
561,1548,71,1
562,1539,70,1
563,1542,70,0
564,1536,69,0
565,1549,68,2
566,1535,67,2
567,1548,67,0
568,1543,66,0
569,1547,65,6
570,1546,64,0
571,1548,63,0
572,1547,62,0
573,1543,61,6
574,1545,60,1
575,1539,59,0
576,1541,58,0
577,1539,57,0
578,1543,56,1
579,1548,55,1
580,1549,54,1
581,1543,53,0
582,1543,52,3
583,1536,51,0
584,1550,50,0
585,1540,49,0
586,1543,47,1
587,1549,46,1
588,1544,45,4
589,1550,44,0
590,1541,43,0
591,1550,41,2
592,1546,40,4
593,1543,39,0
594,1529,38,0
595,1554,37,0
596,1550,35,0
597,1541,34,2
598,1544,33,1
599,1535,32,6
600,1538,31,1
601,1537,29,0
602,1543,28,0
603,1539,27,0
604,1543,26,69
605,1547,25,7
606,1550,23,3
607,1544,22,0
608,1543,21,0
609,1546,20,1
610,1551,19,0
611,1545,18,0
612,1550,17,0
613,1550,16,0
614,1541,15,6
615,1542,14,1
616,1543,13,4
617,1547,11,2
618,1542,10,1
619,1537,9,0
620,1552,8,0
621,1546,8,0
622,1537,6,0
623,1541,6,4
624,1543,5,6
625,1541,4,1
626,1533,3,0
627,1539,2,0
628,1544,1,4
629,1527,1,0
630,1548,0,1
631,1543,-1,4
632,1523,-2,6
633,1540,-2,1
634,1550,-3,6
635,1541,-4,0
636,1544,-4,0
637,1541,-5,1
638,1547,-5,2
639,1550,-6,0
640,1536,-6,0
641,1541,-7,0
642,1544,-7,0
643,1543,-8,0
644,1547,-8,2
645,1546,-8,0
646,1552,-9,0
647,1539,-9,4
648,1540,-9,0
649,1537,-10,0
650,1541,-10,3
651,1543,-10,0
652,1535,-10,2
653,1546,-10,11
654,1545,-11,0
655,1547,-11,4
656,1531,-11,6
657,1552,-11,0
658,1546,-11,2
659,1543,-11,0
660,1555,-11,1
661,1542,-11,0
662,1544,-11,0
663,1544,-11,7
664,1543,-11,1
665,1552,-11,0
666,1546,-11,0
667,1546,-11,0
668,1542,-11,1
669,1546,-11,0
670,1548,-11,0
671,1537,-11,0
672,1544,-11,0
673,1529,-11,0
674,1549,-12,4
675,1535,-12,0
676,1543,-12,0
677,1542,-12,3
678,1547,-12,0
680,1547,-12,0
681,1530,-11,0
682,1542,-11,2
684,1543,-11,0
686,1541,-11,0
688,1537,-10,0
690,1544,-10,0
692,1534,-10,0
694,1550,-10,0
696,1533,-9,1
698,1543,-9,2
700,1534,-9,6
702,1543,-9,0
704,1549,-9,0
706,1538,-8,0
708,1542,-8,0
710,1548,-8,1
712,1543,-8,1
714,1537,-8,0
716,1542,-8,2
718,1544,-8,1
720,1531,-8,0
722,1525,-7,1
721,1549,-8,4
724,1540,-7,4
725,1541,-7,1
726,1526,-7,1
728,1535,-7,0
729,1542,-7,7
730,1535,-7,1
732,1546,-7,2
733,1531,-7,0
734,1541,-7,4
736,1544,-7,2
737,1538,-7,0
738,1540,-7,0
740,1545,-7,3
741,1550,-7,2
742,1548,-7,1
744,1544,-7,0
745,1533,-7,0
746,1543,-7,0
748,1548,-7,1
749,1543,-7,0
750,1546,-7,0
752,1536,-7,0
753,1550,-7,3
754,1547,-7,0
756,1542,-7,3
757,1550,-7,3
758,1544,-7,0
760,1544,-7,2
761,1543,-7,7
762,1548,-7,1
764,1544,-7,0
765,1541,-7,1
766,1549,-7,0
768,1537,-7,0
769,1541,-7,1
770,1552,-7,0
772,1535,-7,0
773,1547,-7,0
774,1543,-7,2
776,1550,-7,6
777,1546,-7,0
778,1541,-7,1
780,1537,-7,0
781,1543,-7,1
782,1521,-7,0
784,1552,-7,0
785,1552,-7,0
786,1539,-7,1
788,1545,-7,0
789,1545,-7,0
790,1541,-7,0
791,1544,-7,0
792,1544,-7,0
793,1541,-7,0
794,1545,-7,0
795,1551,-7,0
796,1531,-7,0
797,1541,-7,0
798,1538,-7,0
799,1535,-7,0
800,1539,-7,3
801,1543,-7,3
802,1549,-7,1
803,1548,-7,1
804,1549,-7,2
805,1546,-7,0
806,1534,-7,0
