q2 response from initial condition,,,
time,q1,q2,tau
1,1528,417,0
2,1506,417,0
3,1516,417,3
4,1513,417,6
5,1514,417,0
6,1515,416,0
7,1504,416,2
8,1524,416,2
9,1509,416,0
10,1514,416,4
11,1522,415,0
12,1507,415,0
13,1517,415,0
14,1522,415,0
15,1518,415,0
16,1515,414,0
17,1520,414,2
18,1517,413,2
19,1507,413,0
20,1517,413,6
21,1519,412,0
22,1516,412,1
23,1505,412,0
24,1514,411,0
25,1520,411,0
26,1519,411,0
27,1507,410,23
28,1522,409,0
29,1519,409,3
30,1524,408,0
31,1491,407,0
32,1518,407,1
33,1524,406,2
34,1504,406,1
35,1512,405,0
36,1512,405,0
37,1515,404,0
38,1512,403,0
39,1511,403,1
40,1516,402,2
41,1522,402,0
42,1520,401,0
43,1511,400,0
44,1518,400,1
45,1520,399,0
46,1514,399,0
47,1517,398,0
48,1520,397,0
49,1519,396,4
50,1505,395,0
51,1515,395,0
52,1518,394,0
53,1514,393,1
54,1520,392,3
55,1520,391,0
56,1518,390,0
57,1528,389,4
58,1505,389,89
59,1511,388,0
60,1518,387,1
61,1518,386,0
62,1517,385,0
63,1512,384,3
64,1520,383,0
65,1519,381,0
66,1520,380,0
67,1519,379,3
68,1521,378,0
69,1520,377,0
70,1520,376,0
71,1530,374,4
72,1518,373,0
73,1507,372,0
74,1516,370,0
75,1505,369,1
76,1519,367,1
77,1504,366,4
78,1524,365,0
79,1505,363,0
80,1524,361,4
81,1522,360,1
82,1522,358,0
83,1512,357,0
84,1520,355,0
85,1511,353,0
86,1521,351,0
87,1516,349,0
88,1524,347,3
89,1526,345,0
90,1515,343,0
91,1513,342,4
92,1520,339,0
93,1506,337,3
94,1518,335,0
95,1516,333,0
96,1520,331,72
97,1506,328,0
98,1522,326,1
99,1522,324,0
100,1518,321,3
101,1519,319,0
102,1518,316,0
103,1522,313,0
104,1517,311,0
105,1512,308,0
106,1512,305,0
107,1512,302,1
108,1511,299,2
109,1522,296,0
110,1514,293,0
111,1505,290,1
112,1520,287,4
113,1520,283,10
114,1507,280,62
115,1512,277,0
116,1518,273,0
117,1512,270,1
118,1522,266,0
119,1518,263,0
120,1512,259,3
121,1517,255,0
122,1522,251,0
123,1511,247,1
124,1493,243,1
125,1505,239,0
126,1513,235,0
127,1505,231,0
128,1518,227,0
129,1522,222,0
130,1518,218,0
131,1518,213,4
132,1519,209,0
133,1520,204,0
134,1517,199,3
135,1513,195,0
136,1518,190,0
137,1519,185,0
138,1519,180,0
139,1517,175,0
140,1518,170,4
141,1520,165,6
142,1519,159,6
143,1495,154,0
144,1513,149,4
145,1511,144,2
146,1516,138,4
147,1517,133,2
148,1517,128,0
149,1517,122,4
150,1519,117,0
151,1497,111,0
152,1520,105,2
153,1505,100,6
154,1519,94,1
155,1520,89,0
156,1511,83,6
157,1517,78,0
158,1517,72,0
159,1505,66,0
160,1514,61,0
161,1519,55,0
162,1520,49,0
163,1518,44,1
164,1512,38,4
165,1514,33,0
