time,q1,q2,tau
2,1591,425,0
3,1579,425,0
4,1591,425,0
5,1591,425,1
6,1590,425,0
7,1591,425,0
8,1571,425,0
9,1583,425,6
10,1602,425,0
11,1586,425,0
12,1577,425,5
13,1581,425,0
14,1596,425,0
15,1584,425,0
16,1592,425,0
17,1587,425,6
18,1586,425,1
19,1592,425,4
20,1589,425,3
21,1589,425,0
22,1591,425,6
23,1594,425,0
24,1585,425,0
25,1586,425,0
26,1588,425,0
27,1576,425,0
28,1589,425,3
29,1592,425,0
30,1582,425,5
31,1569,425,1
32,1576,425,0
33,1592,425,0
34,1594,425,204
35,1594,425,0
36,1579,425,0
37,1587,425,1
38,1592,425,0
39,1584,425,0
40,1588,425,6
41,1589,425,10
42,1589,425,0
43,1594,425,0
44,1589,425,0
45,1589,425,0
46,1584,425,1
47,1590,425,0
48,1591,425,0
49,1586,425,11
50,1590,425,1
51,1594,425,0
52,1590,425,6
53,1588,425,0
54,1586,425,0
55,1579,425,36
56,1589,425,0
57,1584,425,5
58,1584,425,5
59,1577,425,0
60,1591,425,0
61,1581,425,0
62,1579,425,0
63,1593,425,2
64,1602,425,33
65,1594,425,0
66,1579,425,0
67,1589,425,0
68,1579,425,4
69,1594,425,6
70,1583,425,2
71,1588,425,2
72,1577,425,0
73,1588,425,2
74,1590,425,0
75,1591,425,6
76,1588,425,0
77,1579,425,0
78,1586,425,0
79,1589,425,10
80,1579,425,0
81,1592,425,0
82,1577,425,0
83,1592,425,6
84,1584,425,6
85,1591,425,4
86,1578,425,0
87,1586,425,0
88,1592,425,4
89,1590,425,2
90,1598,425,0
91,1591,425,0
92,1588,425,3
93,1584,425,0
94,1588,425,0
95,1584,425,0
96,1589,425,0
97,1591,425,3
98,1586,425,0
99,1586,425,0
100,1594,425,0
101,1592,425,0
102,1594,425,2
103,1586,425,10
104,1598,425,0
105,1591,425,3
106,1579,425,5
107,1589,425,6
108,1586,425,4
109,1589,425,0
110,1596,425,0
111,1591,425,0
112,1583,425,0
113,1583,425,0
114,1590,425,1
115,1583,425,1
116,1592,425,0
117,1594,425,2
118,1581,425,0
119,1590,425,1
120,1589,425,0
121,1588,425,3
122,1584,425,1
123,1594,425,0
124,1588,425,2
125,1588,425,5
126,1584,425,0
127,1581,425,0
128,1575,425,0
129,1587,425,0
130,1589,425,2
131,1594,425,0
132,1588,425,0
133,1590,425,0
134,1602,425,0
135,1590,425,4
136,1577,425,1
137,1588,425,0
138,1577,425,0
139,1600,425,0
140,1581,425,2
141,1590,425,0
142,1568,425,0
143,1591,425,0
144,1584,425,4
145,1594,425,0
146,1592,425,6
147,1584,425,0
148,1578,425,1
149,1596,425,0
150,1591,425,1
151,1592,425,6
152,1593,425,0
153,1589,425,7
154,1591,425,0
155,1576,425,0
156,1590,425,4
157,1592,425,3
158,1579,425,1
159,1592,425,5
160,1591,425,2
161,1591,425,0
162,1589,425,1
163,1577,425,3
165,1584,425,0
167,1584,425,0
169,1588,425,3
171,1588,425,0
173,1569,425,1
175,1584,425,4
177,1586,425,1
179,1590,425,4
181,1589,425,0
183,1589,425,0
185,1587,425,0
187,1588,425,0
189,1582,425,0
191,1590,425,3
193,1579,425,0
195,1596,425,0
197,1576,425,0
199,1593,425,0
201,1595,425,6
203,1578,425,1
205,1588,425,0
207,1587,426,4
209,1594,426,7
208,1578,426,7
211,1585,426,0
213,1592,426,0
214,1591,426,0
215,1587,426,14
217,1587,426,2
218,1584,426,2
219,1584,426,0
221,1587,426,3
222,1583,426,4
223,1591,426,0
225,1595,426,0
226,1589,426,2
227,1588,426,4
229,1591,426,0
230,1588,426,0
231,1583,426,0
233,1593,426,0
234,1583,426,4
235,1591,426,1
237,1594,426,0
238,1583,426,1
239,1584,426,0
241,1591,426,0
242,1573,426,0
243,1586,426,4
245,1584,426,6
246,1579,426,0
247,1586,426,0
249,1591,426,0
250,1585,426,0
251,1587,426,1
253,1589,426,0
254,1583,426,0
255,1588,426,0
257,1584,426,0
258,1586,426,0
259,1596,426,4
261,1594,426,2
262,1585,426,0
263,1586,426,0
265,1588,426,0
266,1583,426,0
267,1579,426,0
269,1594,426,0
270,1598,426,0
271,1579,426,1
272,1598,426,0
273,1583,426,0
274,1598,426,0
275,1588,426,2
277,1591,426,0
278,1588,426,0
279,1588,426,48
280,1588,426,0
281,1590,426,6
282,1581,426,0
283,1591,426,1
284,1585,426,0
285,1588,426,0
286,1594,426,1
287,1579,426,7
288,1593,426,0
289,1594,426,0
290,1582,426,0
291,1591,426,116
292,1594,426,0
293,1579,426,6
294,1588,426,0
295,1588,426,4
296,1590,426,0
297,1590,426,1
298,1583,426,6
299,1589,426,5
300,1587,426,3
301,1594,426,0
302,1590,426,0
303,1585,426,0
304,1589,426,0
305,1594,426,0
306,1575,426,1
307,1587,426,1
308,1589,426,7
309,1594,426,0
310,1592,426,1
311,1583,426,1
312,1585,426,1
313,1581,426,1
314,1581,426,0
315,1594,426,6
316,1586,426,7
317,1587,426,0
318,1584,426,0
319,1587,426,0
320,1591,426,0
321,1594,426,0
322,1588,426,2
323,1586,426,1
324,1586,426,2
325,1581,426,0
326,1577,426,0
327,1596,426,0
328,1579,426,0
329,1573,426,0
330,1589,426,4
331,1592,426,0
332,1584,426,0
333,1594,426,0
334,1587,426,0
335,1588,426,1
336,1591,426,0
337,1588,426,2
338,1576,426,0
339,1589,426,0
340,1592,426,0
341,1584,426,0
342,1594,426,2
343,1587,426,0
344,1590,426,1
345,1579,426,3
346,1592,426,0
347,1594,426,6
348,1576,426,0
349,1594,426,0
350,1584,426,0
351,1594,426,0
352,1589,426,0
353,1583,426,1
354,1594,426,0
355,1585,426,0
356,1590,426,0
357,1584,426,1
358,1584,426,0
359,1563,426,3
360,1593,426,1
361,1590,426,0
362,1588,426,0
363,1588,426,0
364,1577,427,0
365,1594,427,0
366,1589,427,0
367,1587,427,2
368,1589,427,1
369,1594,427,2
370,1589,427,4
371,1587,427,2
372,1589,427,0
373,1586,427,1
374,1594,427,0
375,1588,427,2
376,1594,427,0
377,1588,427,4
378,1591,427,0
379,1594,427,0
380,1589,427,0
381,1585,427,0
382,1576,427,6
383,1588,427,6
384,1594,427,0
385,1591,427,0
386,1575,427,0
387,1583,427,4
388,1584,427,0
389,1594,427,0
390,1591,427,7
391,1582,427,6
392,1587,427,3
393,1598,427,3
394,1586,427,3
395,1581,427,19
396,1594,427,0
397,1584,427,2
398,1579,427,0
399,1588,427,0
400,1589,427,0
401,1586,427,0
402,1596,427,3
403,1591,427,4
404,1592,427,0
405,1591,427,0
406,1589,427,4
407,1583,427,2
408,1579,427,6
409,1591,427,0
410,1588,427,0
411,1589,427,4
412,1589,427,4
413,1589,427,4
414,1589,427,0
415,1591,427,6
416,1593,427,0
417,1584,427,4
418,1589,427,0
419,1589,427,0
420,1589,427,0
421,1594,427,0
422,1591,427,0
423,1581,427,0
424,1590,427,4
425,1591,427,0
426,1575,427,0
427,1591,427,0
428,1590,427,0
429,1584,427,0
430,1585,427,1
431,1580,427,0
432,1589,427,0
433,1583,427,6
434,1577,427,0
435,1584,427,0
436,1581,427,6
437,1584,427,0
438,1575,427,0
439,1578,427,0
440,1571,427,1
441,1576,427,1
442,1583,427,0
443,1584,427,0
444,1583,427,0
445,1581,427,3
446,1573,427,1
447,1577,427,4
448,1573,427,1
449,1578,427,4
450,1586,427,3
451,1569,427,0
452,1571,427,0
453,1594,427,0
454,1581,427,0
455,1586,427,1
456,1580,427,0
457,1573,427,6
458,1573,427,0
459,1584,427,0
460,1580,427,0
461,1592,427,6
462,1573,427,0
463,1584,427,0
464,1580,427,1
465,1584,427,0
466,1584,427,0
467,1578,427,2
468,1584,427,0
469,1583,427,2
470,1581,427,0
471,1575,427,6
472,1575,427,0
473,1588,427,6
474,1571,427,6
475,1588,427,0
476,1584,427,4
477,1587,427,0
478,1571,427,0
479,1573,427,0
480,1569,427,0
481,1583,427,3
482,1569,427,0
483,1581,427,0
484,1569,427,2
485,1570,427,0
486,1583,427,0
487,1581,427,1
488,1592,427,2
489,1570,427,1
490,1578,427,0
491,1584,427,0
492,1569,427,4
493,1581,427,10
494,1581,427,0
495,1584,427,1
496,1580,427,4
497,1577,427,0
498,1583,427,0
499,1592,427,7
500,1586,427,3
501,1569,427,0
502,1587,427,0
503,1580,427,0
504,1584,427,1
505,1579,427,3
506,1583,427,0
507,1582,427,0
