
time,q1,q2,tau
2,1850,0,0
3,1837,0,6
4,1837,0,6
5,1839,0,2
6,1842,0,0
7,1858,0,0
8,1833,0,0
9,1837,0,0
10,1840,0,0
11,1840,0,0
12,1837,0,0
13,1832,0,0
14,1844,0,0
15,1848,0,0
16,1844,0,2
17,1846,0,0
18,1846,0,0
19,1840,0,0
20,1840,0,0
21,1842,0,1
22,1840,0,0
23,1838,0,4
24,1837,0,4
25,1838,0,0
26,1842,0,0
27,1832,0,4
28,1840,0,0
29,1832,0,0
30,1832,0,0
31,1843,0,0
32,1843,0,0
33,1840,0,0
34,1825,0,2
35,1832,0,0
36,1834,0,0
37,1834,0,0
38,1837,0,10
39,1837,0,10
40,1839,0,0
41,1839,0,0
42,1829,0,0
43,1842,0,0
44,1838,0,6
45,1838,0,1
46,1837,0,0
47,1833,0,0
48,1831,0,0
49,1840,0,0
50,1829,0,2
51,1824,0,0
52,1837,0,0
53,1825,0,0
54,1825,0,0
55,1825,0,4
56,1833,0,0
57,1834,0,0
58,1842,0,0
59,1824,0,6
60,1832,0,2
61,1831,0,0
62,1825,0,3
63,1824,0,0
64,1825,0,3
65,1823,0,2
66,1832,0,6
67,1832,0,6
68,1838,0,0
69,1838,0,0
70,1835,0,0
71,1836,0,1
72,1835,0,5
73,1838,0,1
74,1835,0,0
75,1835,0,0
76,1832,0,0
77,1825,0,0
78,1827,0,0
79,1842,0,0
80,1842,0,0
81,1838,0,0
82,1840,0,0
83,1840,0,0
84,1838,0,0
85,1838,0,1
86,1838,0,0
87,1832,0,0
88,1832,0,0
89,1850,0,0
90,1838,0,0
91,1832,0,0
92,1839,0,0
93,1833,0,0
94,1832,0,0
95,1834,0,0
96,1834,0,1
97,1848,0,0
98,1834,0,1
99,1824,0,0
100,1839,0,2
101,1827,0,0
102,1831,0,0
103,1838,0,0
104,1833,0,2
105,1833,0,2
106,1831,0,0
107,1825,0,0
108,1832,0,8
109,1848,0,1
110,1827,0,0
111,1844,0,0
112,1844,0,0
113,1832,0,0
114,1837,0,3
115,1824,0,0
116,1832,0,1
117,1837,0,0
118,1837,0,0
119,1832,0,1
120,1832,0,1
121,1831,0,1
122,1832,0,0
123,1825,0,7
124,1844,0,0
125,1840,0,0
126,1848,0,0
127,1840,0,2
128,1832,0,3
129,1831,0,0
130,1831,0,1
131,1826,0,0
132,1840,0,0
133,1840,0,0
134,1834,0,0
135,1836,0,0
136,1839,0,0
137,1825,0,2
138,1830,0,0
139,1825,0,0
140,1844,0,0
141,1834,0,0
142,1829,0,0
143,1837,0,0
144,1839,0,0
145,1835,0,4
146,1835,0,4
147,1840,0,0
148,1840,0,0
149,1829,0,2
150,1829,0,2
151,1838,0,0
152,1838,0,0
153,1833,0,4
154,1833,0,4
155,1831,0,0
156,1829,0,0
157,1836,0,0
158,1842,0,0
159,1842,0,0
160,1844,0,0
161,1844,0,0
162,1831,0,2
163,1831,0,2
164,1837,0,0
165,1832,0,2
166,1832,0,2
167,1850,0,4
168,1834,0,0
169,1834,0,0
170,1829,0,2
171,1825,0,1
172,1832,0,2
173,1831,0,0
174,1832,0,4
175,1840,0,0
176,1840,0,0
177,1837,0,2
178,1837,0,2
179,1831,0,0
180,1834,0,0
181,1825,0,1
182,1831,0,0
183,1842,0,0
184,1827,0,3
185,1827,0,3
186,1827,0,0
187,1827,0,0
188,1825,0,4
189,1839,0,2
190,1840,0,0
191,1829,0,4
192,1834,0,0
193,1832,0,1
194,1832,0,1
195,1840,0,0
197,1832,0,3
199,1834,0,0
201,1829,0,0
203,1840,0,0
205,1832,0,0
207,1834,0,0
209,1829,0,0
211,1833,0,0
213,1834,0,0
215,1828,0,0
217,1831,0,1
219,1825,0,1
221,1827,0,0
