meep
time,q1,q2,tau
2,2177,-226,0
3,2180,-226,0
4,2184,-226,1
5,2184,-226,0
6,2190,-226,1
7,2177,-226,4
8,2192,-226,0
9,2192,-226,0
10,2186,-226,0
11,2190,-226,0
12,2191,-226,0
13,2177,-226,0
14,2186,-226,0
15,2186,-226,0
16,2181,-226,0
17,2186,-226,0
18,2181,-226,0
19,2181,-226,3
20,2181,-226,3
21,2192,-226,1
22,2179,-226,5
23,2192,-226,10
24,2176,-226,2
25,2176,-226,2
26,2180,-226,0
27,2177,-226,1
28,2177,-226,1
29,2177,-226,4
30,2181,-226,0
31,2181,-226,0
32,2180,-226,0
33,2186,-226,1
34,2186,-226,1
35,2176,-226,0
36,2168,-226,3
37,2182,-226,1
38,2189,-226,0
39,2181,-226,2
40,2181,-226,2
41,2181,-226,0
42,2177,-226,4
43,2177,-225,4
44,2181,-225,0
45,2186,-225,0
46,2187,-225,0
47,2182,-225,0
48,2184,-225,0
49,2186,-225,0
50,2192,-225,0
51,2188,-225,1
52,2183,-225,0
53,2186,-225,0
54,2191,-225,0
55,2191,-225,0
56,2187,-225,0
57,2187,-225,0
58,2183,-225,0
59,2185,-225,0
60,2192,-225,0
61,2182,-225,0
62,2190,-225,4
63,2184,-225,0
64,2181,-225,0
65,2186,-224,1
66,2192,-224,0
67,2189,-224,1
68,2183,-224,10
69,2180,-224,0
70,2180,-224,0
71,2188,-224,0
72,2180,-224,10
73,2170,-224,6
74,2177,-224,2
75,2186,-224,1
76,2186,-224,1
77,2190,-224,8
78,2181,-224,2
79,2188,-224,0
80,2194,-224,3
81,2194,-224,0
82,2177,-224,0
83,2167,-224,0
84,2176,-223,4
85,2179,-223,0
86,2192,-223,0
87,2190,-223,0
88,2183,-223,0
89,2184,-223,2
90,2184,-223,0
91,2169,-223,0
92,2176,-223,3
93,2189,-222,6
94,2190,-222,0
95,2187,-222,0
96,2187,-222,0
97,2186,-222,0
98,2187,-222,0
99,2186,-222,2
100,2186,-222,2
101,2175,-222,1
102,2181,-222,4
103,2190,-222,0
104,2183,-222,0
105,2186,-221,0
106,2181,-221,1
107,2181,-221,1
108,2183,-221,6
109,2183,-221,2
110,2184,-221,0
111,2190,-221,6
112,2177,-221,0
113,2180,-221,0
114,2192,-221,0
115,2188,-221,1
116,2183,-221,0
117,2183,-221,0
118,2200,-221,3
119,2177,-221,0
120,2181,-221,0
121,2188,-221,0
122,2186,-221,0
123,2184,-221,0
124,2183,-221,0
125,2183,-221,0
126,2194,-221,0
127,2192,-221,10
128,2177,-221,0
129,2186,-221,0
130,2183,-221,0
131,2194,-221,0
132,2186,-221,0
133,2179,-221,0
134,2180,-221,0
135,2186,-221,2
136,2190,-221,6
137,2177,-221,1
138,2190,-221,0
139,2190,-221,1
140,2192,-221,0
141,2177,-221,0
142,2186,-221,5
143,2186,-221,4
144,2180,-221,0
145,2180,-221,0
146,2176,-221,0
147,2186,-221,1
148,2186,-221,4
149,2194,-221,6
150,2194,-221,6
151,2169,-221,0
152,2179,-221,6
153,2169,-221,0
154,2180,-221,6
155,2179,-221,0
156,2180,-221,10
157,2186,-221,7
158,2186,-221,7
159,2190,-221,2
160,2186,-221,2
161,2186,-221,2
162,2175,-221,0
163,2184,-221,2
164,2188,-221,0
165,2177,-221,0
166,2187,-221,0
167,2187,-221,0
168,2185,-221,0
169,2192,-221,0
170,2192,-221,0
171,2191,-221,10
172,2192,-221,0
173,2187,-221,0
174,2186,-221,0
175,2184,-221,6
176,2186,-221,0
177,2165,-221,6
178,2171,-220,0
179,2186,-220,0
180,2186,-220,0
181,2181,-220,6
182,2181,-220,6
183,2186,-220,4
184,2180,-220,0
185,2173,-220,4
186,2169,-220,0
187,2179,-220,0
188,2179,-220,0
189,2184,-219,5
190,2184,-219,0
191,2175,-219,0
192,2180,-219,0
193,2180,-219,0
194,2181,-219,0
195,2179,-219,0
196,2180,-219,0
197,2182,-219,0
198,2176,-219,0
199,2181,-219,0
200,2181,-219,0
201,2173,-219,1
202,2163,-219,2
203,2190,-219,0
204,2190,-219,0
205,2174,-219,0
206,2161,-219,6
207,2186,-218,0
208,2180,-218,0
209,2173,-218,0
210,2168,-218,0
211,2173,-218,0
212,2182,-218,3
213,2183,-218,2
214,2181,-218,0
215,2163,-218,0
216,2168,-218,0
217,2173,-218,3
218,2186,-218,1
219,2179,-218,1
220,2178,-218,0
221,2178,-218,0
222,2163,-218,0
223,2177,-218,0
224,2184,-217,2
225,2175,-217,0
226,2180,-217,1
227,2174,-217,0
228,2155,-217,0
229,2173,-217,0
230,2173,-217,0
231,2163,-217,2
232,2177,-217,0
233,2180,-217,0
234,2180,-217,0
235,2174,-217,0
236,2172,-217,0
237,2167,-217,0
238,2184,-217,0
239,2175,-217,0
240,2178,-217,0
241,2177,-217,3
242,2168,-217,0
243,2184,-217,6
244,2168,-217,0
245,2180,-217,1
246,2178,-217,0
247,2175,-217,0
248,2174,-217,0
249,2171,-217,0
250,2177,-217,0
251,2179,-217,0
252,2168,-217,0
253,2168,-217,0
254,2170,-217,1
255,2177,-217,3
256,2172,-217,10
257,2177,-217,2
258,2175,-217,0
259,2182,-217,0
260,2173,-217,0
261,2172,-217,2
262,2172,-217,2
263,2181,-217,0
264,2157,-217,10
265,2157,-217,10
266,2177,-217,0
267,2182,-217,0
268,2182,-217,0
269,2186,-217,6
270,2186,-216,6
271,2184,-216,0
272,2184,-216,0
273,2178,-216,6
274,2178,-216,6
276,2186,-216,2
278,2172,-216,1
280,2181,-215,0
282,2184,-215,2
284,2169,-215,0
286,2186,-215,0
288,2180,-215,1
290,2177,-215,1
292,2173,-216,0
294,2167,-216,0
296,2161,-216,0
298,2178,-216,1
300,2175,-216,6
302,2177,-216,1
304,2176,-216,0
306,2174,-216,0
308,2172,-216,1
310,2184,-216,0
312,2178,-216,0
314,2174,-216,7
316,2175,-216,0
318,2172,-216,0
320,2179,-216,0
322,2181,-216,0
324,2165,-216,0
326,2181,-216,1
328,2167,-216,0
330,2173,-216,0
29,2186,-216,3
332,2172,-216,0
334,2184,-216,0
335,2177,-216,0
336,2174,-216,0
338,2171,-216,0
339,2174,-216,0
340,2177,-216,0
342,2172,-216,4
343,2174,-216,0
344,2174,-216,0
346,2186,-216,0
347,2174,-216,0
348,2186,-216,8
350,2180,-217,0
351,2178,-217,3
352,2158,-217,0
354,2184,-217,0
355,2178,-217,3
356,2178,-217,3
358,2180,-217,0
359,2175,-217,0
360,2175,-217,0
362,2181,-217,1
363,2175,-217,0
364,2161,-217,7
366,2176,-217,0
367,2169,-217,0
368,2171,-217,2
370,2168,-217,0
371,2178,-217,0
372,2171,-217,0
374,2169,-218,0
375,2171,-218,0
376,2171,-218,0
378,2180,-218,4
379,2180,-218,0
380,2167,-218,1
382,2172,-218,4
383,2176,-217,0
384,2178,-217,7
386,2182,-217,0
387,2169,-217,0
388,2168,-217,0
390,2172,-217,1
391,2171,-217,7
392,2175,-217,0
394,2172,-216,0
395,2178,-216,0
396,2186,-216,0
397,2175,-216,2
398,2169,-216,1
399,2178,-216,0
400,2178,-216,0
401,2169,-216,0
402,2176,-216,0
404,2168,-216,0
405,2168,-216,0
406,2171,-216,0
407,2175,-216,6
408,2175,-216,6
409,2153,-216,0
410,2175,-216,0
411,2175,-216,0
412,2186,-216,6
413,2186,-216,6
414,2169,-216,0
415,2169,-216,2
416,2168,-216,1
417,2167,-216,0
418,2174,-216,0
419,2159,-216,2
420,2159,-216,2
421,2163,-216,0
422,2175,-216,0
423,2184,-216,0
424,2171,-216,1
425,2175,-216,1
426,2161,-216,0
427,2161,-216,10
428,2181,-216,0
429,2163,-216,0
430,2163,-216,0
431,2178,-216,0
432,2173,-216,6
433,2172,-216,0
434,2172,-216,0
435,2179,-216,1
436,2180,-216,0
437,2184,-216,0
438,2184,-216,0
439,2175,-216,2
440,2176,-216,3
441,2180,-216,4
442,2174,-216,0
443,2174,-216,0
444,2173,-216,0
445,2177,-216,0
446,2165,-216,0
447,2186,-216,0
448,2174,-216,0
449,2173,-216,0
450,2181,-216,0
451,2186,-216,2
452,2161,-216,3
453,2161,-216,3
454,2168,-216,0
455,2174,-216,2
456,2170,-216,3
457,2182,-216,7
458,2173,-216,0
459,2172,-216,0
460,2172,-216,0
461,2177,-215,0
462,2177,-215,0
463,2175,-215,1
464,2175,-215,1
465,2176,-215,0
466,2172,-215,0
467,2175,-215,0
468,2184,-215,6
469,2167,-215,0
470,2176,-215,0
471,2171,-215,4
472,2171,-215,4
473,2169,-215,0
474,2169,-215,0
475,2178,-214,6
476,2179,-214,0
477,2179,-214,0
478,2165,-214,0
479,2165,-214,0
480,2180,-214,0
481,2181,-214,0
482,2181,-214,0
483,2157,-214,2
484,2174,-214,0
485,2184,-214,6
486,2181,-214,0
487,2168,-213,6
488,2184,-213,0
489,2175,-213,4
490,2172,-213,7
491,2184,-213,0
492,2159,-213,0
493,2165,-213,0
494,2175,-213,0
495,2167,-213,0
496,2182,-213,6
497,2182,-213,6
498,2173,-212,1
499,2182,-212,0
500,2181,-212,0
501,2172,-212,0
502,2171,-212,0
503,2173,-212,0
504,2173,-212,0
505,2173,-212,0
506,2157,-212,0
507,2175,-212,0
508,2175,-212,0
509,2174,-212,2
510,2172,-212,3
511,2172,-211,3
512,2159,-211,0
513,2171,-211,10
514,2174,-211,0
515,2157,-211,10
516,2165,-211,0
517,2179,-211,10
518,2180,-211,0
519,2169,-211,0
520,2186,-211,0
521,2186,-210,0
522,2167,-210,0
523,2178,-210,0
524,2184,-210,1
525,2179,-210,0
526,2177,-210,1
527,2177,-210,1
528,2173,-210,0
529,2170,-210,1
530,2170,-210,1
531,2159,-210,0
532,2174,-210,0
533,2174,-209,0
534,2165,-209,6
535,2165,-209,6
536,2179,-209,0
537,2176,-209,0
538,2175,-209,6
539,2180,-209,1
540,2169,-209,3
541,2179,-209,0
542,2175,-209,4
543,2178,-209,3
544,2182,-209,0
545,2179,-209,2
546,2186,-209,4
547,2186,-209,4
548,2179,-209,6
549,2173,-209,0
550,2172,-209,0
551,2175,-209,6
552,2175,-209,6
553,2174,-209,2
554,2180,-209,0
555,2184,-209,0
556,2178,-209,6
557,2179,-209,5
558,2169,-209,0
559,2184,-209,0
560,2170,-209,0
561,2178,-209,0
562,2180,-209,1
563,2168,-209,0
564,2165,-209,4
565,2172,-209,1
566,2176,-209,2
567,2179,-209,0
568,2181,-209,0
569,2157,-209,0
570,2157,-209,0
571,2180,-209,1
572,2180,-209,0
573,2180,-209,1
574,2186,-209,0
575,2177,-209,1
576,2173,-209,0
577,2166,-209,2
578,2174,-209,0
579,2181,-209,0
580,2176,-208,0
581,2174,-208,0
582,2174,-208,0
583,2171,-207,1
584,2168,-207,0
585,2172,-206,0
586,2172,-205,0
587,2163,-205,2
588,2163,-204,2
589,2181,-203,0
590,2181,-202,0
591,2175,-200,2
592,2172,-199,0
593,2174,-198,2
594,2174,-197,2
595,2172,-195,0
596,2174,-193,7
597,2174,-192,7
598,2157,-190,4
599,2176,-189,0
600,2174,-187,1
601,2174,-185,1
602,2171,-183,0
603,2159,-181,0
604,2172,-179,0
605,2172,-176,0
606,2171,-174,0
607,2169,-172,0
608,2180,-169,0
609,2180,-167,0
610,2165,-164,0
611,2168,-162,4
612,2169,-159,0
613,2169,-156,0
614,2180,-154,0
615,2168,-151,0
616,2168,-148,0
617,2180,-145,0
618,2180,-141,4
619,2164,-138,0
620,2163,-135,0
621,2174,-131,2
622,2174,-128,2
623,2169,-124,5
624,2172,-121,3
625,2163,-117,1
626,2165,-113,0
627,2155,-109,1
628,2157,-106,6
629,2165,-102,0
630,2162,-98,6
631,2170,-94,2
632,2153,-90,5
633,2175,-86,0
634,2166,-81,4
635,2164,-77,0
636,2170,-73,8
637,2166,-69,0
638,2161,-65,0
639,2161,-60,0
640,2159,-56,0
641,2170,-52,0
642,2159,-47,0
643,2159,-43,4
644,2151,-39,4
645,2155,-34,0
646,2165,-30,0
647,2165,-26,1
648,2170,-22,3
649,2152,-17,0
650,2162,-13,4
651,2157,-9,2
652,2157,-5,2
653,2155,0,2
654,2162,4,2
655,2162,8,2
656,2170,12,4
657,2170,16,4
658,2147,20,0
659,2168,25,0
661,2170,33,0
663,2174,41,0
665,2160,49,0
667,2153,56,0
669,2168,64,3
671,2163,71,1
673,2164,79,0
675,2165,85,3
677,2153,93,1
679,2174,100,1
681,2162,106,0
683,2163,112,2
685,2166,118,1
687,2157,124,0
689,2159,129,0
691,2164,135,0
693,2164,140,1
695,2164,144,0
697,2164,148,0
699,2164,152,10
701,2165,156,3
703,2157,160,4
705,2159,163,0
707,2174,165,1
709,2151,168,0
711,2170,170,0
2164,169,4
713,2165,171,4
714,2158,172,0
715,2168,173,6
717,2168,174,6
718,2167,174,0
719,2154,174,1
721,2172,175,0
722,2165,175,3
723,2168,175,0
725,2157,175,0
726,2166,175,6
727,2173,176,0
729,2161,177,2
730,2164,177,4
731,2170,176,0
733,2153,174,0
734,2163,173,0
735,2167,172,0
737,2153,170,3
738,2174,169,0
739,2174,168,0
741,2159,165,0
742,2162,163,0
743,2153,162,0
745,2151,158,2
746,2151,156,2
