$A
time,q1,q2,tau
2,2190,-192,0
3,2194,-192,0
4,2192,-192,0
5,2197,-192,0
6,2191,-192,0
7,2202,-192,3
8,2202,-192,3
9,2200,-192,10
10,2200,-192,10
11,2196,-192,2
12,2192,-192,0
13,2191,-192,0
14,2191,-192,0
15,2200,-192,1
16,2200,-192,1
17,2181,-192,0
18,2181,-192,0
19,2184,-192,0
20,2184,-192,0
21,2186,-192,0
22,2194,-192,1
23,2194,-192,1
24,2184,-192,0
25,2190,-192,5
26,2190,-192,5
27,2189,-192,4
28,2190,-192,5
29,2196,-192,4
30,2189,-192,0
31,2189,-192,0
32,2189,-192,0
33,2191,-192,0
34,2191,-192,0
35,2202,-192,0
36,2191,-192,0
37,2191,-192,0
38,2187,-192,1
39,2190,-192,0
40,2190,-192,0
41,2192,-192,0
42,2196,-192,0
43,2196,-192,0
44,2187,-192,0
45,2187,-192,0
46,2202,-192,2
47,2186,-192,0
48,2186,-192,0
49,2196,-192,0
50,2194,-192,1
51,2177,-192,0
52,2200,-192,0
53,2189,-192,3
54,2189,-192,3
55,2183,-192,2
56,2183,-192,2
57,2177,-192,0
58,2202,-192,0
59,2186,-192,2
60,2187,-192,0
61,2200,-192,0
62,2200,-192,0
63,2176,-192,0
64,2176,-192,0
65,2196,-192,1
66,2196,-192,1
67,2179,-192,0
68,2185,-192,0
69,2187,-192,0
70,2189,-192,0
71,2182,-192,0
72,2188,-192,1
73,2188,-192,1
74,2191,-192,6
75,2179,-192,0
76,2179,-192,0
77,2190,-192,0
78,2189,-192,2
79,2194,-192,0
80,2190,-192,0
81,2190,-192,0
82,2183,-192,4
83,2188,-192,0
84,2179,-192,0
85,2177,-192,0
86,2192,-192,0
87,2196,-192,0
88,2184,-192,3
89,2190,-192,0
90,2181,-192,0
91,2192,-192,1
92,2192,-192,0
93,2192,-192,0
94,2188,-192,2
95,2196,-192,1
96,2187,-192,0
97,2190,-192,2
98,2183,-192,0
99,2194,-192,0
100,2194,-192,0
101,2187,-192,0
102,2187,-192,0
103,2177,-192,0
104,2192,-192,0
105,2196,-192,0
106,2185,-192,0
107,2196,-192,0
109,2177,-192,0
111,2194,-192,0
113,2188,-192,0
115,2196,-192,2
117,2192,-192,0
119,2177,-192,0
121,2189,-192,1
123,2184,-192,8
125,2196,-192,0
127,2179,-191,0
129,2183,-191,0
131,2183,-191,0
133,2194,-191,0
135,2183,-190,1
137,2185,-190,0
139,2192,-189,7
141,2183,-189,0
143,2200,-188,2
145,2189,-187,1
147,2176,-186,3
149,2187,-184,0
151,2186,-182,0
153,2189,-180,8
155,2177,-177,0
157,2192,-175,0
159,2177,-171,0
161,2177,-168,0
163,2189,-164,0
6,0
165,2177,-160,0
166,2192,-158,0
167,2177,-156,0
169,2200,-151,0
170,2181,-149,0
171,2176,-146,0
173,2190,-141,2
174,2192,-138,0
175,2192,-135,0
177,2184,-130,2
178,2176,-127,1
179,2167,-124,0
181,2189,-118,0
182,2177,-114,0
183,2170,-111,0
185,2184,-104,0
186,2182,-101,0
187,2192,-97,0
189,2176,-90,6
190,2186,-87,4
191,2186,-83,4
193,2191,-76,0
194,2177,-72,0
195,2181,-68,0
197,2184,-61,0
198,2184,-57,0
199,2186,-53,0
201,2188,-46,0
202,2171,-42,0
203,2181,-38,0
205,2183,-30,0
206,2179,-26,2
207,2177,-22,3
209,2181,-15,1
210,2181,-11,0
211,2181,-7,0
213,2190,1,0
214,2187,5,0
215,2184,8,0
216,2176,12,0
217,2177,16,0
218,2180,20,0
219,2179,23,0
220,2176,27,0
221,2169,31,1
222,2181,34,0
223,2179,38,0
224,2194,42,0
225,2194,45,0
226,2181,49,0
227,2194,52,0
228,2186,55,10
229,2186,59,10
230,2175,62,0
231,2176,66,0
232,2176,69,0
233,2179,72,0
234,2179,75,0
235,2187,78,2
236,2178,81,0
237,2165,85,0
238,2189,87,0
239,2175,90,0
240,2180,93,4
241,2186,96,0
242,2184,99,0
243,2181,101,0
244,2177,104,2
245,2165,107,0
246,2165,109,0
247,2184,112,0
248,2177,114,6
249,2182,117,0
250,2182,119,0
251,2183,121,4
252,2174,124,6
253,2182,126,0
254,2182,128,3
255,2175,130,0
256,2188,132,4
257,2176,134,0
258,2178,136,0
259,2184,137,0
260,2182,139,0
261,2182,140,0
262,2177,142,0
263,2182,143,2
264,2183,144,0
265,2167,145,2
266,2184,146,0
267,2184,148,1
268,2184,149,1
269,2178,149,0
270,2182,150,4
271,2173,151,1
272,2184,152,0
