$A
time,q1,q2,tau
2,1863,0,2
3,1872,0,3
4,1873,0,2
5,1874,0,0
6,1879,0,6
7,1878,0,0
8,1861,0,3
9,1876,0,0
10,1870,0,0
11,1869,0,0
12,1872,0,0
13,1861,0,0
14,1874,0,0
15,1867,0,4
16,1874,0,0
17,1872,0,0
18,1868,0,0
19,1860,0,1
20,1863,0,1
21,1871,0,4
22,1872,0,2
23,1876,0,0
24,1868,0,3
25,1875,0,0
26,1857,0,0
27,1865,0,0
28,1882,0,1
29,1861,0,0
30,1866,0,6
31,1866,0,6
32,1868,0,0
33,1863,0,0
34,1869,0,0
35,1876,0,2
36,1867,0,0
37,1874,0,0
38,1876,0,1
39,1876,0,1
40,1878,0,7
41,1864,0,0
42,1874,0,0
43,1871,0,2
44,1868,0,2
45,1868,0,2
46,1880,0,0
47,1880,0,0
48,1857,0,3
49,1870,0,0
50,1870,0,0
51,1872,0,0
52,1872,0,0
53,1874,0,0
54,1874,0,0
55,1869,0,0
56,1870,0,0
57,1870,0,0
58,1871,0,0
59,1867,0,4
60,1869,0,0
61,1870,0,2
62,1872,0,2
63,1874,0,0
64,1864,0,2
65,1866,0,0
66,1867,0,0
67,1847,0,0
68,1866,0,3
69,1857,0,0
70,1871,0,0
71,1871,0,0
72,1878,0,0
73,1864,0,0
74,1870,0,1
75,1867,0,0
76,1864,0,0
77,1864,0,0
78,1863,0,0
79,1870,0,0
80,1870,0,0
81,1870,0,2
82,1869,0,0
83,1864,0,1
84,1873,0,0
85,1873,0,0
86,1863,0,0
87,1863,0,0
88,1871,0,8
89,1868,0,0
90,1872,0,0
91,1878,0,2
92,1859,0,0
93,1859,0,0
94,1873,0,1
95,1866,0,0
96,1855,0,0
97,1872,0,0
98,1874,0,6
99,1872,0,1
100,1868,0,0
101,1859,0,0
102,1867,0,4
103,1872,0,0
104,1876,0,0
105,1874,0,0
106,1869,0,4
107,1867,0,6
108,1872,0,0
109,1872,0,0
110,1869,0,2
111,1869,0,2
112,1869,0,2
113,1865,0,0
114,1865,0,0
115,1859,0,0
116,1876,0,4
117,1863,0,0
118,1864,0,0
119,1863,0,1
120,1878,0,2
121,1869,0,4
122,1872,0,0
123,1863,0,1
124,1867,0,0
125,1864,0,0
126,1865,0,0
127,1871,0,1
128,1865,0,0
129,1876,0,0
130,1876,0,0
131,1876,0,0
132,1876,0,6
133,1872,0,0
134,1872,0,0
135,1878,0,0
136,1863,0,0
137,1867,0,0
138,1871,0,3
139,1865,0,0
140,1865,0,0
141,1868,0,1
142,1870,0,2
143,1870,0,0
144,1872,0,0
145,1867,0,0
146,1867,0,0
147,1867,0,0
148,1874,0,0
149,1882,0,4
150,1863,0,3
151,1868,0,2
152,1861,0,7
153,1880,0,2
154,1880,0,2
155,1869,0,0
156,1863,0,0
157,1863,0,4
158,1872,0,0
159,1859,0,0
160,1863,0,0
161,1863,0,0
162,1868,0,1
163,1874,0,0
164,1874,0,0
165,1871,0,0
166,1857,0,0
167,1857,0,0
168,1869,0,0
169,1861,0,8
170,1861,0,8
171,1874,0,0
