
time,q1,q2,tau
2,1879,0,0
3,1875,0,1
4,1867,0,0
5,1882,0,0
6,1882,0,0
7,1874,0,0
8,1879,0,0
9,1869,0,2
10,1874,0,0
11,1881,0,0
12,1882,0,0
13,1873,0,0
14,1871,0,6
15,1871,0,6
16,1876,0,0
17,1872,0,1
18,1871,0,2
19,1879,0,0
20,1867,0,0
21,1886,0,0
22,1880,0,0
23,1882,0,0
24,1882,0,0
25,1877,0,0
26,1876,0,1
27,1866,0,7
28,1877,0,0
29,1876,0,4
30,1879,0,0
31,1875,0,0
32,1869,0,0
33,1878,0,6
34,1869,0,0
35,1869,0,0
36,1874,0,7
37,1874,0,7
38,1874,0,0
39,1880,0,1
40,1882,0,2
41,1874,0,0
42,1878,0,5
43,1879,0,6
44,1879,0,0
45,1882,0,0
46,1861,0,2
47,1871,0,0
48,1872,0,0
49,1872,0,0
50,1871,0,0
51,1871,0,0
52,1867,0,4
53,1879,0,1
54,1880,0,0
55,1876,0,0
56,1873,0,1
57,1873,0,1
58,1873,0,0
59,1867,0,6
60,1877,0,1
61,1877,0,0
62,1882,0,0
63,1882,0,0
64,1882,0,0
65,1874,0,6
66,1874,0,5
67,1869,0,0
68,1869,0,0
69,1882,0,6
70,1876,0,1
71,1879,0,0
72,1877,0,0
73,1882,0,0
74,1857,0,0
75,1871,0,0
76,1876,0,6
77,1872,0,0
78,1876,0,0
79,1874,0,0
80,1867,0,2
81,1876,0,0
82,1876,0,0
83,1876,0,0
84,1867,0,0
85,1879,0,1
86,1875,0,3
87,1882,0,3
88,1882,0,3
89,1886,0,2
90,1876,0,0
91,1877,0,1
92,1873,0,1
93,1878,0,0
94,1871,0,0
95,1869,0,0
96,1869,0,0
97,1877,0,4
98,1880,0,0
99,1875,0,1
100,1865,0,0
101,1878,0,0
102,1880,0,1
103,1853,0,0
104,1876,0,1
105,1876,0,1
106,1882,0,6
107,1877,0,4
108,1875,0,2
109,1875,0,1
110,1882,0,2
111,1876,0,0
112,1869,0,0
113,1876,0,0
114,1878,0,0
115,1882,0,6
116,1865,0,0
117,1884,0,0
118,1876,0,0
119,1865,0,0
120,1876,0,0
121,1876,0,0
122,1871,0,0
123,1867,0,1
124,1876,0,0
125,1876,0,0
126,1879,0,2
127,1887,0,0
128,1870,0,0
129,1870,0,0
130,1869,0,2
131,1873,0,0
132,1877,0,3
133,1872,0,0
134,1861,0,0
135,1874,0,0
136,1875,0,0
137,1875,0,0
138,1882,0,0
139,1873,0,0
140,1873,0,0
141,1871,0,1
142,1876,0,2
143,1880,0,2
144,1869,0,6
145,1871,0,0
146,1876,0,0
147,1867,0,0
148,1867,0,0
149,1875,0,0
150,1875,0,0
151,1869,0,1
152,1873,0,1
153,1874,0,6
154,1876,0,0
155,1861,0,1
156,1876,0,0
157,1872,0,0
158,1867,0,0
159,1875,0,0
160,1869,0,3
161,1874,0,2
162,1875,0,1
163,1878,0,4
164,1874,0,0
165,1877,0,0
166,1879,0,1
167,1869,0,6
168,1867,0,0
169,1879,0,2
170,1871,0,0
171,1871,0,0
172,1865,0,0
173,1877,0,0
174,1873,0,0
175,1869,0,0
176,1880,0,0
177,1880,0,0
178,1880,0,2
179,1879,0,0
180,1869,0,0
181,1869,0,0
182,1877,0,0
183,1865,0,0
184,1878,0,2
185,1880,0,0
186,1880,0,0
187,1861,0,2
188,1877,0,0
189,1871,0,0
190,1880,0,0
191,1878,0,0
192,1876,0,0
193,1880,0,8
194,1879,0,0
195,1874,0,0
196,1869,0,0
197,1869,0,0
198,1876,0,0
199,1872,0,0
200,1878,0,6
201,1878,0,6
202,1876,0,0
203,1876,0,0
204,1884,0,0
