time,q1,q2,tau
2,2192,0,1
3,2188,0,6
4,2184,0,0
5,2169,0,0
6,2186,0,0
7,2186,0,0
8,2179,0,2
9,2173,0,0
10,2177,0,3
11,2176,0,0
12,2192,0,0
13,2191,0,0
14,2191,0,0
15,2188,0,0
16,2181,0,2
17,2184,0,0
18,2184,0,0
19,2186,0,0
20,2188,0,6
21,2184,0,1
22,2184,0,1
23,2188,0,0
24,2183,0,4
25,2177,0,0
26,2190,0,0
27,2190,0,0
28,2190,0,0
29,2176,0,0
30,2187,0,0
31,2188,0,1
32,2185,0,0
33,2188,0,0
34,2188,0,0
35,2177,0,0
36,2182,0,0
37,2191,0,0
38,2184,0,0
39,2186,0,0
40,2178,0,4
41,2186,0,0
42,2179,0,0
43,2186,0,1
44,2190,0,4
45,2177,0,6
46,2177,0,6
47,2188,0,0
48,2190,0,4
49,2192,0,0
50,2194,0,0
51,2186,0,0
52,2186,0,0
53,2189,0,0
54,2178,0,0
55,2177,0,0
56,2188,0,2
57,2188,0,2
58,2188,0,1
59,2200,0,0
60,2190,0,0
61,2190,0,0
62,2163,0,0
63,2192,0,0
64,2183,0,0
65,2176,0,2
66,2183,0,0
67,2183,0,2
68,2192,0,0
69,2194,0,4
70,2194,0,4
71,2191,0,0
72,2189,0,0
73,2190,0,6
74,2190,0,6
75,2190,0,0
76,2190,0,0
77,2184,0,0
78,2190,0,0
79,2183,0,1
80,2185,0,1
81,2186,0,0
82,2186,0,0
83,2183,0,0
84,2188,-1,0
85,2177,-1,1
86,2190,-1,1
87,2184,-1,3
88,2176,-1,0
89,2179,-1,0
90,2188,-1,7
91,2185,-1,0
92,2188,-2,0
93,2191,-2,0
94,2181,-2,0
95,2188,-2,0
96,2182,-3,2
97,2190,-3,0
98,2177,-3,0
99,2194,-3,0
100,2183,-3,1
101,2190,-3,0
102,2183,-4,0
103,2181,-4,0
104,2176,-4,0
105,2176,-4,0
106,2176,-5,0
107,2177,-5,1
108,2192,-5,0
109,2192,-6,0
110,2177,-6,0
111,2184,-6,0
112,2176,-6,0
113,2176,-7,0
114,2188,-7,0
115,2191,-7,0
116,2191,-7,0
117,2187,-8,0
118,2189,-8,0
119,2181,-9,0
120,2190,-9,1
121,2192,-9,1
122,2177,-9,0
123,2189,-10,3
124,2186,-10,0
125,2184,-10,1
126,2186,-11,1
127,2186,-11,0
128,2182,-11,2
129,2187,-11,0
130,2192,-12,2
131,2190,-12,0
132,2183,-12,0
133,2192,-13,0
134,2184,-13,7
135,2183,-13,0
136,2183,-14,0
137,2183,-14,2
138,2185,-14,0
139,2185,-15,0
140,2196,-15,0
141,2183,-15,0
142,2187,-16,4
143,2184,-16,1
144,2177,-16,0
145,2191,-17,0
146,2180,-17,0
147,2180,-17,0
148,2192,-18,0
149,2190,-18,1
150,2190,-18,1
151,2189,-19,2
152,2189,-19,0
153,2192,-20,6
154,2185,-20,3
155,2192,-20,0
156,2192,-21,0
157,2191,-21,0
158,2190,-22,0
159,2192,-22,2
160,2176,-22,3
161,2187,-23,0
162,2186,-23,0
163,2190,-24,0
164,2184,-24,5
165,2180,-25,1
166,2177,-25,0
167,2186,-26,0
168,2181,-26,0
169,2187,-27,0
170,2183,-27,3
171,2190,-28,0
172,2190,-28,0
173,2192,-29,6
174,2190,-29,0
175,2188,-30,0
176,2188,-30,0
177,2183,-31,1
178,2183,-31,1
179,2179,-32,0
180,2179,-33,0
181,2189,-33,0
182,2177,-34,7
183,2177,-34,7
184,2182,-35,0
185,2188,-35,3
186,2186,-36,0
187,2189,-36,0
188,2177,-37,2
189,2190,-37,0
190,2192,-38,2
191,2189,-39,0
192,2183,-39,4
193,2176,-40,0
194,2191,-41,0
195,2179,-41,1
196,2187,-42,0
197,2181,-42,0
198,2194,-43,0
199,2186,-43,1
200,2190,-44,0
