response of q1 from initial condition
time,q1,q2,tau
2,537,-20,10
3,537,-20,0
4,533,-20,1
5,543,-20,0
6,543,-20,0
7,536,-20,10
8,541,-20,6
9,540,-20,0
10,543,-20,3
11,536,-20,0
12,540,-20,0
13,539,-20,0
14,537,-20,0
15,537,-20,0
16,537,-20,2
17,535,-20,2
18,532,-20,0
19,535,-20,6
20,543,-20,6
21,543,-20,6
22,540,-20,0
23,534,-20,1
24,535,-20,1
25,528,-20,0
26,536,-20,0
27,523,-20,4
28,539,-20,0
29,541,-20,0
30,542,-20,0
31,533,-20,0
32,531,-20,2
33,526,-20,0
34,530,-20,0
35,543,-20,2
36,531,-20,0
37,530,-20,6
38,528,-20,0
39,536,-20,1
40,543,-20,1
41,535,-20,4
42,541,-20,6
43,535,-20,1
44,537,-20,0
45,537,-20,0
46,541,-20,0
47,540,-20,1
48,538,-20,0
49,521,-20,0
50,523,-20,0
51,535,-20,0
52,543,-20,1
53,543,-20,4
54,529,-20,6
55,523,-20,0
56,537,-20,0
57,536,-20,6
58,540,-20,2
59,540,-20,0
60,527,-20,0
61,541,-20,0
62,530,-20,0
63,540,-20,0
64,533,-20,10
65,541,-20,2
66,523,-20,6
67,540,-20,6
68,539,-20,0
69,528,-20,0
70,525,-20,3
71,535,-20,0
72,542,-20,0
73,536,-20,0
74,546,-20,0
75,531,-20,0
76,536,-20,0
77,536,-20,4
78,536,-20,0
79,541,-20,0
80,535,-20,1
81,537,-20,0
82,540,-20,0
83,536,-20,1
84,542,-20,0
85,540,-20,2
86,536,-20,0
87,539,-20,0
88,537,-20,0
89,541,-20,2
90,541,-20,0
91,540,-20,3
92,535,-20,0
93,522,-20,4
94,536,-20,6
95,535,-20,7
96,525,-20,0
97,539,-20,0
98,540,-20,7
99,536,-20,0
100,536,-20,0
101,536,-20,0
102,520,-20,6
103,537,-20,4
104,539,-20,4
105,540,-20,0
106,536,-20,5
107,531,-20,3
108,541,-20,0
109,539,-20,0
110,542,-20,1
111,535,-20,0
112,536,-20,4
113,533,-20,0
114,540,-20,1
115,540,-20,0
116,539,-20,0
117,541,-20,0
118,531,-20,2
119,546,-20,1
120,535,-20,0
121,543,-20,0
122,543,-20,0
123,536,-20,0
124,546,-20,0
125,541,-20,0
126,552,-20,0
127,540,-20,0
128,538,-20,6
129,541,-20,0
130,541,-20,22
131,536,-20,0
132,533,-20,2
133,542,-20,4
134,542,-20,2
135,538,-20,0
136,540,-20,0
137,535,-20,0
138,522,-20,0
139,540,-20,0
140,541,-20,0
141,536,-20,0
142,538,-20,0
143,535,-20,1
144,536,-20,1
145,541,-20,0
146,523,-20,4
147,541,-20,6
148,537,-20,3
149,536,-20,2
150,540,-20,0
151,537,-20,0
152,538,-20,0
153,541,-20,1
154,536,-20,0
155,543,-20,1
