response of q1 from initial conditions
time,q1,q2,tau
2,463,0,2
3,463,0,0
5,463,0,0
6,456,0,0
7,461,0,6
8,464,0,0
9,467,0,0
10,478,0,1
11,443,0,0
13,459,0,0
14,464,0,0
15,461,0,0
16,456,0,0
17,464,0,0
18,459,0,0
19,455,0,6
20,466,0,0
21,457,0,0
22,446,0,2
23,460,0,1
24,464,0,0
25,451,0,0
26,464,0,0
27,458,0,1
28,460,0,0
29,460,0,4
30,455,0,0
31,450,0,0
32,465,0,0
33,443,0,1
34,459,0,0
35,457,0,4
36,466,0,4
37,455,0,1
38,455,0,0
39,443,0,1
40,463,0,0
41,459,0,0
42,466,0,0
43,463,0,7
44,463,0,1
45,466,0,1
46,464,0,0
47,455,0,0
48,463,0,0
49,463,0,2
50,459,0,1
51,456,0,0
52,448,0,0
53,463,0,3
54,457,0,1
55,455,0,1
56,458,0,0
57,460,0,0
58,446,0,0
59,462,0,6
60,456,0,2
61,457,0,6
62,463,0,0
63,456,0,10
64,461,0,0
65,460,0,7
66,463,0,0
67,460,0,0
68,456,0,0
69,460,0,1
70,456,0,0
71,451,0,2
72,461,0,2
73,462,0,0
74,466,0,4
75,466,0,1
76,457,0,0
77,456,0,0
78,455,0,0
79,455,0,0
80,464,0,0
81,466,0,0
82,451,0,3
83,451,0,0
84,465,0,1
85,460,0,0
86,470,0,0
87,460,0,0
88,457,0,0
89,466,0,0
90,459,0,0
91,455,0,0
92,459,0,2
93,451,0,0
94,464,0,0
95,466,0,0
96,461,0,10
97,460,0,0
98,463,0,3
99,460,0,0
100,459,0,10
101,451,0,0
102,464,0,2
103,460,0,0
104,456,0,0
105,457,0,2
106,460,0,0
107,468,0,0
108,461,0,3
109,460,0,0
110,461,0,1
111,468,0,0
112,451,0,0
113,442,0,0
114,449,0,1
115,466,0,0
116,456,0,0
117,456,0,0
118,468,0,2
119,464,0,0
120,461,0,4
121,470,0,0
122,456,0,0
123,457,0,0
124,463,0,0
125,449,0,0
126,462,0,0
127,461,0,1
128,459,0,0
129,455,0,0
130,463,0,1
131,461,0,3
132,474,0,0
133,459,0,0
134,449,0,0
135,449,0,0
136,460,0,4
137,468,0,2
138,456,0,2
139,443,0,0
140,466,0,0
141,463,0,0
142,460,0,0
143,471,0,2
144,467,0,0
145,456,0,0
146,467,0,0
147,458,0,0
148,457,0,2
149,475,0,1
150,449,0,0
151,464,0,2
152,460,0,0
153,471,0,4
154,458,0,0
155,463,0,2
156,470,0,1
157,466,0,1
158,463,0,1
159,461,0,4
160,456,0,0
161,470,0,3
162,463,0,0
163,461,0,0
164,464,0,0
165,460,0,0
166,463,0,3
167,464,0,10
168,449,0,0
169,463,0,0
170,465,0,0
171,461,0,0
172,470,0,0
173,464,0,0
174,460,0,1
175,464,0,1
176,463,0,2
