q2 response from initial condition
time,q1,q2,tau
2,1514,417,0
3,1518,417,0
4,1518,417,0
5,1530,417,0
6,1506,417,0
7,1514,417,0
8,1520,417,2
9,1519,417,0
10,1511,417,0
11,1517,417,2
12,1519,417,0
13,1520,417,1
14,1512,417,6
15,1504,417,0
16,1526,417,0
17,1511,417,0
18,1520,417,0
19,1513,417,2
20,1518,417,7
21,1514,417,0
22,1515,417,0
23,1520,417,0
24,1517,417,4
25,1519,417,1
26,1519,417,4
27,1512,417,0
28,1505,417,0
29,1524,417,0
30,1505,417,0
31,1517,417,0
32,1520,417,0
33,1519,417,0
34,1505,417,0
35,1516,417,0
36,1517,417,0
37,1518,417,0
39,1516,417,1
41,1519,417,2
43,1518,417,0
45,1518,417,0
47,1522,417,0
49,1524,417,0
51,1511,417,2
53,1511,417,0
55,1519,417,0
57,1517,417,0
59,1512,417,3
61,1515,417,0
63,1513,417,0
65,1518,417,0
67,1521,417,0
69,1505,417,4
71,1518,417,0
73,1505,417,1
75,1520,417,2
77,1509,417,0
79,1522,417,0
81,1520,417,0
82,1511,417,0
83,1518,417,0
85,1518,417,4
86,1505,417,0
87,1505,417,2
89,1512,417,0
90,1518,417,0
91,1519,417,0
93,1515,417,0
94,1516,417,6
95,1514,417,0
97,1514,417,3
98,1518,417,0
99,1519,417,0
101,1516,417,1
102,1521,417,0
103,1511,417,0
105,1519,417,0
106,1528,417,0
107,1506,417,0
109,1516,417,3
110,1513,417,6
111,1514,417,0
113,1515,416,0
114,1504,416,2
115,1524,416,2
117,1509,416,0
118,1514,416,4
119,1522,415,0
121,1507,415,0
122,1517,415,0
123,1522,415,0
125,1518,415,0
126,1515,414,0
127,1520,414,2
129,1517,413,2
130,1507,413,0
131,1517,413,6
133,1519,412,0
134,1516,412,1
135,1505,412,0
137,1514,411,0
138,1520,411,0
139,1519,411,0
141,1507,410,23
142,1522,409,0
143,1519,409,3
145,1524,408,0
146,1491,407,0
147,1518,407,1
149,1524,406,2
150,1504,406,1
151,1512,405,0
152,1512,405,0
153,1515,404,0
154,1512,403,0
155,1511,403,1
156,1516,402,2
157,1522,402,0
158,1520,401,0
159,1511,400,0
160,1518,400,1
161,1520,399,0
162,1514,399,0
163,1517,398,0
164,1520,397,0
165,1519,396,4
166,1505,395,0
167,1515,395,0
168,1518,394,0
169,1514,393,1
170,1520,392,3
171,1520,391,0
172,1518,390,0
173,1528,389,4
174,1505,389,89
175,1511,388,0
176,1518,387,1
177,1518,386,0
178,1517,385,0
179,1512,384,3
180,1520,383,0
181,1519,381,0
182,1520,380,0
183,1519,379,3
184,1521,378,0
185,1520,377,0
186,1520,376,0
187,1530,374,4
188,1518,373,0
189,1507,372,0
190,1516,370,0
191,1505,369,1
192,1519,367,1
193,1504,366,4
194,1524,365,0
195,1505,363,0
196,1524,361,4
197,1522,360,1
198,1522,358,0
199,1512,357,0
200,1520,355,0
201,1511,353,0
202,1521,351,0
203,1516,349,0
204,1524,347,3
205,1526,345,0
206,1515,343,0
207,1513,342,4
208,1520,339,0
209,1506,337,3
210,1518,335,0
211,1516,333,0
212,1520,331,72
213,1506,328,0
214,1522,326,1
215,1522,324,0
216,1518,321,3
217,1519,319,0
218,1518,316,0
219,1522,313,0
220,1517,311,0
221,1512,308,0
222,1512,305,0
223,1512,302,1
224,1511,299,2
225,1522,296,0
226,1514,293,0
227,1505,290,1
228,1520,287,4
229,1520,283,10
230,1507,280,62
231,1512,277,0
232,1518,273,0
233,1512,270,1
234,1522,266,0
235,1518,263,0
236,1512,259,3
237,1517,255,0
238,1522,251,0
239,1511,247,1
240,1493,243,1
241,1505,239,0
242,1513,235,0
243,1505,231,0
244,1518,227,0
245,1522,222,0
246,1518,218,0
247,1518,213,4
248,1519,209,0
249,1520,204,0
250,1517,199,3
251,1513,195,0
252,1518,190,0
253,1519,185,0
254,1519,180,0
255,1517,175,0
256,1518,170,4
257,1520,165,6
258,1519,159,6
259,1495,154,0
260,1513,149,4
261,1511,144,2
262,1516,138,4
263,1517,133,2
264,1517,128,0
265,1517,122,4
266,1519,117,0
267,1497,111,0
268,1520,105,2
269,1505,100,6
270,1519,94,1
271,1520,89,0
272,1511,83,6
273,1517,78,0
274,1517,72,0
275,1505,66,0
276,1514,61,0
277,1519,55,0
278,1520,49,0
279,1518,44,1
280,1512,38,4
281,1514,33,0
282,1520,27,0
283,1510,22,0
284,1517,16,2
285,1514,11,0
286,1511,6,2
287,1520,0,0
288,1511,-5,0
289,1519,-10,0
290,1513,-15,0
291,1516,-20,206
292,1514,-25,0
293,1528,-30,4
294,1511,-35,3
295,1518,-40,0
296,1522,-45,0
297,1517,-49,1
298,1520,-54,18
299,1512,-58,0
300,1506,-63,1
301,1506,-67,1
302,1513,-71,1
303,1519,-75,0
304,1524,-79,6
305,1511,-83,0
306,1511,-87,0
307,1509,-91,18
308,1513,-95,1
309,1522,-98,0
310,1520,-101,0
311,1512,-105,1
