
time,q1,q2,tau
2,1557,409,0
3,1553,409,3
4,1564,409,5
5,1564,409,0
6,1564,409,1
7,1560,409,0
8,1558,409,1
9,1557,409,3
10,1555,409,0
11,1565,409,0
12,1562,409,0
13,1558,409,6
14,1567,409,11
15,1558,409,3
16,1564,409,0
17,1564,409,0
18,1565,409,0
19,1559,409,0
20,1564,409,0
21,1565,409,0
22,1559,409,0
23,1564,409,0
24,1566,409,3
25,1545,409,4
26,1565,409,3
27,1553,409,0
28,1563,409,2
29,1565,409,0
30,1551,409,0
31,1566,409,0
32,1562,409,0
33,1559,409,0
34,1562,409,0
35,1564,409,4
36,1560,409,6
37,1555,409,0
38,1562,409,3
39,1554,409,0
40,1564,409,0
41,1570,409,0
42,1565,409,0
43,1554,409,2
44,1545,409,0
45,1562,409,0
46,1560,409,0
47,1565,409,0
48,1567,409,0
49,1547,409,0
50,1564,409,0
51,1553,409,0
52,1551,409,3
53,1566,409,0
54,1562,409,0
55,1558,409,7
56,1562,409,0
57,1565,409,2
58,1559,409,0
59,1571,409,0
60,1553,409,0
61,1551,409,0
63,1567,409,2
65,1564,409,0
67,1559,409,0
69,1567,409,0
71,1551,409,154
73,1565,409,0
75,1553,409,3
77,1562,409,0
79,1551,409,0
81,1578,409,1
83,1560,409,0
85,1565,409,0
87,1559,409,0
89,1549,409,0
91,1551,409,0
93,1565,409,0
95,1566,409,0
97,1565,409,0
99,1567,409,0
101,1564,409,4
103,1558,409,6
105,1560,409,0
107,1565,409,0
109,1565,409,0
110,1565,409,0
111,1562,409,0
113,1564,409,1
114,1552,409,6
115,1549,409,0
117,1565,409,1
118,1565,409,0
119,1564,409,1
121,1559,409,0
122,1554,409,0
123,1559,409,0
125,1555,409,0
126,1553,409,0
127,1560,409,0
129,1561,409,0
130,1551,409,0
131,1562,409,4
133,1566,409,0
134,1566,409,0
135,1566,409,0
137,1566,409,1
138,1559,409,0
139,1555,409,1
141,1551,409,6
142,1545,409,2
143,1562,409,10
145,1559,409,0
146,1553,409,0
147,1557,409,0
149,1565,409,0
150,1564,409,4
151,1553,409,0
153,1562,409,6
154,1549,409,0
155,1553,409,0
157,1570,409,0
158,1565,409,0
159,1561,409,4
161,1555,409,0
162,1543,409,0
163,1551,409,2
165,1556,409,0
166,1566,409,0
167,1559,409,0
169,1564,409,0
170,1562,409,0
171,1567,409,0
173,1565,409,0
174,1559,409,1
175,1552,409,0
176,1557,409,1
177,1547,409,0
178,1557,409,0
179,1559,409,0
180,1562,409,0
181,1566,409,0
182,1553,409,2
183,1560,409,1
184,1560,409,0
185,1560,409,0
186,1564,409,0
187,1565,409,3
188,1547,408,1
189,1558,408,0
190,1565,408,0
191,1567,408,0
192,1562,408,0
193,1555,408,0
194,1551,408,0
195,1565,408,1
196,1559,408,0
197,1565,408,0
198,1561,408,0
199,1560,408,1
200,1551,408,0
201,1564,408,0
202,1565,408,0
203,1559,408,0
204,1554,408,2
205,1560,408,0
206,1564,408,0
207,1565,408,2
208,1553,408,1
209,1547,408,0
210,1558,408,0
211,1565,408,1
212,1555,408,0
213,1571,408,0
214,1551,408,0
215,1565,408,1
216,1578,408,3
217,1565,408,0
218,1553,408,2
219,1561,408,0
220,1555,408,0
221,1559,408,0
222,1551,408,0
223,1556,408,2
224,1566,408,0
225,1563,408,4
226,1553,408,0
227,1547,408,7
228,1559,408,0
229,1568,408,0
230,1561,408,4
231,1562,408,0
232,1565,408,0
233,1564,408,1
234,1555,408,0
235,1559,408,3
236,1547,408,0
237,1562,408,0
238,1557,408,0
239,1551,408,0
240,1559,408,3
241,1553,408,3
242,1554,408,0
243,1559,408,3
244,1561,408,1
245,1554,408,0
246,1559,408,6
247,1564,408,0
248,1568,408,0
249,1557,408,3
250,1545,408,0
251,1565,408,1
252,1566,408,0
253,1566,408,7
254,1565,408,1
255,1561,408,1
256,1555,408,0
257,1554,408,0
258,1551,408,3
259,1567,408,1
260,1563,408,0
261,1563,408,6
262,1566,408,0
263,1549,408,0
264,1559,408,0
265,1562,408,0
266,1557,408,0
267,1565,408,0
268,1566,408,0
269,1549,408,0
270,1561,408,0
271,1564,408,2
272,1559,408,0
273,1557,408,0
274,1552,408,0
275,1557,408,0
276,1563,408,0
277,1555,408,0
278,1559,408,3
279,1562,408,0
280,1555,408,2
281,1559,408,0
282,1551,408,0
283,1557,408,2
284,1566,408,10
285,1564,408,0
286,1551,408,0
287,1564,408,0
288,1559,408,0
289,1558,408,0
290,1553,408,2
291,1567,408,6
292,1566,408,2
293,1566,408,2
294,1560,408,6
295,1562,408,0
296,1561,408,2
297,1566,408,0
298,1560,408,0
299,1562,408,0
300,1557,408,1
301,1560,408,0
302,1552,408,0
303,1554,408,3
304,1556,408,4
305,1567,408,0
306,1565,408,0
307,1564,408,1
308,1564,408,0
309,1567,408,2
310,1565,408,1
311,1567,408,0
312,1555,408,0
313,1547,408,0
314,1553,408,0
315,1565,406,3
316,1555,406,0
317,1560,406,0
318,1568,406,0
319,1570,406,0
320,1576,406,4
321,1557,406,0
322,1578,406,3
323,1587,406,2
324,1559,406,0
325,1574,406,2
326,1591,406,3
327,1567,406,0
328,1591,406,4
329,1560,406,0
330,1565,406,10
331,1559,406,1
332,1552,406,0
333,1564,406,0
334,1562,406,4
335,1565,406,0
336,1559,406,0
337,1565,406,3
338,1551,406,0
339,1566,406,0
340,1566,406,2
341,1555,406,0
342,1560,406,0
343,1562,406,4
344,1561,406,0
345,1559,406,3
346,1559,406,2
347,1564,406,6
348,1559,406,0
349,1563,406,1
350,1553,406,5
351,1559,406,0
352,1560,406,0
353,1565,406,0
354,1565,406,3
355,1559,406,1
356,1565,406,0
357,1559,406,6
358,1566,406,0
359,1551,406,0
360,1562,406,0
361,1553,406,0
362,1566,406,0
363,1547,406,0
364,1560,406,2
365,1567,406,1
366,1566,406,0
367,1566,406,0
368,1567,406,6
369,1564,406,0
370,1566,406,0
371,1555,406,0
372,1559,406,2
373,1555,406,4
374,1557,406,0
375,1560,406,0
376,1565,406,0
377,1564,406,0
378,1570,406,0
379,1566,406,0
380,1561,406,0
381,1566,406,4
382,1565,406,1
383,1551,406,5
384,1555,406,0
385,1560,406,0
386,1553,406,0
387,1566,406,10
388,1565,406,1
389,1552,406,2
390,1559,406,0
391,1566,406,6
392,1551,406,0
393,1555,406,0
394,1563,406,0
395,1565,406,0
396,1564,406,0
397,1557,406,0
398,1565,406,0
399,1547,406,7
400,1565,406,0
401,1552,406,0
402,1557,406,4
403,1557,406,2
404,1565,406,0
405,1560,406,0
406,1564,406,0
407,1565,406,0
408,1557,406,0
409,1551,406,2
410,1552,406,7
411,1561,406,0
412,1560,406,2
413,1553,406,0
414,1564,406,0
415,1565,406,0
416,1559,406,3
417,1560,406,6
418,1561,406,0
419,1553,406,0
420,1561,406,10
421,1562,406,0
422,1562,406,0
423,1560,406,2
424,1565,406,5
425,1566,406,0
426,1547,406,3
427,1570,406,10
428,1559,406,6
429,1566,406,10
430,1565,406,1
431,1560,406,0
432,1565,406,0
433,1555,406,3
434,1566,406,0
435,1564,406,4
436,1570,406,4
437,1564,406,0
438,1566,406,0
439,1565,406,0
440,1562,406,0
441,1559,406,0
442,1560,406,2
443,1564,406,0
444,1560,406,2
446,1564,406,0
448,1562,406,0
450,1563,406,14
452,1564,406,0
454,1566,406,0
456,1566,406,1
458,1566,406,0
460,1565,406,0
462,1560,406,0
464,1562,406,0
466,1560,406,1
468,1574,406,6
470,1565,406,1
472,1553,406,0
474,1553,406,0
476,1567,406,0
478,1550,406,0
480,1565,406,1
482,1566,406,0
484,1576,406,0
486,1574,406,0
488,1557,406,0
490,1551,406,0
492,1558,406,0
494,1559,406,0
496,1547,406,1
497,1565,406,0
498,1566,406,0
500,1558,406,0
501,1566,406,1
502,1560,406,0
504,1562,406,0
505,1565,406,4
506,1565,406,3
508,1561,406,1
509,1560,406,0
510,1557,405,0
512,1551,405,0
513,1566,405,1
514,1566,405,3
516,1566,405,17
517,1561,405,0
518,1565,405,0
520,1560,405,0
521,1560,405,0
522,1557,405,0
524,1562,405,4
525,1571,405,0
526,1565,405,0
528,1565,405,201
529,1564,405,0
530,1562,405,3
532,1565,405,0
533,1565,405,0
534,1564,405,0
536,1559,405,0
537,1547,405,1
538,1560,405,2
540,1566,405,0
541,1565,405,1
542,1564,405,0
544,1557,405,0
545,1564,405,0
546,1566,405,0
548,1564,405,0
549,1553,405,3
550,1551,405,3
552,1547,405,0
553,1556,405,2
554,1553,405,0
556,1574,405,2
557,1560,405,0
558,1553,405,0
559,1564,405,10
560,1552,405,2
562,1560,404,1
5,0
563,1566,404,2
564,1559,404,0
565,1555,404,3
566,1565,404,4
567,1562,404,1
568,1559,404,2
569,1555,404,0
570,1565,404,0
571,1564,404,6
572,1562,404,0
573,1557,404,0
574,1570,404,0
575,1564,404,0
576,1553,404,0
577,1564,404,0
578,1559,404,0
579,1564,404,0
580,1555,404,1
581,1549,404,1
582,1551,404,1
583,1566,404,1
584,1560,404,0
585,1553,404,0
586,1557,404,0
587,1543,404,0
588,1562,404,0
589,1566,404,4
590,1559,404,3
591,1567,404,0
592,1549,404,4
593,1553,404,1
594,1565,404,3
595,1564,404,0
596,1565,404,5
597,1562,404,10
598,1563,404,0
599,1559,404,0
600,1564,404,0
601,1562,404,6
602,1551,404,0
603,1560,404,0
604,1567,404,0
605,1551,404,0
606,1558,404,0
607,1567,404,0
608,1565,404,0
609,1566,404,4
610,1557,404,0
611,1559,404,3
612,1565,404,1
613,1560,404,0
614,1562,404,0
615,1571,404,0
616,1565,404,1
617,1565,404,0
618,1561,404,0
619,1560,404,0
620,1562,404,3
621,1562,404,0
622,1563,404,0
623,1560,404,1
624,1559,404,0
625,1560,404,0
626,1562,404,3
627,1565,404,0
628,1570,404,3
629,1565,404,4
630,1555,404,1
631,1555,404,4
632,1560,404,0
633,1565,404,1
634,1553,404,2
635,1558,404,0
636,1550,404,3
637,1564,404,0
638,1559,404,1
639,1567,404,3
640,1558,404,3
641,1553,404,4
642,1564,404,4
643,1551,404,42
644,1559,404,2
645,1563,404,2
646,1564,404,0
647,1554,404,2
648,1564,404,0
649,1557,404,2
650,1559,404,0
651,1565,404,1
652,1565,404,0
653,1565,404,3
654,1563,404,0
655,1558,404,0
656,1561,404,2
657,1578,404,2
658,1556,404,1
659,1566,404,6
660,1558,404,4
661,1567,404,1
662,1551,404,0
663,1561,404,0
664,1564,404,0
665,1563,404,1
666,1547,404,0
667,1560,404,2
668,1560,404,2
669,1561,404,0
670,1556,404,2
671,1564,404,0
672,1560,404,0
673,1564,404,0
674,1551,404,0
675,1565,404,0
676,1566,404,0
677,1552,404,0
678,1554,404,66
679,1564,404,1
680,1564,404,0
681,1561,404,8
682,1559,404,0
683,1555,404,0
684,1563,404,0
685,1560,404,3
686,1551,404,0
687,1551,404,0
688,1553,404,0
689,1553,404,0
690,1559,404,0
691,1554,404,0
692,1559,404,0
693,1545,404,0
694,1567,404,1
695,1566,404,0
696,1564,404,4
697,1566,404,0
698,1566,404,1
699,1564,404,0
700,1565,404,0
701,1560,404,3
702,1558,404,0
703,1564,404,1
704,1557,404,4
705,1567,404,0
706,1556,404,1
707,1555,404,0
708,1568,404,7
709,1555,404,0
710,1564,404,1
711,1563,404,0
712,1567,404,2
713,1563,404,0
714,1565,404,0
715,1555,404,0
716,1564,404,0
717,1566,404,0
718,1559,404,0
719,1564,404,1
720,1565,404,1
721,1566,404,0
722,1567,404,0
723,1566,404,7
724,1565,404,1
725,1564,404,3
726,1559,404,4
727,1562,404,0
728,1559,404,1
729,1564,404,0
730,1553,404,1
731,1553,404,0
732,1561,404,0
733,1555,404,1
734,1561,404,0
735,1561,404,1
736,1560,404,0
737,1557,404,0
738,1553,404,0
739,1563,404,0
740,1559,404,0
741,1566,404,6
742,1565,404,0
743,1553,404,0
744,1567,404,3
745,1553,404,0
746,1550,404,0
747,1559,404,0
748,1564,404,0
749,1557,404,0
750,1551,404,1
751,1557,404,0
752,1560,404,0
753,1553,404,6
754,1559,404,0
755,1556,404,0
756,1555,404,0
757,1549,404,6
758,1559,404,1
759,1559,404,0
760,1557,404,4
761,1560,404,0
762,1564,404,0
763,1566,404,0
764,1559,404,0
765,1562,404,0
766,1559,404,1
767,1564,404,0
768,1565,404,1
769,1564,404,0
770,1553,404,2
771,1547,404,0
772,1562,404,0
773,1565,404,0
774,1549,405,0
775,1557,405,4
776,1565,405,0
777,1559,405,0
778,1566,405,0
779,1562,405,3
780,1562,405,0
781,1566,405,6
782,1564,405,0
783,1559,405,4
784,1565,405,3
785,1563,405,0
786,1568,405,0
787,1559,405,0
788,1564,405,0
789,1560,405,0
790,1566,406,0
791,1553,406,0
792,1563,406,6
793,1565,406,1
794,1564,407,1
795,1565,407,3
796,1564,407,4
797,1567,407,0
798,1560,406,1
799,1559,406,0
800,1557,405,0
801,1547,405,0
802,1557,405,1
803,1560,404,2
804,1564,404,0
805,1564,403,0
806,1562,403,0
807,1559,403,10
808,1555,402,0
809,1565,402,0
810,1564,401,0
811,1565,401,0
812,1562,400,0
813,1566,400,0
814,1563,399,2
815,1557,399,0
816,1553,398,0
817,1562,397,0
818,1562,397,7
819,1564,396,4
820,1562,396,0
821,1543,395,1
822,1559,394,4
823,1559,394,0
824,1566,393,0
825,1564,392,0
826,1551,392,0
827,1560,391,0
828,1566,390,0
829,1559,389,0
830,1557,388,0
831,1559,387,1
833,1563,386,1
835,1555,384,0
837,1557,382,1
839,1567,380,0
841,1565,378,0
843,1554,376,0
845,1556,373,6
847,1562,371,0
849,1563,368,2
851,1553,366,0
853,1560,363,2
855,1559,360,0
857,1551,357,0
859,1564,353,0
