meep,,,
time,q1,q2,tau
2,512,1,6
3,504,1,0
4,522,1,0
5,503,1,0
6,514,1,0
7,504,1,2
8,509,1,0
9,517,1,0
10,517,1,0
11,514,1,1
12,504,1,0
13,499,1,0
14,517,1,0
15,514,1,0
16,513,1,6
17,511,1,0
18,501,1,0
19,517,1,0
20,519,1,0
21,512,1,1
22,520,1,0
23,516,1,0
24,507,1,4
25,504,1,0
26,522,1,6
27,499,1,0
28,515,1,0
29,510,1,0
30,512,1,1
31,505,1,3
32,518,1,1
33,509,1,2
34,509,1,3
35,509,1,1
36,512,1,0
37,512,1,0
38,505,1,4
39,510,1,0
40,518,1,0
41,515,1,0
42,512,1,4
43,511,1,0
44,510,1,0
45,507,1,0
46,513,1,0
47,510,1,6
48,515,1,0
49,507,1,3
50,504,1,0
51,499,1,0
52,518,1,1
53,515,1,0
54,513,1,4
55,513,1,0
56,504,1,0
57,503,1,1
58,519,1,0
59,509,1,1
60,505,1,5
61,494,1,0
62,516,1,0
63,509,1,0
64,512,1,0
65,517,1,0
66,515,1,0
67,504,1,2
68,506,1,2
69,507,1,0
70,499,1,0
71,522,1,4
72,515,1,0
73,505,1,0
74,504,1,0
75,516,1,0
76,513,1,4
77,513,1,6
78,518,1,0
79,514,1,0
80,503,1,0
81,518,1,0
82,509,1,0
83,511,1,4
84,513,1,0
85,512,1,0
86,510,1,6
87,511,1,0
88,516,1,0
89,519,1,7
90,497,1,2
91,504,1,0
92,510,1,2
93,512,1,2
94,504,1,0
95,522,1,4
96,506,1,7
97,520,1,6
98,507,1,0
99,514,1,0
100,526,1,0
101,509,1,0
102,505,1,1
103,519,1,0
104,512,1,0
105,509,1,0
106,517,1,0
107,510,1,0
108,506,1,10
109,503,1,0
110,516,1,1
111,515,1,0
112,491,1,4
113,514,1,1
114,503,1,0
115,510,1,0
116,514,1,0
117,513,1,0
118,513,1,0
119,516,1,0
120,519,1,0
121,517,1,4
122,522,1,2
123,505,1,0
124,518,1,0
125,504,1,3
126,513,1,0
127,515,1,0
128,516,1,0
129,504,1,0
130,497,1,0
131,513,1,4
132,516,1,0
133,516,1,1
134,509,1,0
135,518,1,0
136,515,1,0
137,518,1,2
138,515,1,2
139,514,1,0
140,516,1,0
141,516,1,0
142,511,1,0
143,530,1,3
144,533,1,0
145,541,1,0
146,548,1,2
147,537,1,6
148,562,1,3
149,564,1,0
150,563,1,0
151,581,1,0
152,597,1,0
153,603,1,0
154,603,1,1
155,620,1,1
157,632,1,0
159,649,1,0
161,690,1,11
163,709,1,0
165,734,1,0
167,757,1,0
169,790,1,0
171,823,1,0
173,843,1,0
175,879,1,0
177,907,1,0
179,956,1,0
181,993,1,8
183,1030,1,2
185,1055,1,6
187,1104,1,0
189,1144,1,0
191,1191,1,1
193,1231,1,0
195,1277,1,4
196,1296,1,6
197,1319,1,0
199,1378,1,0
200,1397,1,0
201,1412,1,5
203,1461,1,1
204,1465,2,1
205,1507,2,6
207,1550,2,0
208,1578,2,0
209,1602,2,0
211,1640,2,4
212,1663,2,6
