
time,q1,q2,tau
2,1992,0,2
3,1975,0,0
4,1983,0,0
6,1984,0,0
7,1988,0,0
8,1990,0,1
10,1978,0,0
11,1978,0,0
12,1975,0,0
14,1976,0,2
15,1988,0,3
16,1984,0,1
18,1989,0,4
19,1983,0,1
20,1981,0,1
22,1984,0,1
23,1978,0,5
24,1981,0,0
26,1990,0,0
27,1983,0,0
28,1986,0,6
30,1984,0,1
31,1981,0,4
32,1984,0,0
33,1981,0,0
34,1985,0,2
35,1985,0,0
36,1985,0,0
38,1986,0,6
39,1986,0,0
40,1991,0,0
41,1984,0,0
42,1994,0,0
43,1994,0,0
44,1986,0,7
45,1983,0,0
46,1988,0,0
47,1986,0,0
48,1980,0,0
49,1986,0,0
50,1988,0,0
51,1979,0,0
52,1979,0,0
53,1984,0,0
54,1984,0,0
55,1983,0,0
56,1979,0,0
57,1984,0,3
58,1988,0,0
59,1983,0,0
60,1983,0,0
61,1985,0,2
62,1984,0,5
63,1979,0,0
64,1978,0,0
65,1983,0,0
66,1992,0,6
67,1986,0,0
68,1990,0,2
69,1994,0,2
70,1986,0,0
71,1985,0,1
72,1984,0,0
73,1984,0,0
74,1977,0,0
75,1985,0,0
76,1998,0,7
77,1998,0,7
78,1977,0,2
79,1977,0,2
80,1984,0,1
81,1980,0,1
82,1984,0,6
83,1986,0,0
84,1984,0,0
85,1990,0,4
86,1984,0,4
87,1973,0,0
88,1977,0,1
89,1978,0,0
90,1994,0,6
91,1994,0,6
92,1998,0,0
93,1977,0,0
94,1990,0,5
95,1973,0,0
96,1984,0,3
97,1984,0,3
98,1984,0,0
99,1981,0,3
100,1975,0,0
101,1982,0,0
102,1992,0,0
103,1992,0,0
104,1992,0,2
105,1965,0,5
106,1986,0,0
107,1992,0,6
108,1984,0,0
109,1986,0,1
110,1983,0,1
111,1983,0,1
112,1986,0,0
113,1981,0,0
114,1979,0,0
115,1983,0,0
116,1994,0,6
117,1986,0,2
118,1986,0,3
119,1983,0,2
120,1984,0,1
121,1994,0,0
122,1975,0,6
123,1986,0,0
124,1986,0,0
125,1992,0,0
126,1988,0,0
127,1988,0,1
128,1988,0,1
129,1985,0,0
130,1986,0,3
131,1975,0,0
132,1975,0,1
133,1975,0,1
134,1994,0,2
135,1989,0,0
136,1973,0,0
137,1994,0,0
138,1989,0,0
139,1994,0,2
140,1977,0,0
141,1982,0,0
142,1983,0,0
143,1979,0,0
144,1984,0,0
145,1983,0,0
146,1984,0,0
147,1994,0,0
148,1986,0,6
149,1986,0,0
150,1986,0,0
151,1983,0,0
152,1983,0,4
153,1987,0,0
154,1987,0,0
155,1980,0,0
156,1981,0,0
157,1992,0,2
158,1986,0,7
159,1994,0,2
160,1989,0,0
161,1989,0,0
162,1992,0,0
163,1982,0,2
164,1982,0,2
165,1990,0,6
166,1975,0,3
167,1986,0,2
168,1986,0,2
169,1978,0,1
170,1982,0,0
171,1998,0,2
172,1994,0,0
173,1975,0,0
174,1992,0,0
175,1975,0,0
176,1977,0,0
177,1971,0,2
178,1983,0,0
179,1983,0,0
180,1976,0,0
181,1981,0,1
182,1986,0,7
183,1987,0,0
184,1984,0,4
185,1980,0,0
186,1980,0,0
187,1987,0,0
188,1981,0,1
189,1971,0,0
190,1994,0,6
191,1981,0,1
192,1977,0,0
193,1982,0,7
194,1982,0,7
195,1983,0,1
196,1983,0,1
197,1981,0,4
198,1984,0,4
199,1983,0,0
200,1988,0,0
201,1969,0,0
202,1969,0,0
203,1981,0,1
204,1984,0,0
205,1994,0,2
206,1983,0,0
207,1977,0,0
208,1986,0,6
209,1989,0,0
210,1995,0,4
211,1980,0,1
212,1965,0,0
213,1994,0,0
214,1994,0,0
215,1981,0,0
216,1981,0,0
217,1975,0,2
218,1975,0,2
219,1994,0,6
220,1985,0,0
221,1983,0,0
222,1997,0,0
223,2004,0,0
224,2012,0,0
225,1995,0,0
