meep
time,q1,q2,tau
2,2177,-215,0
3,2192,-215,0
4,2176,-215,0
6,2191,-215,0
8,2188,-215,0
9,2186,-215,0
10,2180,-215,0
12,2186,-215,0
13,2188,-215,2
14,2189,-215,0
16,2186,-215,0
17,2184,-215,0
18,2186,-215,0
20,2188,-215,2
21,2186,-215,0
22,2181,-215,0
24,2181,-215,0
25,2181,-215,0
26,2186,-215,1
28,2183,-215,2
29,2179,-215,1
30,2171,-215,0
32,2186,-215,0
33,2181,-215,0
34,2184,-215,1
36,2180,-215,0
37,2180,-215,0
38,2188,-215,0
40,2179,-215,0
41,2187,-215,0
42,2183,-215,0
44,2187,-215,4
45,2177,-215,0
46,2181,-215,6
48,2186,-215,0
49,2186,-215,0
50,2176,-215,0
52,2189,-215,0
53,2176,-215,6
54,2186,-215,1
56,2188,-215,0
57,2188,-215,0
58,2186,-215,1
60,2181,-215,0
61,2192,-215,2
62,2183,-215,0
64,2175,-215,0
65,2175,-215,0
66,2180,-215,6
68,2187,-215,2
69,2187,-215,2
70,2188,-215,0
71,2186,-215,4
72,2186,-215,4
73,2192,-215,0
74,2169,-215,0
75,2177,-215,0
76,2177,-215,0
77,2177,-215,1
78,2188,-215,2
79,2188,-215,2
80,2181,-215,0
81,2190,-215,1
82,2180,-215,0
83,2188,-215,7
84,2180,-215,3
85,2184,-215,0
86,2183,-215,0
87,2183,-215,0
88,2186,-215,0
89,2187,-215,0
90,2188,-215,0
91,2179,-215,0
92,2174,-215,0
93,2189,-215,0
94,2189,-215,0
95,2181,-215,0
96,2181,-215,0
97,2183,-215,0
98,2184,-215,0
99,2189,-215,0
100,2187,-215,1
101,2183,-215,0
102,2183,-215,0
103,2183,-215,0
104,2184,-215,0
105,2181,-215,0
106,2189,-215,0
107,2183,-215,0
108,2196,-215,6
109,2186,-215,0
110,2189,-215,0
111,2189,-215,0
112,2188,-215,0
113,2190,-215,1
114,2189,-215,2
115,2185,-215,0
116,2188,-215,1
117,2179,-215,0
118,2184,-215,0
119,2183,-215,0
120,2176,-215,0
121,2180,-215,0
122,2181,-215,2
123,2190,-215,0
124,2182,-215,6
125,2188,-215,3
126,2179,-215,0
127,2179,-215,0
128,2190,-215,0
129,2190,-215,1
130,2187,-215,0
131,2187,-215,0
132,2186,-215,0
133,2177,-215,0
134,2191,-215,6
135,2182,-215,0
136,2177,-215,0
137,2177,-215,0
138,2192,-215,4
139,2186,-215,0
140,2175,-215,4
141,2183,-215,0
142,2178,-215,0
143,2184,-215,0
144,2188,-215,6
145,2182,-215,2
146,2190,-215,1
147,2187,-215,0
148,2181,-215,2
149,2194,-215,4
150,2186,-215,0
151,2190,-215,1
152,2189,-215,2
153,2192,-215,0
154,2181,-215,4
155,2187,-215,1
156,2183,-215,10
157,2186,-215,0
158,2187,-215,0
159,2184,-215,0
160,2177,-215,0
161,2177,-215,0
162,2177,-215,3
163,2189,-215,6
164,2184,-215,0
165,2184,-215,0
166,2180,-215,0
167,2181,-215,0
168,2179,-215,1
169,2184,-215,0
170,2184,-215,0
171,2178,-215,0
172,2178,-215,0
173,2187,-215,0
174,2187,-215,0
175,2189,-215,0
176,2189,-215,0
177,2189,-215,0
178,2189,-215,0
179,2182,-215,0
180,2194,-215,0
181,2194,-215,0
182,2187,-215,0
183,2177,-215,0
184,2177,-215,0
185,2184,-215,0
186,2184,-215,0
187,2188,-215,7
188,2188,-215,7
189,2186,-216,0
190,2177,-216,0
191,2177,-216,0
192,2183,-216,0
193,2186,-216,0
194,2186,-216,0
195,2186,-216,0
196,2186,-216,2
197,2183,-216,3
198,2189,-216,0
199,2189,-216,0
200,2184,-216,0
201,2184,-216,0
202,2182,-216,0
203,2184,-216,0
204,2182,-216,1
205,2184,-216,0
206,2190,-216,1
207,2190,-216,1
208,2177,-216,3
209,2177,-215,3
210,2186,-215,0
211,2182,-215,2
212,2182,-215,2
213,2188,-215,7
214,2176,-215,1
215,2180,-215,2
216,2181,-215,2
217,2181,-215,2
218,2181,-215,3
219,2188,-215,1
220,2188,-215,1
221,2184,-215,0
222,2184,-215,0
223,2183,-215,1
