time,q1,q2,tau
2,2172,-263,0
3,2172,-263,0
4,2178,-263,0
5,2171,-263,0
6,2171,-263,0
7,2170,-263,0
8,2166,-263,0
9,2168,-263,0
10,2169,-263,0
11,2161,-263,0
12,2168,-263,0
13,2168,-263,0
14,2161,-263,0
15,2168,-263,0
16,2166,-263,2
17,2168,-263,0
18,2173,-263,0
19,2160,-263,0
20,2159,-263,0
21,2168,-263,0
22,2163,-263,0
23,2167,-263,0
24,2172,-263,3
25,2170,-263,1
26,2167,-263,0
27,2167,-263,0
28,2171,-263,0
29,2171,-263,0
30,2168,-263,0
31,2166,-263,0
32,2166,-263,0
33,2162,-263,0
34,2170,-263,0
35,2173,-263,0
36,2157,-263,0
37,2173,-263,0
38,2153,-263,0
39,2153,-263,0
40,2168,-263,6
41,2168,-263,6
42,2171,-263,0
43,2164,-263,2
44,2165,-263,0
45,2165,-263,0
46,2163,-262,1
47,2159,-262,0
48,2159,-262,0
49,2171,-262,1
50,2161,-262,1
51,2161,-262,0
52,2159,-262,0
53,2159,-262,0
54,2170,-262,0
55,2167,-262,2
56,2167,-262,6
57,2166,-262,0
58,2171,-262,0
59,2171,-262,0
60,2161,-262,1
61,2170,-262,0
62,2170,-262,0
63,2170,-262,0
64,2172,-262,6
65,2167,-262,0
66,2175,-262,0
67,2159,-262,0
68,2170,-262,0
69,2159,-262,0
70,2155,-262,0
71,2172,-262,2
72,2172,-262,2
73,2151,-262,6
74,2153,-262,0
75,2153,-261,0
76,2170,-261,1
77,2157,-261,0
78,2178,-261,0
79,2173,-261,0
80,2173,-261,0
81,2164,-261,3
82,2167,-261,2
83,2172,-261,0
84,2172,-261,0
85,2159,-261,0
86,2174,-261,2
87,2174,-261,2
88,2165,-261,0
89,2170,-261,1
90,2170,-261,1
91,2167,-261,2
92,2155,-261,0
93,2167,-261,0
94,2165,-261,0
95,2159,-261,0
96,2162,-261,0
97,2160,-261,4
98,2167,-261,0
99,2170,-261,0
100,2170,-261,0
101,2165,-261,0
102,2165,-261,1
103,2164,-261,1
104,2164,-261,1
105,2167,-261,2
106,2157,-261,0
107,2157,-261,0
108,2167,-261,0
109,2165,-261,0
110,2165,-261,0
111,2159,-261,0
112,2164,-261,1
