do not use data
time,q1,q2,tau
2,1564,0,2004
3,1565,0,1991
4,1566,0,1995
6,1564,0,2000
7,1565,0,2004
8,1558,0,1996
10,1563,0,1999
11,1562,0,1987
12,1556,0,2004
14,1558,0,1992
15,1564,0,1997
16,1566,0,1999
18,1564,0,1988
19,1561,0,1999
20,1561,0,1999
22,1566,0,2001
23,1565,0,1995
24,1560,0,1995
26,1552,0,1991
27,1564,0,1994
28,1562,0,1999
30,1563,0,2010
31,1560,0,1992
32,1559,0,1997
34,1556,0,1996
35,1560,0,1985
36,1547,0,1991
38,1557,0,1997
39,1562,0,2000
40,1560,0,1983
42,1566,0,2000
43,1565,0,2000
44,1567,0,2002
46,1554,0,1987
47,1547,0,1992
48,1561,0,1996
50,1555,0,2000
51,1564,0,2010
52,1566,0,1999
54,1557,0,1991
55,1567,0,1990
56,1563,0,1987
58,1543,0,1988
59,1549,0,1989
60,1565,0,1987
62,1562,0,2000
63,1567,0,1997
64,1557,0,1995
66,1567,0,2002
67,1565,0,2004
68,1564,0,1981
69,1558,0,1997
70,1563,0,1995
71,1551,0,1992
72,1558,0,1991
73,1563,0,1991
74,1543,0,1989
75,1560,0,1997
76,1555,0,1989
77,1554,0,1996
78,1566,0,2000
79,1564,0,2002
80,1564,0,2002
81,1565,0,1997
82,1565,0,1997
83,1559,0,1994
84,1561,0,2002
85,1567,0,2004
86,1557,0,2004
87,1559,0,1991
88,1564,0,1989
89,1560,0,1994
90,1565,0,2000
91,1563,0,1981
92,1561,0,1997
93,1553,0,2008
94,1563,0,2002
95,1566,0,2002
96,1551,0,1991
97,1551,0,1996
98,1547,0,1999
99,1549,0,1999
100,1559,0,1999
101,1554,0,1998
102,1551,0,1992
103,1564,0,2000
104,1561,0,2000
105,1567,0,1989
106,1565,0,2000
107,1567,0,1992
108,1566,0,2002
109,1560,0,1985
110,1562,0,1994
111,1559,0,1991
112,1559,0,1991
113,1551,0,1997
114,1558,0,2001
115,1555,0,1992
116,1558,0,1999
117,1562,0,2008
118,1561,0,1991
119,1565,0,1989
120,1562,0,2006
121,1562,0,2006
122,1559,0,1998
123,1551,0,1983
124,1564,0,2006
125,1564,0,1979
126,1551,0,1987
127,1559,0,2004
128,1565,0,2002
129,1560,0,1987
130,1560,0,2002
131,1545,0,1996
132,1555,0,1977
133,1560,0,1987
134,1557,0,2000
135,1566,0,2000
136,1559,0,1999
137,1562,0,2001
138,1557,0,2001
139,1567,0,1985
140,1561,0,1984
141,1541,0,1989
142,1559,0,1992
143,1565,0,2003
144,1556,0,1985
145,1562,0,2004
146,1557,0,1997
147,1558,0,1998
148,1561,0,1998
149,1559,0,1991
150,1560,0,1999
151,1557,0,1988
152,1551,0,1996
153,1562,0,2002
154,1567,0,2000
155,1547,0,1998
156,1562,0,1998
157,1561,0,1991
158,1564,0,1989
159,1557,0,1991
160,1560,0,1997
161,1561,0,1989
162,1566,0,1996
163,1566,0,1995
164,1566,0,1995
165,1564,0,1985
166,1562,0,1988
167,1559,0,1989
168,1562,0,1998
