response of q1 from initial conditions,,,
time,q1,q2,tau
1,461,0,3
2,466,0,3
3,460,0,14
4,464,0,6
5,460,0,1
6,460,0,0
7,459,0,4
8,458,0,4
9,463,0,1
10,455,0,0
11,461,0,2
12,456,0,0
13,456,0,0
14,459,0,0
15,456,0,0
16,460,0,0
17,460,0,0
18,474,0,0
19,458,0,5
20,464,0,0
21,460,0,0
22,451,0,7
23,454,0,2
24,451,0,3
25,466,0,0
26,459,0,0
27,449,0,0
28,467,0,0
29,459,0,0
30,456,0,0
31,463,0,0
32,456,0,6
33,455,0,0
34,463,0,0
35,463,0,0
36,469,0,1
37,479,0,1
38,476,0,6
39,485,0,1
40,492,0,0
41,495,0,1
42,509,0,0
43,504,0,0
44,507,0,6
45,527,0,0
46,543,0,0
47,549,0,0
48,571,0,0
49,580,0,6
50,592,0,2
51,610,0,0
52,620,0,0
53,637,0,4
54,640,0,0
55,668,0,0
56,684,0,0
57,714,0,0
58,727,0,0
59,743,0,0
60,771,0,0
61,784,0,1
62,801,0,1
63,826,0,1
64,833,0,0
65,840,0,0
66,867,0,0
67,887,0,0
68,906,0,0
69,925,0,5
70,929,0,0
71,970,0,0
72,982,0,0
73,995,0,0
74,1022,0,0
75,1042,0,4
76,1042,0,4
77,1090,0,3
78,1102,0,0
79,1124,0,3
80,1140,0,6
81,1159,0,0
82,1182,0,1
83,1208,0,0
84,1228,0,0
85,1252,0,1
86,1259,0,0
87,1300,0,0
88,1312,0,0
89,1344,0,0
90,1355,0,0
91,1379,0,0
92,1412,0,2
93,1412,0,2
94,1461,0,3
95,1482,0,0
96,1509,0,0
97,1507,0,0
98,1553,0,2
99,1578,0,1
100,1591,0,0
101,1615,0,2
102,1642,0,0
103,1665,0,1
104,1679,0,1
105,1711,0,0
106,1730,0,0
107,1756,0,0
108,1773,0,0
109,1816,0,0
110,1828,0,2
111,1847,0,0
112,1864,0,0
113,1880,0,0
114,1912,0,4
115,1938,0,0
116,1944,0,2
117,1962,0,0
118,1989,0,6
119,2004,0,0
120,2032,0,2
121,2056,0,0
122,2074,0,0
123,2086,0,4
124,2086,0,4
125,2126,0,0
126,2135,0,0
127,2160,0,1
128,2171,0,1
129,2194,0,0
130,2201,0,3
131,2225,0,0
132,2233,0,0
133,2233,0,0
134,2274,0,0
135,2294,0,1
136,2300,0,0
137,2319,0,0
138,2319,0,0
139,2340,0,2
140,2356,0,2
141,2368,0,0
142,2382,0,0
143,2382,0,0
144,2401,0,2
145,2415,0,0
146,2438,0,0
147,2438,0,0
148,2456,0,0
149,2457,0,4
150,2468,0,10
151,2474,0,0
152,2484,0,7
153,2493,0,0
154,2493,0,4
155,2509,0,7
156,2506,0,7
157,2519,0,0
158,2532,0,7
159,2535,0,0
160,2554,0,3
161,2546,0,0
162,2552,0,3
163,2554,0,7
164,2568,0,0
165,2564,0,6
166,2567,0,6
167,2564,0,2
168,2567,0,1
169,2568,0,0
170,2586,0,0
171,2578,0,1
172,2578,0,0
173,2559,0,4
174,2576,0,0
175,2575,0,0
176,2570,0,1
177,2567,0,0
178,2574,0,2
179,2584,0,0
180,2576,0,0
181,2563,0,7
182,2555,0,0
183,2580,0,1
184,2576,0,1
185,2567,0,0
186,2575,0,0
187,2574,0,0
188,2563,0,1
189,2568,0,6
190,2567,0,0
191,2555,0,1
192,2548,0,6
193,2531,0,0
194,2535,0,3
195,2539,0,1
196,2521,0,0
197,2516,0,0
198,2510,0,0
199,2506,0,0
200,2483,0,0
201,2470,0,0
202,2460,0,4
203,2458,0,1
204,2439,0,0
205,2409,0,2
206,2414,0,0
207,2402,0,0
208,2386,0,0
209,2376,0,10
210,2376,0,10
211,2343,0,0
212,2334,0,0
213,2319,0,0
214,2300,0,0
215,2272,0,2
216,2272,0,0
217,2246,0,0
218,2221,0,2
219,2221,0,0
220,2193,0,0
221,2186,0,0
222,2164,0,6
223,2148,0,0
224,2142,0,0
225,2142,0,0
226,2100,0,0
227,2074,0,0
228,2049,0,2
229,2040,0,0
230,2016,0,0
231,1998,0,4
232,1984,0,0
233,1960,0,0
234,1944,0,0
235,1911,0,0
236,1896,0,0
237,1871,0,3
238,1838,0,2
239,1831,0,3
240,1816,0,1
241,1794,0,0
242,1768,0,0
243,1754,0,6
244,1716,0,0
245,1697,0,3
246,1697,0,3
247,1650,0,0
248,1637,0,0
249,1609,0,0
250,1573,0,1
251,1563,0,0
252,1547,0,0
253,1534,0,0
254,1534,0,0
255,1475,0,8
256,1451,0,1
257,1439,0,0
258,1424,0,0
259,1399,0,0
260,1380,0,0
261,1351,0,1
262,1334,0,0
263,1312,0,0
264,1295,0,4
265,1271,0,6
266,1241,0,0
267,1235,0,0
268,1209,0,0
269,1187,0,3
270,1169,0,0
271,1149,0,0
272,1137,0,0
273,1099,0,0
274,1098,0,1
275,1084,0,2
276,1066,0,6
277,1047,0,0
278,1036,0,3
279,1036,0,3
280,996,0,10
281,976,0,0
282,958,0,0
283,939,0,2
284,928,0,0
285,914,0,1
286,888,0,0
287,887,0,0
288,864,0,0
289,839,0,1
290,839,0,0
291,824,0,0
292,821,0,0
293,807,0,0
294,802,0,0
295,788,0,10
296,759,0,0
297,756,0,0
298,748,0,0
299,736,0,0
300,742,0,0
301,721,0,1
302,699,0,0
303,700,0,0
304,693,0,0
305,686,0,1
306,684,0,0
307,666,0,5
308,654,0,0
309,659,0,0
310,656,0,2
311,647,0,0
312,635,0,1
313,640,0,0
314,639,0,0
315,617,0,0
316,625,0,0
317,630,0,0
318,625,0,0
319,624,0,0
320,618,0,0
321,611,0,0
322,621,0,0
323,616,0,0
324,613,0,0
325,615,0,0
326,624,0,0
327,615,0,0
328,619,0,2
329,617,0,0
330,601,0,0
331,622,0,2
332,620,0,0
333,620,0,0
334,615,0,4
335,611,0,7
336,617,0,0
337,623,0,2
338,618,0,1
339,613,0,0
340,609,0,0
341,613,0,0
342,622,0,1
343,615,0,0
344,619,0,0
345,634,0,0
346,648,0,0
347,662,0,0
348,663,0,1
349,676,0,0
350,677,0,4
351,681,0,1
352,708,0,0
353,712,0,0
354,707,0,0
355,737,0,0
356,752,0,0
357,764,0,3
358,772,0,6
359,782,0,0
360,809,0,0
361,844,0,3
362,869,0,0
363,902,0,1
364,932,0,0
365,970,0,0
366,997,0,0
367,1029,0,2
368,1067,0,4
369,1085,0,1
370,1151,0,0
371,1181,0,1
372,1211,0,0
373,1268,0,0
374,1303,0,0
375,1341,0,0
376,1391,0,0
377,1438,0,0
378,1467,0,7
379,1513,0,0
380,1559,0,8
381,1595,0,0
382,1588,0,0
383,1655,0,0
384,1680,0,0
385,1690,0,3
386,1735,0,0
387,1756,0,0
388,1773,0,0
389,1818,0,0
390,1818,0,0
391,1857,0,0
392,1886,0,6
393,1901,0,6
394,1916,0,6
395,1968,0,0
396,1989,0,0
397,2004,0,0
398,2040,0,0
399,2061,0,0
400,2072,0,0
401,2114,0,0
402,2132,0,0
403,2144,0,0
404,2172,0,0
405,2192,0,7
406,2199,0,0
407,2242,0,0
408,2242,0,7
409,2260,0,1
410,2284,0,0
411,2289,0,0
412,2306,0,0
413,2317,0,0
414,2341,0,2
415,2349,0,4
416,2361,0,1
417,2384,0,0
418,2394,0,1
419,2402,0,0
420,2416,0,0
421,2422,0,0
422,2405,0,1
423,2421,0,1
424,2433,0,0
425,2447,0,8
426,2447,0,3
427,2455,0,0
428,2452,0,2
429,2461,0,0
430,2453,0,6
431,2474,0,0
432,2471,0,0
433,2470,0,1
434,2478,0,4
435,2471,0,7
436,2472,0,0
437,2480,0,2
438,2478,0,0
439,2478,0,1
440,2480,0,0
441,2490,0,0
442,2479,0,0
443,2485,0,0
444,2484,0,1
445,2482,0,0
446,2475,0,0
447,2475,0,0
448,2490,0,0
449,2484,0,0
450,2480,0,1
451,2477,0,6
452,2480,0,0
453,2480,0,0
454,2480,0,3
455,2471,0,1
456,2465,0,0
457,2469,0,0
458,2469,0,0
459,2453,0,0
460,2445,0,0
461,2442,0,0
462,2442,0,0
463,2425,0,3
464,2426,0,0
465,2405,0,6
466,2394,0,0
467,2392,0,0
468,2375,0,6
469,2349,0,0
470,2356,0,0
471,2344,0,1
472,2327,0,0
473,2320,0,1
474,2300,0,3
475,2275,0,0
476,2286,0,0
477,2257,0,1
478,2235,0,6
479,2221,0,0
480,2218,0,0
481,2204,0,1
482,2204,0,1
483,2181,0,2
484,2163,0,1
485,2152,0,0
486,2130,0,0
487,2114,0,1
488,2091,0,0
489,2085,0,3
490,2064,0,0
491,2040,0,0
492,2029,0,0
493,1995,0,0
494,1989,0,0
495,1971,0,4
496,1949,0,4
497,1933,0,0
498,1918,0,0
499,1889,0,0
500,1879,0,1
501,1855,0,0
502,1837,0,3
503,1822,0,1
504,1787,0,6
505,1775,0,0
506,1763,0,0
507,1744,0,0
508,1725,0,7
509,1700,0,0
510,1700,0,0
511,1651,0,1
512,1636,0,3
513,1620,0,0
514,1600,0,0
515,1581,0,2
516,1562,0,0
517,1546,0,0
518,1511,0,0
519,1500,0,1
520,1479,0,0
521,1466,0,5
522,1446,0,2
523,1415,0,0
524,1399,0,1
525,1377,0,3
526,1354,0,0
527,1333,0,0
528,1328,0,3
529,1308,0,0
530,1275,0,3
531,1267,0,3
532,1250,0,0
533,1233,0,2
534,1216,0,0
535,1192,0,0
536,1182,0,0
537,1166,0,3
538,1142,0,1
539,1121,0,0
540,1115,0,3
541,1089,0,0
542,1082,0,0
543,1064,0,2
544,1053,0,0
545,1024,0,0
546,1015,0,0
547,1005,0,0
548,989,0,10
549,973,0,2
550,959,0,0
551,946,0,0
552,928,0,0
553,915,0,1
554,909,0,0
555,903,0,0
556,882,0,3
557,880,0,4
558,851,0,6
559,855,0,0
560,846,0,2
561,838,0,1
562,826,0,1
563,816,0,0
564,808,0,0
565,797,0,0
566,789,0,0
567,769,0,4
568,759,0,0
569,757,0,3
570,759,0,0
571,752,0,0
572,752,0,0
573,746,0,4
574,731,0,3
575,723,0,0
576,734,0,0
577,724,0,6
578,719,0,0
579,718,0,0
580,712,0,0
581,712,0,6
582,714,0,0
583,707,0,0
584,712,0,0
585,702,0,2
586,718,0,1
587,704,0,0
588,709,0,0
589,708,0,6
590,699,0,1
591,709,0,2
592,712,0,0
593,709,0,0
594,709,0,0
595,704,0,1
596,712,0,0
597,712,0,0
598,714,0,0
599,690,0,0
600,699,0,0
601,708,0,0
602,708,0,1
603,711,0,0
604,700,0,0
605,718,0,1
606,722,0,0
607,725,0,4
608,727,0,0
609,743,0,1
610,739,0,0
611,757,0,2
612,758,0,0
613,773,0,3
614,784,0,6
615,791,0,4
616,803,0,1
617,812,0,0
618,825,0,0
619,840,0,2
620,850,0,0
621,863,0,1
622,878,0,0
623,875,0,3
624,875,0,3
625,909,0,2
626,918,0,0
627,935,0,1
628,955,0,0
629,963,0,0
630,975,0,3
631,992,0,0
632,1003,0,0
633,1028,0,0
634,1040,0,0
635,1049,0,0
636,1049,0,0
637,1092,0,1
638,1116,0,2
639,1134,0,4
640,1139,0,1
641,1139,0,3
642,1182,0,0
643,1200,0,6
644,1205,0,0
645,1239,0,0
646,1233,0,3
647,1267,0,2
648,1288,0,0
649,1305,0,0
650,1328,0,2
651,1348,0,0
652,1368,0,3
653,1386,0,0
654,1406,0,0
655,1421,0,6
656,1448,0,1
657,1466,0,0
658,1493,0,0
659,1507,0,3
660,1521,0,0
661,1539,0,0
662,1574,0,1
663,1591,0,2
664,1612,0,0
665,1615,0,3
666,1650,0,0
667,1667,0,0
668,1684,0,0
669,1706,0,0
670,1711,0,0
671,1729,0,2
672,1759,0,0
673,1784,0,0
674,1784,0,0
675,1812,0,6
676,1837,0,2
677,1853,0,2
678,1857,0,6
679,1884,0,0
680,1908,0,2
681,1915,0,0
682,1927,0,6
683,1959,0,6
684,1973,0,0
685,1987,0,6
686,2002,0,0
687,2030,0,4
688,2042,0,0
689,2040,0,0
690,2068,0,0
691,2077,0,7
692,2082,0,0
693,2122,0,1
694,2122,0,0
695,2136,0,0
696,2144,0,3
697,2166,0,0
698,2174,0,0
699,2185,0,4
700,2199,0,0
701,2210,0,0
702,2219,0,0
703,2227,0,2
704,2234,0,0
705,2255,0,0
706,2264,0,0
707,2267,0,0
708,2287,0,0
709,2292,0,0
710,2306,0,4
711,2317,0,0
