repsonse of q1 from initial conditions,,,
time,q1,q2,tau
1,490,0,0
2,488,0,0
3,493,0,0
4,480,0,0
5,498,0,0
6,496,0,0
7,487,0,0
8,483,0,0
9,490,0,0
10,495,0,0
11,480,0,0
12,481,0,4
13,502,0,0
14,493,0,0
15,494,0,0
16,486,0,3
17,488,0,2
18,482,0,0
19,495,0,0
20,487,0,0
21,485,0,0
22,480,0,0
23,499,0,0
24,487,0,1
25,495,0,4
26,480,0,0
27,494,0,1
28,495,0,0
29,495,0,2
30,481,0,0
31,494,0,1
32,493,0,0
33,493,0,1
34,495,0,0
35,495,0,0
36,481,0,2
37,495,0,0
38,500,0,2
39,496,0,3
40,496,0,0
41,514,0,0
42,516,0,0
43,516,0,0
44,522,0,7
45,532,0,0
46,533,0,3
47,532,0,10
48,543,0,0
49,551,0,0
50,549,0,0
51,549,0,0
52,555,0,0
53,572,0,0
54,560,0,0
55,583,0,2
56,568,0,0
57,587,0,3
58,606,0,0
59,612,0,2
60,618,0,0
61,622,0,1
62,632,0,4
63,641,0,1
64,648,0,0
65,661,0,2
66,661,0,2
67,676,0,2
68,688,0,0
69,706,0,0
70,705,0,0
71,713,0,0
72,729,0,1
73,743,0,6
74,753,0,0
75,774,0,1
76,769,0,2
77,799,0,2
78,802,0,1
79,821,0,0
80,838,0,0
81,842,0,0
82,866,0,0
83,866,0,0
84,900,0,1
85,914,0,6
86,928,0,0
87,951,0,0
88,957,0,0
89,972,0,0
90,1002,0,1
91,1015,0,0
92,1023,0,4
93,1054,0,0
94,1074,0,1
95,1087,0,0
96,1097,0,0
97,1125,0,11
98,1143,0,0
99,1165,0,4
100,1171,0,0
101,1203,0,0
102,1213,0,0
103,1247,0,3
104,1274,0,0
105,1304,0,0
106,1313,0,3
107,1332,0,0
108,1359,0,6
109,1372,0,0
110,1400,0,0
111,1424,0,1
112,1441,0,0
113,1464,0,0
114,1486,0,0
115,1504,0,2
116,1538,0,0
117,1551,0,0
118,1578,0,3
119,1586,0,5
120,1599,0,0
121,1636,0,0
122,1662,0,0
123,1672,0,0
124,1701,0,2
125,1717,0,0
126,1738,0,0
127,1759,0,0
128,1782,0,0
129,1808,0,1
130,1819,0,0
131,1840,0,1
132,1862,0,0
133,1884,0,0
134,1895,0,6
135,1895,0,6
136,1934,0,0
137,1958,0,0
138,1975,0,2
139,1999,0,0
140,2015,0,0
141,2040,0,0
142,2056,0,0
143,2063,0,0
144,2087,0,0
145,2093,0,0
146,2114,0,0
147,2141,0,6
148,2154,0,1
149,2165,0,0
150,2180,0,0
151,2202,0,0
152,2216,0,0
153,2227,0,0
154,2235,0,0
155,2253,0,2
156,2253,0,2
157,2278,0,1
158,2275,0,0
159,2304,0,0
160,2308,0,6
161,2317,0,0
162,2335,0,0
163,2347,0,0
164,2360,0,1
165,2365,0,0
166,2379,0,0
167,2384,0,0
168,2383,0,0
169,2414,0,0
170,2404,0,0
171,2416,0,0
172,2415,0,2
173,2433,0,0
174,2437,0,0
175,2421,0,0
176,2452,0,2
177,2460,0,0
178,2447,0,2
179,2472,0,0
180,2459,0,0
181,2466,0,0
182,2474,0,0
183,2472,0,2
184,2473,0,0
185,2477,0,0
186,2494,0,1
187,2484,0,0
188,2490,0,0
189,2475,0,0
190,2486,0,1
191,2474,0,0
192,2477,0,2
