time,q1,q2,tau
0,1850,0,0
4,1837,0,6
8,1837,0,6
12,1839,0,2
16,1842,0,0
20,1858,0,0
24,1833,0,0
28,1837,0,0
32,1840,0,0
36,1840,0,0
40,1837,0,0
44,1832,0,0
48,1844,0,0
52,1848,0,0
56,1844,0,2
60,1846,0,0
64,1846,0,0
68,1840,0,0
72,1840,0,0
76,1842,0,1
80,1840,0,0
84,1838,0,4
88,1837,0,4
92,1838,0,0
96,1842,0,0
100,1832,0,4
104,1840,0,0
108,1832,0,0
112,1832,0,0
116,1843,0,0
120,1843,0,0
124,1840,0,0
128,1825,0,2
132,1832,0,0
136,1834,0,0
140,1834,0,0
144,1837,0,10
148,1837,0,10
152,1839,0,0
156,1839,0,0
160,1829,0,0
164,1842,0,0
168,1838,0,6
172,1838,0,1
176,1837,0,0
180,1833,0,0
184,1831,0,0
188,1840,0,0
192,1829,0,2
196,1824,0,0
200,1837,0,0
204,1825,0,0
208,1825,0,0
212,1825,0,4
216,1833,0,0
220,1834,0,0
224,1842,0,0
228,1824,0,6
232,1832,0,2
236,1831,0,0
240,1825,0,3
244,1824,0,0
248,1825,0,3
252,1823,0,2
256,1832,0,6
260,1832,0,6
264,1838,0,0
268,1838,0,0
272,1835,0,0
276,1836,0,1
280,1835,0,5
284,1838,0,1
288,1835,0,0
292,1835,0,0
296,1832,0,0
300,1825,0,0
304,1827,0,0
308,1842,0,0
312,1842,0,0
316,1838,0,0
320,1840,0,0
324,1840,0,0
328,1838,0,0
332,1838,0,1
336,1838,0,0
340,1832,0,0
344,1832,0,0
348,1850,0,0
352,1838,0,0
356,1832,0,0
360,1839,0,0
364,1833,0,0
368,1832,0,0
372,1834,0,0
376,1834,0,1
380,1848,0,0
384,1834,0,1
388,1824,0,0
392,1839,0,2
396,1827,0,0
400,1831,0,0
404,1838,0,0
408,1833,0,2
412,1833,0,2
416,1831,0,0
420,1825,0,0
424,1832,0,8
428,1848,0,1
432,1827,0,0
436,1844,0,0
440,1844,0,0
444,1832,0,0
448,1837,0,3
452,1824,0,0
456,1832,0,1
460,1837,0,0
464,1837,0,0
468,1832,0,1
472,1832,0,1
476,1831,0,1
480,1832,0,0
484,1825,0,7
488,1844,0,0
492,1840,0,0
496,1848,0,0
500,1840,0,2
504,1832,0,3
508,1831,0,0
512,1831,0,1
516,1826,0,0
520,1840,0,0
524,1840,0,0
528,1834,0,0
532,1836,0,0
536,1839,0,0
540,1825,0,2
544,1830,0,0
548,1825,0,0
552,1844,0,0
556,1834,0,0
560,1829,0,0
564,1837,0,0
568,1839,0,0
572,1835,0,4
576,1835,0,4
580,1840,0,0
584,1840,0,0
588,1829,0,2
592,1829,0,2
596,1838,0,0
600,1838,0,0
604,1833,0,4
608,1833,0,4
612,1831,0,0
616,1829,0,0
620,1836,0,0
624,1842,0,0
628,1842,0,0
632,1844,0,0
636,1844,0,0
640,1831,0,2
644,1831,0,2
648,1837,0,0
652,1832,0,2
656,1832,0,2
660,1850,0,4
664,1834,0,0
668,1834,0,0
672,1829,0,2
676,1825,0,1
680,1832,0,2
684,1831,0,0
688,1832,0,4
692,1840,0,0
696,1840,0,0
700,1837,0,2
704,1837,0,2
708,1831,0,0
712,1834,0,0
716,1825,0,1
720,1831,0,0
724,1842,0,0
728,1827,0,3
732,1827,0,3
736,1827,0,0
740,1827,0,0
744,1825,0,4
748,1839,0,2
752,1840,0,0
756,1829,0,4
760,1834,0,0
764,1832,0,1
768,1832,0,1
772,1840,0,0
776,1832,0,3
780,1834,0,0
784,1829,0,0
788,1840,0,0
792,1832,0,0
796,1834,0,0
800,1829,0,0
804,1833,0,0
808,1834,0,0
812,1828,0,0
816,1831,0,1
820,1825,0,1
824,1827,0,0
828,1830,0,0
832,1834,0,0
836,1832,0,0
840,1831,0,0
844,1832,0,1
848,1824,0,1
852,1834,0,0
856,1830,0,3
860,1829,0,0
864,1817,0,0
868,1825,0,0
872,1827,0,0
876,1825,0,4
880,1834,0,0
884,1834,0,0
888,1834,0,1
892,1835,0,1
896,1831,0,0
900,1830,0,0
904,1813,0,0
908,1824,0,6
912,1834,0,0
916,1834,0,0
920,1827,0,0
924,1834,0,0
928,1827,0,0
932,1817,0,0
936,1825,0,2
940,1825,0,2
944,1824,0,0
948,1817,0,0
952,1817,0,7
956,1826,0,0
960,1824,0,1
964,1824,0,0
968,1824,0,0
972,1829,0,0
976,1826,0,0
980,1831,0,6
984,1824,0,2
988,1824,0,2
992,1828,0,0
996,1832,0,4
1000,1832,0,4
1004,1823,0,0
1008,1828,0,2
1012,1828,0,2
1016,1826,0,0
1020,1809,0,0
1024,1834,0,0
1028,1830,0,2
1032,1826,0,0
1036,1825,0,0
1040,1821,0,6
1044,1826,0,0
1048,1838,0,1
1052,1827,0,0
1056,1830,0,0
1060,1830,0,0
1064,1828,0,3
1068,1834,0,0
1072,1834,0,0
1076,1825,0,0
1080,1834,0,1
1084,1829,0,2
1088,1825,0,0
1092,1829,0,0
1096,1834,0,0
1100,1832,0,0
1104,1834,0,0
1108,1834,0,0
1112,1829,0,0
1116,1829,0,0
1120,1829,0,0
1124,1811,0,0
1128,1823,0,2
1132,1819,0,2
1136,1829,0,0
1140,1823,0,2
1144,1830,0,1
1148,1832,0,0
1152,1828,0,0
1156,1825,0,3
1160,1834,0,0
1164,1834,0,0
1168,1829,0,3
1172,1829,0,0
1176,1823,0,2
1180,1834,0,0
1184,1825,0,7
1188,1823,0,0
1192,1823,0,0
1196,1827,0,0
1200,1829,0,0
1204,1829,0,0
1208,1826,0,0
1212,1824,0,0
1216,1824,0,0
1220,1825,0,4
1224,1821,0,1
1228,1821,0,1
1232,1827,0,0
1236,1824,0,0
1240,1826,0,4
1244,1834,0,1
1248,1840,0,0
1252,1844,0,2
1256,1848,0,0
1260,1852,0,0
1264,1852,0,0
1268,1855,0,1
1272,1866,0,1
1276,1873,0,0
1280,1869,0,0
1284,1890,0,1
1288,1871,0,0
1292,1898,0,0
1296,1896,0,0
1300,1904,0,0
1304,1899,0,0
1308,1912,0,0
1312,1916,0,0
1316,1938,0,0
1320,1936,0,0
1324,1943,0,0
1328,1935,0,0
1332,1960,0,1
1336,1962,0,0
1340,1965,0,0
1344,1965,0,0
1348,1992,0,0
1352,1998,0,0
1356,1998,0,0
1360,2008,0,0
1364,2009,0,0
1368,2026,0,1
1372,2021,0,0
1376,2021,0,2
1380,2050,0,0
1384,2054,0,0
1388,2046,0,0
1392,2068,0,0
1396,2079,0,0
1400,2085,0,4
1404,2093,0,2
1408,2097,0,1
1412,2101,0,0
1416,2115,0,0
1420,2115,0,2
1424,2135,0,6
1428,2141,0,0
1432,2151,0,3
1436,2165,0,0
1440,2159,0,0
1444,2184,0,0
1448,2184,0,0
1452,2195,0,1
1456,2189,0,1
1460,2211,0,1
1464,2211,0,1
1468,2240,0,1
1472,2240,0,1
1476,2239,0,0
1480,2253,0,0
1484,2251,0,4
1488,2274,0,0
1492,2272,0,4
1496,2288,0,2
1500,2280,0,0
1504,2292,0,0
1508,2309,0,4
1512,2312,0,1
1516,2319,0,0
1520,2331,0,0
1524,2344,0,0
1528,2346,0,0
1532,2349,0,0
1536,2349,0,0
1540,2358,0,3
1544,2376,0,0
1548,2385,0,6
1552,2388,0,1
1556,2383,0,0
1560,2404,0,4
1564,2411,0,0
1568,2415,0,0
1572,2415,0,0
1576,2419,0,0
1580,2432,0,0
1584,2433,0,0
1588,2445,0,0
1592,2458,0,0
1596,2458,0,0
1600,2449,0,0
1604,2480,0,2
1608,2477,0,0
1612,2485,0,10
1616,2492,0,0
1620,2496,0,1
1624,2493,0,0
1628,2520,0,0
1632,2504,0,0
1636,2520,0,0
1640,2524,0,0
1644,2516,0,0
1648,2533,0,0
1652,2526,0,1
1656,2526,0,1
1660,2528,0,0
1664,2533,0,6
1668,2533,0,0
1672,2548,0,0
1676,2549,0,1
1680,2549,0,1
1684,2551,0,0
1688,2543,0,0
1692,2553,0,0
1696,2567,0,0
1700,2559,0,0
1704,2572,0,2
1708,2574,0,0
1712,2574,0,0
1716,2575,0,2
1720,2573,0,0
1724,2573,0,0
1728,2580,0,0
1732,2586,0,0
1736,2584,0,0
1740,2589,0,2
1744,2586,0,1
1748,2586,0,1
1752,2584,0,1
1756,2584,0,0
1760,2584,0,0
1764,2586,0,1
1768,2575,0,0
1772,2575,0,0
1776,2581,0,0
1780,2583,0,0
1784,2589,0,0
1788,2588,0,0
1792,2586,0,1
1796,2582,0,0
1800,2573,0,0
1804,2561,0,0
1808,2571,0,0
1812,2580,0,2
1816,2580,0,0
1820,2578,0,0
1824,2578,0,0
1828,2561,0,0
1832,2568,0,1
1836,2568,0,1
1840,2568,0,0
1844,2553,0,4
1848,2546,0,0
1852,2543,0,1
1856,2538,0,0
1860,2528,0,4
1864,2544,0,0
1868,2533,0,0
1872,2533,0,0
1876,2510,0,0
1880,2518,0,0
1884,2512,0,0
1888,2497,0,0
1892,2514,0,1
1896,2495,0,0
1900,2495,0,0
1904,2485,0,3
1908,2485,0,3
1912,2477,0,0
1916,2472,0,0
1920,2474,0,0
1924,2474,0,0
1928,2453,0,0
1932,2452,0,0
1936,2441,0,0
1940,2441,0,0
1944,2442,0,2
1948,2420,0,0
1952,2405,0,0
1956,2416,0,1
1960,2416,0,0
1964,2400,0,0
1968,2386,0,0
1972,2386,0,0
1976,2383,0,0
1980,2366,0,0
1984,2370,0,0
1988,2370,0,0
1992,2359,0,0
1996,2346,0,0
2000,2341,0,1
2004,2332,0,0
2008,2317,0,0
2012,2324,0,6
2016,2320,0,0
2020,2300,0,2
2024,2304,0,0
2028,2288,0,2
2032,2290,0,4
2036,2273,0,0
2040,2272,0,0
2044,2268,0,1
2048,2255,0,0
2052,2255,0,0
2056,2240,0,0
2060,2221,0,0
2064,2221,0,0
2068,2209,0,1
2072,2211,0,0
2076,2199,0,0
2080,2181,0,0
2084,2192,0,0
2088,2177,0,2
2092,2167,0,0
2096,2166,0,0
2100,2166,0,0
2104,2151,0,0
2108,2145,0,0
2112,2138,0,0
2116,2140,0,0
2120,2125,0,6
2124,2125,0,6
2128,2114,0,1
2132,2109,0,2
2136,2098,0,0
