response of q2 from initial condition of q2=pi/2
time,q1,q2,tau
2,1566,-213,2004
3,1556,-213,2000
4,1549,-213,1980
6,1545,-213,1975
7,1559,-213,2002
8,1557,-213,2002
10,1558,-213,1987
11,1554,-213,2004
12,1567,-213,2004
14,1566,-213,2000
15,1556,-213,1998
16,1560,-213,1982
18,1556,-213,2002
19,1557,-213,1981
20,1551,-213,2004
22,1562,-213,1988
23,1562,-213,2004
24,1563,-213,2004
26,1557,-213,1984
27,1545,-213,1990
28,1558,-213,1987
30,1562,-213,2005
31,1545,-213,1988
32,1556,-213,1983
34,1562,-213,1997
35,1554,-213,1993
36,1550,-213,2003
38,1550,-213,2004
39,1551,-213,1999
40,1554,-213,1997
41,1562,-213,1996
42,1556,-213,1979
43,1559,-213,1984
44,1557,-213,1984
45,1557,-213,2000
46,1557,-213,2003
47,1557,-213,1968
48,1559,-213,2003
49,1557,-213,1994
50,1555,-213,1997
51,1550,-213,2004
52,1560,-213,2000
53,1551,-213,2000
54,1545,-213,1998
55,1549,-213,2002
56,1562,-213,1988
57,1552,-213,2004
58,1558,-213,1985
59,1552,-213,2012
60,1562,-213,1980
61,1551,-213,2003
62,1553,-213,1992
63,1552,-213,1984
64,1550,-213,2004
65,1556,-213,1992
66,1563,-213,1994
67,1557,-213,2002
68,1557,-213,2000
69,1557,-213,1990
70,1552,-213,1981
71,1551,-213,2002
72,1554,-213,1989
73,1554,-213,2000
74,1555,-213,1999
75,1558,-213,1993
76,1556,-213,1987
77,1562,-213,2005
78,1556,-213,1997
79,1544,-213,2002
80,1558,-213,1997
81,1551,-213,1995
82,1561,-213,1998
83,1553,-213,1996
84,1555,-213,1975
85,1545,-213,2002
86,1545,-213,2002
87,1554,-213,1979
88,1556,-213,2002
89,1557,-213,1991
90,1554,-213,2010
91,1563,-213,2005
92,1545,-213,1994
93,1560,-213,1991
94,1557,-213,2000
95,1552,-213,1991
96,1554,-213,2004
97,1551,-213,1985
98,1547,-213,2008
99,1545,-213,1985
100,1560,-213,1995
101,1552,-213,1994
102,1556,-213,1998
103,1558,-213,1993
104,1547,-213,2000
105,1562,-213,1983
106,1554,-213,1970
107,1557,-213,1979
108,1562,-213,1992
109,1556,-213,1994
110,1556,-213,1998
111,1555,-213,1981
112,1563,-213,1999
113,1558,-213,1999
114,1562,-213,2000
115,1544,-213,2004
116,1559,-213,1989
117,1559,-213,1994
118,1559,-213,2000
119,1551,-213,1974
120,1551,-213,1998
121,1554,-213,1973
122,1556,-213,1975
123,1554,-213,1975
124,1551,-213,1986
125,1549,-213,1977
126,1560,-213,1995
127,1547,-213,2002
128,1545,-213,2011
129,1544,-213,1992
130,1554,-213,1995
131,1559,-213,2002
132,1558,-213,2000
133,1562,-213,1996
134,1539,-213,1977
135,1557,-213,1975
136,1543,-213,1984
137,1554,-213,1988
138,1561,-213,1986
139,1559,-213,1994
140,1551,-213,1975
141,1556,-213,1989
142,1557,-213,1981
143,1562,-213,1985
144,1563,-213,1988
145,1549,-213,2001
146,1553,-213,1985
147,1556,-213,1969
148,1551,-213,1999
149,1566,-213,1991
150,1552,-213,2003
151,1562,-213,1989
152,1554,-213,1985
153,1552,-213,1997
154,1549,-213,1980
155,1545,-213,2000
156,1554,-213,1981
157,1549,-213,1996
158,1561,-213,1997
159,1545,-213,1977
160,1557,-213,1999
161,1552,-213,1984
162,1555,-213,2001
163,1562,-213,1990
164,1541,-213,2010
165,1559,-213,1989
166,1557,-213,2010
167,1562,-213,1992
168,1552,-213,1986
169,1547,-213,1980
170,1562,-213,1983
171,1544,-213,1982
172,1557,-213,1995
173,1562,-213,1999
174,1556,-213,1998
175,1555,-213,1981
176,1548,-213,1999
177,1555,-213,1983
178,1551,-213,1993
179,1549,-213,1996
180,1559,-213,1998
181,1566,-213,1995
182,1552,-213,1970
183,1562,-213,1979
184,1544,-213,1974
185,1541,-213,1996
186,1557,-213,2003
