meep,,,
time,q1,q2,tau
0,2151,-210,0
4,2145,-209,0
8,2153,-209,1
12,2170,-207,0
16,2158,-206,0
20,2160,-204,0
24,2160,-202,0
28,2149,-199,0
32,2165,-196,0
36,2155,-193,0
40,2145,-189,0
44,2158,-186,0
48,2164,-181,0
52,2164,-177,0
56,2158,-172,3
60,2164,-167,7
64,2154,-161,0
68,2158,-156,0
72,2163,-150,0
76,2162,-143,2
80,2158,-137,0
84,2155,-130,0
88,2157,-123,0
92,2160,-116,0
96,2157,-108,0
100,2155,-101,2
104,2147,-93,0
108,2160,-89,1
112,2160,-85,1
116,2147,-77,0
120,2147,-72,0
124,2158,-68,2
128,2162,-59,0
132,2153,-55,6
136,2153,-51,6
140,2158,-42,0
144,2145,-38,0
148,2145,-33,0
152,2160,-24,0
156,2154,-20,0
160,2152,-16,0
164,2160,-7,0
168,2153,-2,0
172,2152,2,3
176,2159,11,0
180,2158,15,0
184,2157,19,0
188,2145,28,0
192,2151,32,0
196,2145,36,2
200,2151,44,2
204,2155,48,0
208,2158,52,0
212,2149,60,2
216,2154,64,0
220,2156,68,6
224,2162,75,0
228,2145,79,0
232,2159,83,0
236,2157,90,2
240,2158,94,0
244,2149,97,0
248,2158,104,0
252,2158,107,0
256,2154,111,0
260,2151,117,0
264,2162,120,0
268,2157,123,0
272,2158,129,0
276,2135,132,0
280,2151,135,2
284,2154,140,0
288,2152,143,0
292,2145,145,0
296,2146,147,0
300,2158,150,0
304,2151,152,0
308,2156,154,0
312,2149,158,0
316,2164,160,0
320,2149,162,0
324,2145,164,0
328,2152,166,0
332,2158,167,0
336,2154,169,0
340,2154,170,1
344,2160,171,0
348,2160,173,0
352,2160,174,2
356,2158,175,0
360,2148,176,0
364,2158,177,0
368,2158,178,0
372,2164,179,0
376,2147,179,6
380,2162,180,0
384,2154,181,2
388,2154,181,2
392,2154,181,4
396,2154,182,4
400,2160,182,0
404,2148,182,3
408,2154,182,2
412,2146,182,0
416,2146,182,0
420,2151,182,0
424,2151,182,0
428,2154,182,0
432,2157,183,0
436,2158,183,0
440,2170,182,0
444,2157,181,0
448,2145,181,0
452,2159,180,0
456,2145,179,1
460,2160,177,1
464,2149,176,0
468,2164,175,0
472,2155,174,0
476,2155,172,0
480,2145,171,0
484,2145,169,0
488,2144,168,0
492,2159,166,1
496,2154,164,0
500,2160,162,0
504,2157,160,0
508,2158,158,0
512,2151,156,1
516,2157,154,2
520,2145,151,0
524,2145,149,0
528,2156,147,0
532,2157,144,0
536,2160,142,6
540,2147,139,0
544,2157,137,0
548,2158,134,1
552,2168,131,0
556,2168,128,0
560,2157,125,0
564,2147,122,0
568,2168,119,0
572,2153,116,0
576,2151,113,0
580,2154,110,0
584,2154,107,0
588,2156,103,0
592,2160,100,0
596,2157,97,0
600,2157,93,0
604,2158,90,0
608,2152,86,1
612,2145,83,0
616,2145,79,0
620,2157,75,2
624,2157,71,0
628,2157,68,0
632,2170,64,0
636,2155,60,0
640,2160,57,0
644,2160,53,0
648,2151,49,6
652,2160,45,0
656,2160,41,0
660,2170,37,0
664,2147,34,2
668,2147,30,2
672,2154,26,0
676,2146,22,0
680,2157,18,0
684,2157,14,0
688,2157,10,0
692,2149,6,2
696,2149,2,0
700,2151,-2,0
704,2157,-6,0
708,2149,-9,3
712,2158,-13,0
716,2158,-17,0
720,2147,-21,0
724,2152,-25,0
728,2149,-29,0
732,2151,-32,0
736,2155,-36,6
740,2158,-40,0
744,2149,-43,0
748,2152,-47,0
752,2159,-51,0
756,2155,-54,0
760,2144,-58,0
764,2160,-61,0
768,2160,-65,0
772,2160,-68,0
776,2147,-71,0
780,2154,-75,7
784,2149,-78,0
788,2149,-81,0
792,2141,-84,0
796,2160,-87,0
800,2149,-90,0
804,2149,-94,0
808,2152,-96,0
812,2158,-99,2
816,2153,-102,1
820,2153,-105,1
824,2156,-107,0
828,2159,-110,0
832,2162,-113,0
836,2139,-115,1
840,2162,-117,0
844,2152,-120,1
848,2145,-122,0
852,2152,-124,0
856,2150,-127,0
860,2158,-129,0
